geometry,formulation,polarization,field,mode_rank,m,n,p,index2_name,kc_analytic,kc_fem,rel_error_pct,rho_abs,a,b,R,r1,r2,kc_times_a,kc_times_R,kc_times_r1,kc_times_r2
rect,scalar,TE,Et,1,1,0,,n,3.141593,3.148163,0.209,1.0,1.0,0.5,,,,3.148163,,,
rect,scalar,TE,Et,2,0,1,,n,6.283185,6.296203,0.207,1.0,1.0,0.5,,,,6.296203,,,
rect,scalar,TE,Et,3,2,0,,n,6.283185,6.335755,0.837,1.0,1.0,0.5,,,,6.335755,,,
rect,scalar,TE,Et,4,1,1,,n,7.024815,7.068559,0.623,0.9999,1.0,0.5,,,,7.068559,,,
rect,scalar,TE,Et,5,2,1,,n,8.885766,9.024107,1.557,0.9995,1.0,0.5,,,,9.024107,,,
rect,scalar,TE,Et,6,3,0,,n,9.424778,9.603103,1.892,0.9994,1.0,0.5,,,,9.603103,,,
rect,scalar,TE,Et,7,3,1,,n,11.327173,11.643799,2.795,0.9992,1.0,0.5,,,,11.643799,,,
rect,scalar,TE,Et,8,0,2,,n,12.566371,12.670558,0.829,0.9999,1.0,0.5,,,,12.670558,,,
rect,scalar,TM,Ht,1,1,1,,n,7.024815,7.068992,0.629,1.0,1.0,0.5,,,,7.068992,,,
rect,scalar,TM,Ht,2,2,1,,n,8.885766,9.02564,1.574,1.0,1.0,0.5,,,,9.02564,,,
rect,scalar,TM,Ht,3,3,1,,n,11.327173,11.647382,2.827,0.9997,1.0,0.5,,,,11.647382,,,
rect,scalar,TM,Ht,4,1,2,,n,12.953118,13.120632,1.293,0.9999,1.0,0.5,,,,13.120632,,,
rect,scalar,TM,Ht,5,2,2,,n,14.049629,14.402606,2.512,0.9993,1.0,0.5,,,,14.402606,,,
rect,scalar,TM,Ht,6,4,1,,n,14.049629,14.666745,4.392,0.9978,1.0,0.5,,,,14.666745,,,
rect,scalar,TM,Ht,7,3,2,,n,15.707963,16.376073,4.253,0.9959,1.0,0.5,,,,16.376073,,,
rect,scalar,TM,Ht,8,5,1,,n,16.917994,17.970386,6.221,0.9817,1.0,0.5,,,,17.970386,,,
circle,scalar,TE,Et,1,1,,1,p,1.841184,1.846213,0.273,0.9442,,,1.0,,,,1.846213,,
circle,scalar,TE,Et,2,1,,1,p,1.841184,1.846213,0.273,0.9442,,,1.0,,,,1.846213,,
circle,scalar,TE,Et,3,2,,1,p,3.054237,3.068351,0.462,0.941,,,1.0,,,,3.068351,,
circle,scalar,TE,Et,4,2,,1,p,3.054237,3.068351,0.462,0.941,,,1.0,,,,3.068351,,
