family,longitudinal_label,mode_label,positive_rank,eig_index,m,p,r_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,kc_r_fem,kc_r_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_p1,1,2,1,1,1,364612320.7489576,1,1,7.641709173571808,1.884697966840005,1.841183781340659,1.884697966840005,1.841183781340659,7.405648699961447,0,0,2.363380882470139,0.9319356072606867,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p1_rank01.csv
TE,Hz,TE_m1_p1,2,3,1,1,1,364612320.7489576,1,1,7.641709173571808,1.88469796684112,1.841183781340659,1.88469796684112,1.841183781340659,7.405648699961164,0,0,2.363380882530691,0.9319356072606737,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p1_rank02.csv
TE,Hz,TE_m2_p1,3,4,2,1,1,364612320.7489576,1,1,7.641709173571808,3.202618893163778,3.05423692822714,3.202618893163778,3.05423692822714,6.938223931136983,0,0,4.858233608705921,0.9974918541975012,te_sign_only_above_cutoff,helm10_circle_fields_TE_m2_p1_rank03.csv
TE,Hz,TE_m2_p1,4,5,2,1,1,364612320.7489576,1,1,7.641709173571808,3.202618893164778,3.05423692822714,3.202618893164778,3.05423692822714,6.938223931136522,0,0,4.858233608738665,0.9974918541975011,te_sign_only_above_cutoff,helm10_circle_fields_TE_m2_p1_rank04.csv
TE,Hz,TE_m0_p1,5,6,0,1,1,364612320.7489576,1,1,7.641709173571808,4.001395400349905,3.831705970207512,4.001395400349905,3.831705970207512,6.510342075767613,0,0,4.428560841091964,0.9997676870889445,te_sign_only_above_cutoff,helm10_circle_fields_TE_m0_p1_rank05.csv
TE,Hz,TE_m3_p1,6,7,3,1,1,364612320.7489576,1,1,7.641709173571808,4.549831835855568,4.201188941210528,4.549831835855568,4.201188941210528,6.139604983945357,0,0,8.298672102678198,0.872227021774315,te_sign_only_above_cutoff,helm10_circle_fields_TE_m3_p1_rank06.csv
TE,Hz,TE_m3_p1,7,8,3,1,1,364612320.7489576,1,1,7.641709173571808,4.549831835856057,4.201188941210528,4.549831835856057,4.201188941210528,6.139604983944995,0,0,8.298672102689848,0.8722270217743158,te_sign_only_above_cutoff,helm10_circle_fields_TE_m3_p1_rank07.csv
TE,Hz,TE_m1_p2,8,9,1,2,1,364612320.7489576,1,1,7.641709173571808,5.738371171722719,5.331442773525032,5.738371171722719,5.331442773525032,5.046465633390676,0,0,7.632613074614978,0.8911847034818752,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p2_rank08.csv
TE,Hz,TE_m1_p2,9,10,1,2,1,364612320.7489576,1,1,7.641709173571808,5.738371171723022,5.331442773525032,5.738371171723022,5.331442773525032,5.046465633390331,0,0,7.632613074620676,0.8911847034818624,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p2_rank09.csv
TE,Hz,TE_m4_p1,10,11,4,1,1,364612320.7489576,1,1,7.641709173571808,5.942760579410763,5.317553126083993,5.942760579410763,5.317553126083993,4.804093649092717,0,0,11.75742749536366,0.8228891855465756,te_sign_only_above_cutoff,helm10_circle_fields_TE_m4_p1_rank10.csv
TM,Ez,TM_m0_p1,1,1,0,1,1,364612320.7489576,1,1,7.641709173571808,2.461889913878248,2.404825557695773,2.461889913878248,2.404825557695773,7.234280693019596,356.6444065514367,0,2.372910417550281,0.9998264527726511,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m0_p1_rank01.csv
TM,Ez,TM_m1_p1,2,2,1,1,1,364612320.7489576,1,1,7.641709173571808,4.002560401899759,3.831705970207512,4.002560401899759,3.831705970207512,6.509625897284388,320.9194892380941,0,4.458965093373116,0.9562990348786646,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m1_p1_rank02.csv
TM,Ez,TM_m1_p1,3,3,1,1,1,364612320.7489576,1,1,7.641709173571808,4.002560401899921,3.831705970207512,4.002560401899921,3.831705970207512,6.509625897284288,320.9194892380892,0,4.458965093377358,0.9562990348786665,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m1_p1_rank03.csv
TM,Ez,TM_m2_p1,4,4,2,1,1,364612320.7489576,1,1,7.641709173571808,5.565196684203572,5.135622301840682,5.565196684203572,5.135622301840682,5.2368220286335,258.1712493433694,0,8.364602323050988,0.9642720972538041,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m2_p1_rank04.csv
TM,Ez,TM_m2_p1,5,5,2,1,1,364612320.7489576,1,1,7.641709173571808,5.565196684204437,5.135622301840682,5.565196684204437,5.135622301840682,5.236822028632581,258.1712493433241,0,8.364602323067833,0.9642720972538176,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m2_p1_rank05.csv
TM,Ez,TM_m0_p2,6,6,0,2,1,364612320.7489576,1,1,7.641709173571808,5.8412422934054,5.52007811028631,5.8412422934054,5.52007811028631,4.927028268965335,242.8986581544763,0,5.818109394514208,0.9971958709708201,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m0_p2_rank06.csv
TM,Ez,TM_m3_p1,7,7,3,1,1,364612320.7489576,1,1,7.641709173571808,7.257853232678938,6.380161895923983,7.257853232678938,6.380161895923983,2.391502779915469,117.8992253551964,0,13.75656842368961,0.9835997424092202,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m3_p1_rank07.csv
TM,Ez,TM_m3_p1,8,8,3,1,1,364612320.7489576,1,1,7.641709173571808,7.257853232679421,6.380161895923983,7.257853232679421,6.380161895923983,2.391502779914002,117.8992253551241,0,13.75656842369718,0.9835997424092273,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m3_p1_rank08.csv
TM,Ez,TM_m1_p2,9,9,1,2,1,364612320.7489576,1,1,7.641709173571808,7.641682252016291,7.015586669815619,7.641682252016291,7.015586669815619,0.02028429616116692,1.000000010186689,0,8.924351043861122,0.8600759133511633,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m1_p2_rank09.csv
TM,Ez,TM_m1_p2,10,10,1,2,1,364612320.7489576,1,1,7.641709173571808,7.641682252016841,7.015586669815619,7.641682252016841,7.015586669815619,0.02028429595414433,0.9999999999806363,0,8.92435104386896,0.8600759133511661,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m1_p2_rank10.csv
