ordered_rank,solver_index,lambda
1,0,-3.375987647338496e-13
2,1,3.552086426210849
3,2,3.552086426215052
4,3,10.25676777484959
5,4,10.25676777485599
6,5,16.01116514994138
7,6,20.70096973456485
8,7,20.7009697345693
9,8,32.92890370445836
10,9,32.92890370446185
11,10,35.31640330419854
12,11,35.31640330421146
13,12,53.60159464086377
14,13,53.60159464088676
15,14,56.32414623937613
16,15,56.32414623938357
17,16,60.91272049444019
18,17,72.68829371509307
19,18,72.68829371516142
20,19,85.91111374675117
21,20,85.9111137467895
22,21,87.91302037988785
23,22,87.91302037989149
24,23,97.67837866503082
25,24,97.67837866503359
26,25,127.3260412958409
27,26,127.3260412958512
28,27,143.6177874134346
29,28,143.6177874134431
30,29,146.3958324721132
31,30,170.1768562548067
32,31,170.1768562548337
33,32,200.953588872805
34,33,200.9535888728221
35,34,207.7183054827334
36,35,207.7183054827686
37,36,212.1610943084606
38,37,212.1610943084758
39,38,229.8378345744904
40,39,229.8378345745133
41,40,265.0959325339188
42,41,265.0959325339282
43,42,285.0019915070514
44,43,285.1880747090379
45,44,285.1880747090633
46,45,326.2384515934651
47,46,326.2384515935278
48,47,364.9616345780728
49,48,364.9616345781009
50,49,370.8330659814513
51,50,370.8330659814812
52,51,373.6834271555051
53,52,373.6834271555682
54,53,399.46431371099
55,54,399.4643137110172
56,55,447.0091434035526
57,56,447.0091434035967
58,57,474.4735089149432
59,58,474.4735089150259
60,59,476.622668608364
61,60,518.5529551001798
62,61,518.5529551002054
63,62,552.7157910018702
64,63,552.7157910019175
65,64,565.3074803133529
66,65,565.3074803134164
67,66,569.77056829707
68,67,569.7705682971575
69,68,595.7730523151544
70,69,595.7730523152072
71,70,649.6705266044403
72,71,649.6705266045577
73,72,672.620749324346
74,73,672.6207493245267
75,74,675.9373726102059
76,75,711.2025000624999
77,76,711.2025000625641
78,77,712.0680614976576
79,78,712.0680614977321
80,79,742.8742137081128
81,80,742.874213708211
82,81,754.1354562178199
83,82,754.135456217921
84,83,777.7327759862574
85,84,777.7327759863192
86,85,845.2759912129289
87,86,845.2759912130305
88,87,885.6159359364311
89,88,885.6159359369237
90,89,888.5539649402714
91,90,891.2003431158911
92,91,891.2003431161597
93,92,899.5178598283386
94,93,899.5178598285505
95,94,902.7591770424549
96,95,902.7591770426573
97,96,912.0973991614567
98,97,912.0973991616715
99,98,913.8893404117955
100,99,913.8893404119502
101,100,916.5836411141205
102,101,916.5836411142553
103,102,933.8505085125267
104,103,933.850508512571
105,104,1017.006929341102
106,105,1026.668672171299
107,106,1026.668672171319
108,107,1180.487557113045
109,108,1180.487557113076
110,109,1272.910308161936
111,110,1272.910308161969
112,111,1611.873507521083
113,112,1611.873507521092
114,113,2637.243907564597
115,114,2637.243907564608
116,115,3844.984916730738
117,116,3844.984916730747
118,117,4984.623261370147
119,118,4984.62326137015
120,119,5710.138770858181
121,120,5710.138770858196
