ordered_rank,solver_index,lambda
1,0,6.060901948055445
2,1,16.02048977085596
3,2,16.02048977085726
4,3,30.97141413387044
5,4,30.97141413388007
6,5,34.12011153026797
7,6,52.67643354710811
8,7,52.67643354711512
9,8,58.39530764078077
10,9,58.39530764078918
11,10,82.00538459547823
12,11,82.00538459548801
13,12,91.01037952911371
14,13,91.01037952914554
15,14,93.17450785314942
16,15,116.982671988949
17,16,116.9826719889838
18,17,134.2159461254658
19,18,134.2159461254927
20,19,140.2439977214948
21,20,140.243997721514
22,21,150.852928308695
23,22,150.8529283087175
24,23,172.5417204193198
25,24,172.5417204193699
26,25,186.5369363896059
27,26,186.5369363896451
28,27,196.7114722707055
29,28,197.2278082374064
30,29,197.2278082374672
31,30,241.4888985455384
32,31,241.4888985455843
33,32,267.2944258864065
34,33,267.2944258864472
35,34,274.5376277247213
36,35,274.5376277247469
37,36,288.1707225554325
38,37,288.1707225554703
39,38,315.1143291926216
40,39,315.1143291926524
41,40,345.1160050369218
42,41,345.1160050369779
43,42,362.5481649605059
44,43,364.0813272915473
45,44,364.0813272916322
46,45,418.0654305393035
47,46,418.0654305393574
48,47,451.6878005364541
49,48,451.6878005364944
50,49,456.1823474640205
51,50,456.1823474640617
52,51,473.2666429648075
53,52,473.2666429648447
54,53,502.4696971292029
55,54,502.4696971292383
56,55,548.5069445838037
57,56,548.5069445838391
58,57,573.828100460578
59,58,573.8281004606645
60,59,576.6811259470942
61,60,625.9385654451681
62,61,625.9385654452589
63,62,641.7609071260321
64,63,641.7609071260638
65,64,670.587326142459
66,65,670.5873261425036
67,66,681.1638973356014
68,67,681.1638973356395
69,68,709.6145418075627
70,69,709.6145418076501
71,70,770.2275055531949
72,71,770.2275055532162
73,72,788.5437864026532
74,73,788.5437864027754
75,74,788.905685541367
76,75,800.6937752348543
77,76,800.6937752348808
78,77,820.0152008120243
79,78,820.0152008121466
80,79,822.9638149549578
81,80,822.9638149549958
82,81,842.7861862507299
83,82,842.7861862507698
84,83,854.662684485529
85,84,854.6626844856115
86,85,881.7412391073691
87,86,881.7412391073933
88,87,930.9185893916016
89,88,930.9185893916102
90,89,1016.941856629717
91,90,1026.20369057174
92,91,1026.20369057176
93,92,1180.466423678528
94,93,1180.466423678557
95,94,1272.90494265038
96,95,1272.904942650413
97,96,1611.873500845841
98,97,1611.873500845852
99,98,2637.24390693976
100,99,2637.243906939772
101,100,3844.984916682577
102,101,3844.984916682588
103,102,4984.623261358554
104,103,4984.623261358557
105,104,5710.13877085617
106,105,5710.138770856184
