ordered_rank,solver_index,lambda
1,0,1.48317443090564e-13
2,1,0.1758273825910995
3,2,0.1758273825913952
4,3,0.6067906780319922
5,4,0.6067906780324864
6,5,1.231556441960416
7,6,1.231556441961824
8,7,1.330687915189032
9,8,1.716773282236862
10,9,1.716773282236952
11,10,2.082374460296442
12,11,2.082374460297953
13,12,2.92710670463334
14,13,2.927106704633426
15,14,3.177703694430285
16,15,3.177703694433821
17,16,4.464221830789854
18,17,4.464221830795286
19,18,4.829420496778714
20,19,4.829420496779187
21,20,5.633430560586593
22,21,5.733206658728486
23,22,5.733206658733069
24,23,6.068698182168497
25,24,6.068698182168719
26,25,6.571642113217454
27,26,6.571642113224042
28,27,7.173104549936809
29,28,7.173104549937233
30,29,7.521949824831661
31,30,7.521949824832165
32,31,9.855179364486755
33,32,9.855179364487704
34,33,10.34263486514791
35,34,10.34263486514846
36,35,12.6800464585342
37,36,12.68004645853806
38,37,14.49814864115505
39,38,14.4981486411566
40,39,14.82445966938106
41,40,15.16947612345133
42,41,15.16947612345396
43,42,15.33672300493205
44,43,15.33672300493295
45,44,16.6635744839594
46,45,16.66357448396159
47,46,16.94942242039998
48,47,16.94942242040024
49,48,19.14848649063241
50,49,19.14848649063387
51,50,19.90388468903362
52,51,19.90388468903472
53,52,23.44655553990942
54,53,23.4465555399144
55,54,24.55041306361245
56,55,24.55041306361519
57,56,26.82167563753824
58,57,26.82167563754057
59,58,28.71416468993629
60,59,28.7141646899387
61,60,30.70735033217938
62,61,30.70735033218039
63,62,30.89485054690828
64,63,31.46467878548484
65,64,31.46467878548638
66,65,33.19354021082123
67,66,33.1935402108232
68,67,36.13780307807502
69,68,36.13780307807745
70,69,36.85397912213354
71,70,36.85397912213956
72,71,40.3899900304045
73,72,40.38999003040934
74,73,41.44747400722186
75,74,41.44747400722569
76,75,43.86913785397559
77,76,43.86913785397664
78,77,46.00647619885144
79,78,46.00647619885466
80,79,52.45618590087428
81,80,52.4561859008798
82,81,54.38772604598805
83,82,54.94671046039323
84,83,54.94671046039541
85,84,56.61197775178825
86,85,56.61197775179275
87,86,58.01929538663215
88,87,58.01929538663774
89,88,59.34478427995094
90,89,59.34478427995463
91,90,61.0848648884019
92,91,61.08486488840433
93,92,63.0695648775097
94,93,63.06956487750985
95,94,67.64510080960989
96,95,67.64510080961577
97,96,72.72169582472841
98,97,72.72169582473181
99,98,77.38315662664361
100,99,77.38315662665026
101,100,80.20653524381598
102,101,80.20653524381797
103,102,83.50224706811476
104,103,84.00864380590693
105,104,84.00864380590951
106,105,85.50357468526495
107,106,85.5035746852688
108,107,87.9106491171957
109,108,87.91064911719926
110,109,91.08898619590994
111,110,91.08898619591361
112,111,94.80411226003358
113,112,94.80411226003743
114,113,98.66118803042455
115,114,98.66118803043032
116,115,102.0078175422254
117,116,102.0078175422296
118,117,103.9960021471257
119,118,103.9960021471342
120,119,113.94649016779
121,120,114.3945562937202
122,121,114.3945562937314
123,122,115.7166368989013
124,123,115.7166368989119
125,124,117.8440873104617
126,125,117.8440873104709
127,126,120.6490691781371
128,127,120.6490691781443
129,128,123.9050210996519
130,129,123.9050210996531
131,130,127.212223597842
132,131,127.2122235978524
133,132,129.9655272204564
134,133,129.9655272204641
135,134,131.529974151837
136,135,131.5299741518536
137,136,139.8369160824759
138,137,140.1198504810678
139,138,140.1198504810735
140,139,140.9555199225438
141,140,140.9555199225501
142,141,142.3084154113039
143,142,142.3084154113135
144,143,144.1292041726937
145,144,144.1292041726958
146,145,146.3518589097731
147,146,146.35185890978
148,147,148.8323967196854
149,148,148.8323967196934
150,149,151.1826158612359
151,150,151.1826158612453
152,151,152.6844946156994
153,152,152.6844946157048
154,153,171.0648577566176
155,154,171.1572653754496
156,155,171.157265375464
157,156,171.426222807292
158,157,171.4262228073088
159,158,171.8478884030708
160,159,171.8478884031009
161,160,172.3852945828888
162,161,172.3852945829024
163,162,172.9903816903427
164,163,172.9903816903587
165,164,173.6008593000664
166,165,173.6008593000803
167,166,174.127194029393
168,167,174.1271940294156
169,168,174.4451157949325
170,169,174.445115794961
171,170,221.9471993000905
172,171,221.9909275621395
173,172,221.9909275621995
174,173,222.1247327012212
175,174,222.1247327012787
176,175,222.3560776018286
177,176,222.3560776019527
178,177,222.6952784394269
179,178,222.6952784394911
180,179,223.1484546088715
181,180,223.1484546089846
182,181,223.6968588246747
183,182,223.696858824732
184,183,224.253810644719
185,184,224.2538106448211
186,185,224.6310073470756
187,186,224.6310073471901
