ordered_rank,solver_index,lambda
1,0,1.076910468254173
2,1,1.296885544826474
3,2,1.296885544826657
4,3,1.958698732676576
5,4,1.958698732676859
6,5,3.07272737793213
7,6,3.072727377933285
8,7,4.658760668369177
9,8,4.658760668370002
10,9,4.807331199350172
11,10,5.148605114937002
12,11,5.148605114937412
13,12,6.205549364146319
14,13,6.205549364146869
15,14,6.706517713255943
16,15,6.706517713259458
17,16,8.043016479806631
18,17,8.043016479809559
19,18,9.069085174059607
20,19,9.069085174063403
21,20,10.66911948015694
22,21,10.66911948015725
23,22,11.32205558769963
24,23,11.32205558770285
25,24,12.70959826886855
26,25,12.75820722263861
27,26,12.75820722264156
28,27,13.19575011098962
29,28,13.19575011099056
30,29,13.9327910880115
31,30,13.93279108801728
32,31,14.68493114895273
33,32,14.6849311489539
34,33,17.23666656507555
35,34,17.23666656508057
36,35,17.43652263965527
37,36,17.43652263965851
38,37,20.50502976895163
39,38,20.50502976895347
40,39,20.83209987548521
41,40,20.83209987548697
42,41,22.32849218577422
43,42,22.32849218577865
44,43,25.20729615798213
45,44,25.20729615798979
46,45,27.67693963562918
47,46,28.28649848555072
48,47,28.28649848555335
49,48,29.74342543675323
50,49,29.74342543675715
51,50,30.1156449622828
52,51,30.11564496228591
53,52,33.13972078641648
54,53,33.13972078642477
55,54,33.55566714563009
56,55,33.5556671456316
57,56,35.75231628530805
58,57,35.75231628531348
59,58,37.23057512952203
60,59,37.23057512952505
61,60,42.0405793107606
62,61,42.04057931077134
63,62,46.91675677386579
64,63,46.91675677386918
65,64,50.96055262751771
66,65,50.96055262752368
67,66,51.63283665484075
68,67,52.25260699221362
69,68,52.25260699221744
70,69,53.27087760927847
71,70,53.27087760928294
72,71,54.08277829603943
73,72,54.08277829604305
74,73,57.02407937161654
75,74,57.02407937162929
76,75,60.87279262370269
77,76,60.87279262370581
78,77,65.2687565065068
79,78,65.26875650652377
80,79,69.64602877647231
81,80,69.64602877648026
82,81,73.25029470515801
83,82,73.25029470516905
84,83,75.30579773634602
85,84,75.3057977363524
86,85,83.35757446462294
87,86,83.85917785010226
88,87,83.85917785011218
89,88,85.32912404674309
90,89,85.32912404675135
91,90,87.66001718997123
92,91,87.66001718999024
93,92,90.66157894007509
94,93,90.66157894007739
95,94,94.03868413568534
96,95,94.03868413570711
97,96,97.36345581967379
98,97,97.36345581968231
99,98,100.0826370860572
100,99,100.082637086067
101,100,101.6283306926841
102,101,101.6283306926916
103,102,118.454167822032
104,103,118.7842562286762
105,104,118.7842562286963
106,105,119.745336760151
107,106,119.7453367601614
108,107,121.2505676992467
109,108,121.2505676992736
110,109,123.1561370294229
111,110,123.1561370294254
112,111,125.258694143745
113,112,125.2586941437712
114,113,127.2902980268384
115,114,127.2902980268482
116,115,128.9279253928178
117,116,128.9279253928285
118,117,129.8508908712183
119,118,129.8508908712231
120,119,153.7357675056727
121,120,153.8907688739264
122,121,153.8907688739408
123,122,154.3372409255666
124,123,154.337240925577
125,124,155.0214446728946
126,125,155.0214446729258
127,126,155.8597849755592
128,127,155.8597849755648
129,128,156.7469527624166
130,129,156.7469527624467
131,130,157.5658967613832
132,131,157.5658967613919
133,132,158.1995859723328
134,133,158.1995859723471
135,134,158.5471294227272
136,135,158.5471294227387
137,136,200.887231457547
138,137,200.9355085378264
139,138,200.9355085378528
140,139,201.0758266705764
141,140,201.0758266705847
142,141,201.2949417884447
143,142,201.2949417885102
144,143,201.5715729445152
145,144,201.5715729445286
146,145,201.8769186857278
147,146,201.8769186857965
148,147,202.1742535984397
149,148,202.174253598469
150,149,202.4181211394276
151,150,202.4181211394658
152,151,202.5584557298554
153,152,202.5584557298956
