family,longitudinal_label,mode_label,positive_rank,eig_index,m,n,ar_m,b_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_n0,1,2,1,0,1,0.5,990048273.1158857,1,1,20.74987744629093,3.154456404365432,3.141592653589793,3.154456404365432,3.141592653589793,20.50870105172561,0,0,0.4094659045290389,0.9999978357408899,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n0_rank01.csv
TE,Hz,TE_m0_n1,2,3,0,1,1,0.5,990048273.1158857,1,1,20.74987744629093,6.354061595372883,6.283185307179586,6.354061595372883,6.283185307179586,19.75305837783862,0,0,1.128031161396895,0.9999974105907408,te_sign_only_above_cutoff,helm10_rect_fields_TE_m0_n1_rank02.csv
TE,Hz,TE_m2_n0,3,4,2,0,1,0.5,990048273.1158857,1,1,20.74987744629093,6.385744683159901,6.283185307179586,6.385744683159901,6.283185307179586,19.74283867324019,0,0,1.632283164768729,0.9999647102611763,te_sign_only_above_cutoff,helm10_rect_fields_TE_m2_n0_rank03.csv
TE,Hz,TE_m1_n1,4,5,1,1,1,0.5,990048273.1158857,1,1,20.74987744629093,7.123315047124794,7.024814731040727,7.123315047124794,7.024814731040727,19.4888634038904,0,0,1.402176710067827,0.9999977435954763,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n1_rank04.csv
TE,Hz,TE_m2_n1,5,6,2,1,1,0.5,990048273.1158857,1,1,20.74987744629093,9.098964567379905,8.885765876316732,9.098964567379905,8.885765876316732,18.64849210627117,0,0,2.399328251843912,0.9999607433181019,te_sign_only_above_cutoff,helm10_rect_fields_TE_m2_n1_rank05.csv
TE,Hz,TE_m3_n0,6,7,3,0,1,0.5,990048273.1158857,1,1,20.74987744629093,9.768288301840711,9.424777960769379,9.768288301840711,9.424777960769379,18.30677354664702,0,0,3.64475791897902,0.9998105366890802,te_sign_only_above_cutoff,helm10_rect_fields_TE_m3_n0_rank06.csv
TE,Hz,TE_m3_n1,7,8,3,1,1,0.5,990048273.1158857,1,1,20.74987744629093,11.80236175792888,11.32717339913898,11.80236175792888,11.32717339913898,17.066390097823,0,0,4.195118605900626,0.9997749792916463,te_sign_only_above_cutoff,helm10_rect_fields_TE_m3_n1_rank07.csv
TE,Hz,TE_m0_n2,8,9,0,2,1,0.5,990048273.1158857,1,1,20.74987744629093,13.17956373783462,12.56637061435917,13.17956373783462,12.56637061435917,16.0267437028377,0,0,4.879635833553806,0.9993227337757371,te_sign_only_above_cutoff,helm10_rect_fields_TE_m0_n2_rank08.csv
TE,Hz,TE_m4_n0,9,10,4,0,1,0.5,990048273.1158857,1,1,20.74987744629093,13.36872070605029,12.56637061435917,13.36872070605029,12.56637061435917,15.86930120451796,0,0,6.384899159143869,0.9992751026293474,te_sign_only_above_cutoff,helm10_rect_fields_TE_m4_n0_rank09.csv
TE,Hz,TE_m1_n2,10,11,1,2,1,0.5,990048273.1158857,1,1,20.74987744629093,13.61819724212861,12.95311834341519,13.61819724212861,12.95311834341519,15.65573753965536,0,0,5.134508008656568,0.9993215253755503,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n2_rank10.csv
TM,Ez,TM_m1_n1,1,1,1,1,1,0.5,990048273.1158857,1,1,20.74987744629093,7.106127567262387,7.024814731040727,7.106127567262387,7.024814731040727,19.49513695858244,353.9495149624141,0,1.157508622431867,0.9996633134941694,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n1_rank01.csv
TM,Ez,TM_m2_n1,2,2,2,1,1,0.5,990048273.1158857,1,1,20.74987744629093,9.146578295816216,8.885765876316732,9.146578295816216,8.885765876316732,18.62518508672053,338.1548558256077,0,2.935170959147461,0.9996745599011794,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m2_n1_rank02.csv
TM,Ez,TM_m3_n1,3,3,3,1,1,0.5,990048273.1158857,1,1,20.74987744629093,11.93413334834409,11.32717339913898,11.93413334834409,11.32717339913898,16.97450662788273,308.1854926400193,0,5.358441402965135,0.9996929141949774,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m3_n1_rank03.csv
TM,Ez,TM_m1_n2,4,4,1,2,1,0.5,990048273.1158857,1,1,20.74987744629093,13.48948130744356,12.95311834341519,13.48948130744356,12.95311834341519,15.76677862127277,286.2582426261162,0,4.140801850243504,0.9980023411697807,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n2_rank04.csv
TM,Ez,TM_m2_n2,5,5,2,2,1,0.5,990048273.1158857,1,1,20.74987744629093,14.88564150551515,14.04962946208145,14.88564150551515,14.04962946208145,14.45597077353776,262.4594971799868,0,5.950420583617614,0.9980096345816781,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m2_n2_rank05.csv
TM,Ez,TM_m4_n1,6,6,4,1,1,0.5,990048273.1158857,1,1,20.74987744629093,15.22811939387231,14.04962946208145,15.22811939387231,14.04962946208145,14.09474347982478,255.9011321029666,0,8.388049912429945,0.9997175878966007,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m4_n1_rank06.csv
TM,Ez,TM_m3_n2,7,7,3,2,1,0.5,990048273.1158857,1,1,20.74987744629093,17.06134856185498,15.70796326794897,17.06134856185498,15.70796326794897,11.80964856746305,214.4134401933465,0,8.615918377320819,0.998035151131906,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m3_n2_rank07.csv
TM,Ez,TM_m5_n1,8,8,5,1,1,0.5,990048273.1158857,1,1,20.74987744629093,18.93151540215471,16.91799419646405,18.93151540215471,16.91799419646405,8.494418085664973,154.2228283749229,0,11.90165442964563,0.9997553458377961,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m5_n1_rank08.csv
TM,Ez,TM_m4_n2,9,9,4,2,1,0.5,990048273.1158857,1,1,20.74987744629093,19.88126681315711,17.77153175263346,19.88126681315711,17.77153175263346,5.940761225647011,107.8591834872738,0,11.87143061098835,0.9980987949221136,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m4_n2_rank09.csv
TM,Ez,TM_m1_n3,10,10,1,3,1,0.5,990048273.1158857,1,1,20.74987744629093,20.74980434497897,19.10956207871615,20.74980434497897,19.10956207871615,0.05507886332550262,1.000000000008223,0,8.583358736879095,0.9932858331046699,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n3_rank10.csv
