ordered_rank,solver_index,lambda
1,0,6.894731903362796e-12
2,1,9.950595207042094
3,2,40.37409875779259
4,3,40.77773515850494
5,4,50.7416172605945
6,5,82.79115619843499
7,6,95.41945634787807
8,7,139.2957430650221
9,8,173.7009003196452
10,9,178.7226933163779
11,10,185.4552961255192
12,11,221.8561235876305
13,12,224.7324356663411
14,13,285.5732316885686
15,14,296.8834238121174
16,15,344.5829424759756
17,16,380.8912959666593
18,17,443.1236199505169
19,18,455.0900589679957
20,19,457.3592552104427
21,20,501.5674652129316
22,21,503.1318100893295
23,22,512.6005887625221
24,23,578.6684824677498
25,24,651.1044240153806
26,25,683.0335531327718
27,26,691.167350434589
28,27,695.8429316701699
29,28,841.9360663470183
30,29,862.8582100886233
31,30,885.9418403867983
32,31,900.893913657777
33,32,920.5056835007229
34,33,937.3599741909551
35,34,992.0963086630509
36,35,1029.283121761243
37,36,1038.452924679127
38,37,1068.107505499806
39,38,1084.687712024647
40,39,1094.204552325133
41,40,1101.810966894583
42,41,1124.693481600506
43,42,1215.904988153616
44,43,1242.154597370046
45,44,1267.101830577124
46,45,1329.309926104321
47,46,1384.494013040979
48,47,1451.134099771189
49,48,1582.924196430153
50,49,1610.455572233548
51,50,1670.080629416215
52,51,1673.950903741932
53,52,1691.611744946465
54,53,1754.200346706535
55,54,1794.568604577356
56,55,1857.395223953348
57,56,1989.302078120995
58,57,1998.373972667013
59,58,2129.748534535683
60,59,2170.758398099469
61,60,2183.959684274767
62,61,2362.638482831214
63,62,2554.490131826873
64,63,2721.122733612377
65,64,2738.132116135344
66,65,2753.669218709132
67,66,2817.745538405222
68,67,2835.935539256933
69,68,2882.306226078812
70,69,2919.046885064291
71,70,3052.701572576485
72,71,3209.139930304589
73,72,3374.65558191309
74,73,3532.100949653172
75,74,3662.919116179964
76,75,3750.689201649123
77,76,3788.703164970467
78,77,4096.488883609173
79,78,4107.445973384127
80,79,4165.887175678668
81,80,4253.32214075797
82,81,4365.645391804177
83,82,4493.029061103846
84,83,4623.371219617317
85,84,4743.52959431989
86,85,4840.984425243975
87,86,4906.101632468367
88,87,4936.719138176784
89,88,5698.693553294094
90,89,5704.808288948634
91,90,5757.117405881232
92,91,5827.879622782963
93,92,5917.697396452359
94,93,6018.003257758339
95,94,6119.084770982837
96,95,6211.121077977422
97,96,6285.378597609559
98,97,6335.78032521685
99,98,6361.55711517022
100,99,7532.339093269049
101,100,7535.632480014573
102,101,7585.961410028201
103,102,7645.299124573306
104,103,7720.821416702277
105,104,7804.925458634538
106,105,7889.464601532922
107,106,7966.45438085883
108,107,8029.023102122393
109,108,8072.612247574412
110,109,8096.490817481251
111,110,9640.940245100681
112,111,9642.980511752034
113,112,9694.03636663918
114,113,9747.260017937049
115,114,9815.63795527818
116,115,9892.031924606019
117,116,9969.092108238759
118,117,10039.72287818507
119,118,10097.88401112023
120,119,10139.50616484576
121,120,10163.4108934425
122,121,12070.24112463226
123,122,12071.39799564299
124,123,12124.42400102884
125,124,12171.75321498547
126,125,12233.43470898577
127,126,12302.74358224595
128,127,12373.09460076385
129,128,12438.26396524185
130,129,12492.96929992286
131,130,12533.38520704053
132,131,12557.61779852014
133,132,14818.61789674675
134,133,14819.05312683359
135,134,14874.00512041156
136,135,14911.73935004058
137,136,14962.10910642136
138,137,15019.21900467219
139,138,15077.76049629138
140,139,15132.98330382997
141,140,15180.84707903424
142,141,15217.87504852916
143,142,15241.22731726875
144,143,17817.66076252745
145,144,17817.72956792473
146,145,17875.73049563305
147,146,17900.7692493149
148,147,17935.64176068529
149,148,17976.0429851819
150,149,18018.51375544327
151,150,18060.26052290617
152,151,18098.60707363582
153,152,18130.20868586931
154,153,18151.2104187476
155,154,20950.30345370246
156,155,20950.30559390315
157,156,21017.77547876112
158,157,21031.62031145894
159,158,21052.15181063422
160,159,21077.32589707827
161,160,21105.72901464564
162,161,21136.16168656978
163,162,21166.57595003504
164,163,21193.36394826501
165,164,21211.96408777448
166,165,24110.81577959056
167,166,24110.8158585896
168,167,24181.54495134233
169,168,24189.96906866751
170,169,24203.16836019796
171,170,24220.67215674839
172,171,24242.31826483027
173,172,24267.52273778856
174,173,24294.33815395197
175,174,24319.00853275383
176,175,24336.62835178838
177,176,27235.27702154894
178,177,27235.28092555238
179,178,27272.05931664837
180,179,27281.39769411908
181,180,27295.00206119028
182,181,27311.9683210706
183,182,27332.43310952607
184,183,27356.41331982476
185,184,27382.31448684347
186,185,27406.43559862883
187,186,27423.79506761183
188,187,30220.8312336175
189,188,30222.60390927812
190,189,30233.03758593946
191,190,30248.53099397577
192,191,30268.55149083476
193,192,30291.0700786753
194,193,30313.16635110743
195,194,30332.43114349828
196,195,30349.37995198873
197,196,30365.20083331433
198,197,30377.48760665644
199,198,32978.45367323172
200,199,32981.72281340462
201,200,32990.63965996115
202,201,33004.78038053403
203,202,33023.10015474689
204,203,33044.12645513458
205,204,33065.90295146203
206,205,33085.80238698574
207,206,33100.36088127414
208,207,33179.45285015555
209,208,33179.45785803456
210,209,35359.50235848407
211,210,35361.31977739651
212,211,35365.99420061171
213,212,35373.31523664817
214,213,35382.66335086423
215,214,35393.19348825647
216,215,35403.83922994321
217,216,35413.26400090425
218,217,35419.89444356586
219,218,35642.92965280201
220,219,35642.92968391309
221,220,37018.04243399043
222,221,37018.23297696331
223,222,37019.19267188584
224,223,37020.77488920699
225,224,37022.87255148714
226,225,37025.20413169494
227,226,37027.43397734359
228,227,37029.2559616397
229,228,37030.44053985467
230,229,37358.16787553574
231,230,37358.16787757257
