ordered_rank,solver_index,lambda
1,0,50.49704900220645
2,1,83.65989452149628
3,2,142.4235387760586
4,3,181.9661059438692
5,4,221.5823230307154
6,5,231.8956202740299
7,6,291.0896147491111
8,7,358.4022754220209
9,8,395.2647700959422
10,9,430.554380354908
11,10,479.817483215146
12,11,526.9238761286323
13,12,539.289618022956
14,13,565.0330875132388
15,14,689.9311075362791
16,15,725.5238018106983
17,16,734.4681017529298
18,17,845.2613955194602
19,18,857.2918392242923
20,19,906.206521318435
21,20,946.6416149160156
22,21,957.7244919917828
23,22,1009.707148559456
24,23,1065.19313029528
25,24,1141.871744333224
26,25,1157.363587992803
27,26,1175.024848011459
28,27,1300.316277860544
29,28,1347.973829474426
30,29,1356.426243165643
31,30,1509.582068249746
32,31,1530.805922925911
33,32,1573.920579144246
34,33,1581.640060910193
35,34,1701.44491594194
36,35,1705.499734500142
37,36,1816.088371292921
38,37,1866.931034301424
39,38,2040.946869813831
40,39,2071.600035230438
41,40,2203.961637341429
42,41,2302.151962092955
43,42,2500.859759530767
44,43,2536.731497909409
45,44,2578.107919000593
46,45,2702.793970813139
47,46,2744.728362825493
48,47,2870.019716807178
49,48,2889.355531463891
50,49,3069.106561568792
51,50,3283.968674469664
52,51,3493.761377547876
53,52,3673.083027494389
54,53,3795.439391897724
55,54,3832.75520214198
56,55,3905.052344967181
57,56,4020.361922430604
58,57,4170.766028133497
59,58,4344.960094621415
60,59,4528.46518846785
61,60,4704.036209416427
62,61,4852.255593583373
63,62,4952.876058665955
64,63,5465.47275350306
65,64,5527.234473624179
66,65,5624.966201683143
67,66,5751.198281028137
68,67,5896.072726558548
69,68,6047.743254892885
70,69,6192.563651107342
71,70,6315.050398404607
72,71,6398.502577337279
73,72,7371.69012816959
74,73,7424.493051846838
75,74,7508.000655653703
76,75,7615.867234668182
77,76,7739.815120505902
78,77,7869.896083512646
79,78,7994.499245831582
80,79,8100.204677200791
81,80,8172.367026982248
82,81,9582.021791827186
83,82,9629.314424604443
84,83,9704.196119097309
85,84,9801.088328478991
86,85,9912.639095607183
87,86,10029.87867582605
88,87,10142.21262532764
89,88,10237.39552546179
90,89,10302.23386255856
91,90,12149.93680282266
92,91,12191.96003952193
93,92,12258.55509621771
94,93,12344.83691151884
95,94,12444.31389670225
96,95,12548.96347800491
97,96,12649.2202679192
98,97,12734.04818910526
99,98,12791.70745199369
100,99,15091.89740322171
101,100,15125.91907454597
102,101,15179.94123896487
103,102,15250.15959302494
104,103,15331.45873712182
105,104,15417.37436802618
106,105,15500.01646182979
107,106,15570.14517487189
108,107,15617.89182224405
109,108,18361.28672688825
110,109,18384.65707464414
111,110,18422.04702666294
112,111,18471.17973435883
113,112,18528.82181248313
114,113,18590.59432598721
115,114,18650.80502566028
116,115,18702.47607467605
117,116,18737.94514041412
118,117,21855.7551068611
119,118,21869.05583261694
120,119,21890.85194113337
121,120,21920.35588710434
122,121,21956.04893799968
123,122,21995.41143248747
124,123,22034.75088829776
125,124,22069.20623018175
126,125,22093.20643286577
127,126,25441.34248670144
128,127,25448.79517160255
129,128,25461.67371875708
130,129,25479.96689316349
131,130,25502.9268326228
132,131,25528.93636161808
133,132,25555.44748975978
134,133,25578.99903211813
135,134,25595.5573700458
136,135,28970.73095403159
137,136,28976.86158037293
138,137,28987.77628553654
139,138,29003.468941411
140,139,29023.10524347065
141,140,29045.08711396847
142,141,29067.13705777115
143,142,29086.4030967853
144,143,29099.7620820277
145,144,32262.89295899725
146,145,32268.96106653214
147,146,32279.52529083096
148,147,32294.36951671286
149,148,32312.49690247504
150,149,32332.25522346422
151,150,32351.52277511087
152,151,32367.90359072342
153,152,32379.00992984559
154,153,35046.96349017308
155,154,35050.72530697968
156,155,35057.19463199777
157,156,35066.17595480673
158,157,35077.01002442852
159,158,35088.66360078732
160,159,35099.86803184564
161,160,35109.26130262799
162,161,35115.55554256467
163,162,36946.55157050853
164,163,36946.63759317122
165,164,36947.39250060519
166,165,36948.41765415671
167,166,36949.69697246984
168,167,36951.05908191539
169,168,36952.3228227767
170,169,36953.33343710531
171,170,36953.98121511207
