ordered_rank,solver_index,lambda
1,0,-9.758214481539603e-13
2,1,-7.374516136411442e-13
3,2,-6.786539261254348e-13
4,3,-6.43301584454708e-13
5,4,-5.651866835761547e-13
6,5,-5.381099185641677e-13
7,6,-4.871493679704542e-13
8,7,-4.698997236511057e-13
9,8,-4.482630971480021e-13
10,9,-4.194510087471783e-13
11,10,-4.114268966360092e-13
12,11,-3.980875070978441e-13
13,12,-3.776882246752002e-13
14,13,-3.557485840480849e-13
15,14,-3.478499035806007e-13
16,15,-3.33037621650931e-13
17,16,-3.239527875370084e-13
18,17,-3.039825869107842e-13
19,18,-2.920941838110696e-13
20,19,-2.712340474383416e-13
21,20,-2.614630406254609e-13
22,21,-2.54354430713514e-13
23,22,-2.487975214019264e-13
24,23,-2.294884328529934e-13
25,24,-2.243937765906512e-13
26,25,-2.186303445801739e-13
27,26,-2.047503404426272e-13
28,27,-1.951997556343377e-13
29,28,-1.866794568224546e-13
30,29,-1.825897821807224e-13
31,30,-1.728551280313077e-13
32,31,-1.672425949719051e-13
33,32,-1.611777312330984e-13
34,33,-1.461051869524769e-13
35,34,-1.350548174356178e-13
36,35,-1.289960244611409e-13
37,36,-1.160059425427214e-13
38,37,-1.122795597388399e-13
39,38,-1.033656777086024e-13
40,39,-9.20247701182481e-14
41,40,-7.971077581367933e-14
42,41,-7.417525800019015e-14
43,42,-7.100658373849757e-14
44,43,-6.404949607968264e-14
45,44,-6.107708657237001e-14
46,45,-4.876016700289489e-14
47,46,-4.490219033470102e-14
48,47,-3.667750390253717e-14
49,48,-2.976398589594415e-14
50,49,-2.104603731545011e-14
51,50,-1.508171991426415e-14
52,51,2.32049244889767e-15
53,52,6.7045014225652e-15
54,53,1.283658481452898e-14
55,54,1.848170255357139e-14
56,55,2.797989190743512e-14
57,56,3.449663721264689e-14
58,57,3.69539765185381e-14
59,58,4.771356098571252e-14
60,59,6.184458486790234e-14
61,60,7.136028430468002e-14
62,61,7.691125008488485e-14
63,62,7.779459644572799e-14
64,63,8.920617644354318e-14
65,64,9.804271528083862e-14
66,65,1.027929671480286e-13
67,66,1.104852721251212e-13
68,67,1.18524032597517e-13
69,68,1.210103263311712e-13
70,69,1.345403585395696e-13
71,70,1.469625861581163e-13
72,71,1.579030859835089e-13
73,72,1.60660891177543e-13
74,73,1.687233848304568e-13
75,74,1.753954717453425e-13
76,75,1.78327137870693e-13
77,76,1.897173129471036e-13
78,77,2.083316624442738e-13
79,78,2.202152968297305e-13
80,79,2.258705157820973e-13
81,80,2.422373351488944e-13
82,81,2.446693689876384e-13
83,82,2.542613399905279e-13
84,83,2.631309074002616e-13
85,84,2.782289901703334e-13
86,85,2.819343720568998e-13
87,86,2.971195236736999e-13
88,87,3.074699358459271e-13
89,88,3.387168103588823e-13
90,89,3.471659037534557e-13
91,90,3.561126707637282e-13
92,91,3.706536872094038e-13
93,92,3.888581879220997e-13
94,93,4.11525781159115e-13
95,94,4.232495709135449e-13
96,95,4.342434954505033e-13
97,96,4.709035618799871e-13
98,97,4.864461703107515e-13
99,98,5.141825500204831e-13
100,99,5.775896117479532e-13
101,100,6.074115976599168e-13
102,101,6.977266532293827e-13
103,102,7.21130244060384e-13
104,103,9.214243506801937e-13
105,104,9.956706598912025e-13
106,105,1.22904148885146e-12
107,106,3.50665813674748
108,107,3.506658136748147
109,108,6.060901948055289
110,109,9.913763201969401
111,110,9.913763201969493
112,111,14.21582516224915
113,112,16.02048977085599
114,113,16.02048977085782
115,114,19.29957300365763
116,115,19.29957300365905
117,116,27.22193231032973
118,117,27.22193231033036
119,118,30.97141413387136
120,119,30.97141413388055
121,120,31.8038749629464
122,121,31.80387496294647
123,122,34.12011153026711
124,123,43.20782158963663
125,124,43.20782158963738
126,125,44.12969240506149
127,126,47.37119289384198
128,127,47.37119289384221
129,128,52.67643354710799
130,129,52.67643354711437
131,130,58.39530764078054
132,131,58.3953076407893
133,132,62.3729322243484
134,133,62.37293222434862
135,134,62.97875643416663
136,135,62.97875643416699
137,136,65.03235029674187
138,137,65.03235029674224
139,138,80.12124966739029
140,139,80.12124966739069
141,140,82.00538459547917
142,141,82.00538459548848
143,142,82.05786467914912
144,143,84.03719563255206
145,144,84.03719563255213
146,145,84.67457718575636
147,146,84.6745771857567
148,147,91.01037952911311
149,148,91.01037952914515
150,149,93.17450785314998
151,150,102.186024349853
152,151,102.1860243498533
153,152,106.9936676023389
154,153,106.9936676023391
155,154,109.2804936856848
156,155,109.2804936856859
157,156,116.982671988949
158,157,116.9826719889848
159,158,119.9845500988049
160,159,123.9086887382492
161,160,123.9086887382493
162,161,130.9715165770144
163,162,130.9715165770148
164,163,132.598897797968
165,164,132.5988977979685
166,165,134.2159461254658
167,166,134.2159461254929
168,167,140.2439977214945
169,168,140.2439977215136
170,169,140.6780872683715
171,170,140.6780872683716
172,171,142.9282110482726
173,172,142.9282110482734
174,173,148.1527550877183
175,174,148.1527550877185
176,175,150.852928308695
177,176,150.8529283087177
178,177,154.1381835323507
179,178,154.1381835323515
180,179,161.8714430434675
181,180,167.2638234142886
182,181,167.2638234142887
183,182,170.7148732156102
184,183,170.714873215611
185,184,172.5235806039328
186,185,172.5235806039335
187,186,172.5417204193193
188,187,172.5417204193695
189,188,176.0901138960658
190,189,176.0901138960663
191,190,186.5369363896065
192,191,186.5369363896456
193,192,192.2416765391017
194,193,192.241676539102
195,194,196.7114722707052
196,195,197.2278082374069
197,196,197.2278082374677
198,197,201.8953173449472
199,198,201.8953173449474
200,199,205.688515596136
201,200,205.688515596136
202,201,208.781916323203
203,202,208.7819163232038
204,203,210.0504212314124
205,204,210.0504212314125
206,205,228.0602970542062
207,206,235.8016048021529
208,207,235.801604802153
209,208,241.4888985455391
210,209,241.4888985455846
211,210,244.49385267968
212,211,244.4938526796804
213,212,246.1746765878469
214,213,246.1746765878477
215,214,246.4884456905025
216,215,246.4884456905031
217,216,255.2065880216749
218,217,255.2065880216755
219,218,267.2944258864064
220,219,267.2944258864468
221,220,274.5376277247216
222,221,274.5376277247464
223,222,284.0826364820978
224,223,284.0826364820983
225,224,284.0987775539454
226,225,284.0987775539455
227,226,288.1707225554323
228,227,288.1707225554688
229,228,292.2411065703061
230,229,292.2411065703064
231,230,294.874605838372
232,231,294.8746058383726
233,232,305.2461832752546
234,233,305.246183275255
235,234,309.0780151537008
236,235,309.0780151537012
237,236,315.1143291926215
238,237,315.1143291926523
239,238,322.8439284716804
240,239,322.8439284716813
241,240,345.1160050369214
242,241,345.1160050369778
243,242,356.02160346352
244,243,356.0216034635212
245,244,358.3160827870178
246,245,362.5481649605058
247,246,362.7030333270092
248,247,362.7030333270101
249,248,364.0813272915475
250,249,364.0813272916321
251,250,366.9486572903578
252,251,366.9486572903583
253,252,366.9858794407509
254,253,366.9858794407511
255,254,369.0938252200437
256,255,369.0938252200446
257,256,371.5496435114181
258,257,371.5496435114186
259,258,378.1854365551866
260,259,378.1854365551891
261,260,385.9335769346928
262,261,405.5440955719743
263,262,405.5440955719749
264,263,418.065430539304
265,264,418.0654305393574
266,265,436.2883138454077
267,266,436.288313845408
268,267,438.3132636272657
269,268,438.3132636272662
270,269,438.3453473570086
271,270,438.3453473570091
272,271,440.5807778436634
273,272,440.5807778436661
274,273,451.6878005364533
275,274,451.6878005364945
276,275,456.1823474640204
277,276,456.1823474640619
278,277,471.6460244566879
279,278,471.6460244566885
280,279,473.2666429648077
281,280,473.2666429648447
282,281,492.5561266547708
283,282,492.5561266547718
284,283,495.2018505724933
285,284,495.2018505724936
286,285,500.0067968185789
287,286,500.885228792333
288,287,500.8852287923335
289,288,502.469697129203
290,289,502.4696971292374
