section,index,value
nrows,0,121
ncols,0,121
nnz,0,10501
row_ptr,0,0
row_ptr,1,121
row_ptr,2,224
row_ptr,3,327
row_ptr,4,430
row_ptr,5,533
row_ptr,6,636
row_ptr,7,739
row_ptr,8,842
row_ptr,9,945
row_ptr,10,1048
row_ptr,11,1151
row_ptr,12,1254
row_ptr,13,1357
row_ptr,14,1460
row_ptr,15,1563
row_ptr,16,1666
row_ptr,17,1766
row_ptr,18,1866
row_ptr,19,1966
row_ptr,20,2066
row_ptr,21,2166
row_ptr,22,2266
row_ptr,23,2366
row_ptr,24,2466
row_ptr,25,2566
row_ptr,26,2666
row_ptr,27,2766
row_ptr,28,2866
row_ptr,29,2966
row_ptr,30,3066
row_ptr,31,3166
row_ptr,32,3261
row_ptr,33,3356
row_ptr,34,3451
row_ptr,35,3546
row_ptr,36,3641
row_ptr,37,3736
row_ptr,38,3831
row_ptr,39,3926
row_ptr,40,4021
row_ptr,41,4116
row_ptr,42,4211
row_ptr,43,4306
row_ptr,44,4401
row_ptr,45,4496
row_ptr,46,4591
row_ptr,47,4682
row_ptr,48,4773
row_ptr,49,4864
row_ptr,50,4955
row_ptr,51,5046
row_ptr,52,5137
row_ptr,53,5228
row_ptr,54,5319
row_ptr,55,5410
row_ptr,56,5501
row_ptr,57,5592
row_ptr,58,5683
row_ptr,59,5774
row_ptr,60,5865
row_ptr,61,5956
row_ptr,62,6041
row_ptr,63,6126
row_ptr,64,6211
row_ptr,65,6296
row_ptr,66,6381
row_ptr,67,6466
row_ptr,68,6551
row_ptr,69,6636
row_ptr,70,6721
row_ptr,71,6806
row_ptr,72,6891
row_ptr,73,6976
row_ptr,74,7061
row_ptr,75,7146
row_ptr,76,7231
row_ptr,77,7308
row_ptr,78,7385
row_ptr,79,7462
row_ptr,80,7539
row_ptr,81,7616
row_ptr,82,7693
row_ptr,83,7770
row_ptr,84,7847
row_ptr,85,7924
row_ptr,86,8001
row_ptr,87,8078
row_ptr,88,8155
row_ptr,89,8232
row_ptr,90,8309
row_ptr,91,8386
row_ptr,92,8459
row_ptr,93,8532
row_ptr,94,8605
row_ptr,95,8678
row_ptr,96,8751
row_ptr,97,8824
row_ptr,98,8897
row_ptr,99,8970
row_ptr,100,9043
row_ptr,101,9116
row_ptr,102,9189
row_ptr,103,9262
row_ptr,104,9335
row_ptr,105,9408
row_ptr,106,9481
row_ptr,107,9549
row_ptr,108,9617
row_ptr,109,9685
row_ptr,110,9753
row_ptr,111,9821
row_ptr,112,9889
row_ptr,113,9957
row_ptr,114,10025
row_ptr,115,10093
row_ptr,116,10161
row_ptr,117,10229
row_ptr,118,10297
row_ptr,119,10365
