node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.025,0
12,0.1,0.025,0.1718678176674564
13,0.2,0.025,0.2025478541177678
14,0.3,0.025,0.06584785817177433
15,0.4,0.025,-0.1245817660284831
16,0.5,0.025,-0.2119751215237171
17,0.6,0.025,-0.1245378195744435
18,0.7,0.025,0.06529935815144902
19,0.8,0.025,0.2003631500177633
20,0.9,0.025,0.1704178147632569
21,1,0.025,0
22,0,0.05,0
23,0.1,0.05,0.2838742301080471
24,0.2,0.05,0.3337978059464271
25,0.3,0.05,0.1084742983855544
26,0.4,0.05,-0.2054417187991723
27,0.5,0.05,-0.3494955692009877
28,0.6,0.05,-0.2052933763407601
29,0.7,0.05,0.107766852527898
30,0.8,0.05,0.330644653042791
31,0.9,0.05,0.280038226332842
32,1,0.05,0
33,0,0.075,0
34,0.1,0.075,0.3866135288723556
35,0.2,0.075,0.4540313284642881
36,0.3,0.075,0.147443890352836
37,0.4,0.075,-0.2797362269477944
38,0.5,0.075,-0.4757027652909668
39,0.6,0.075,-0.2793158002531211
40,0.7,0.075,0.146904644082266
41,0.8,0.075,0.450558097307181
42,0.9,0.075,0.3811706178687183
43,1,0.075,0
44,0,0.1,0
45,0.1,0.1,0.4850756910677447
46,0.2,0.1,0.5694574565058436
47,0.3,0.1,0.1848983993129359
48,0.4,0.1,-0.3511145009616285
49,0.5,0.1,-0.5970063864314564
50,0.6,0.1,-0.3504886113605272
51,0.7,0.1,0.18454069619525
52,0.8,0.1,0.5660317222237108
53,0.9,0.1,0.4791179829908688
54,1,0.1,0
55,0,0.125,0
56,0.1,0.125,0.5768663399880968
57,0.2,0.125,0.6773196236622354
58,0.3,0.125,0.2199571032400784
59,0.4,0.125,-0.4178217428216325
60,0.5,0.125,-0.710457551030947
61,0.6,0.125,-0.4171015710469477
62,0.7,0.125,0.2197303618276025
63,0.8,0.125,0.6741612369770011
64,0.9,0.125,0.5712533905523933
65,1,0.125,0
66,0,0.15,0
67,0.1,0.15,0.6578217925969394
68,0.2,0.15,0.7726340197107019
69,0.3,0.15,0.2510222625716401
70,0.4,0.15,-0.4767279142149675
71,0.5,0.15,-0.8107825645137005
72,0.6,0.15,-0.4760879729673962
73,0.7,0.15,0.2508004551717063
74,0.8,0.15,0.7698767861409451
75,0.9,0.15,0.6531008313468514
76,1,0.15,0
77,0,0.175,0
78,0.1,0.175,0.7233158095515043
79,0.2,0.175,0.8498946972816285
80,0.3,0.175,0.2762486001131857
81,0.4,0.175,-0.5244834171205387
82,0.5,0.175,-0.8922005824284523
83,0.6,0.175,-0.5240051849727757
84,0.7,0.175,0.276010551444022
85,0.8,0.175,0.8476740195626074
86,0.9,0.175,0.7197315697791262
87,1,0.175,0
