node_id,x_m,y_m,Hz
0,0,0,-0.2974345437719196
1,0.1,0,-0.7156746142344036
2,0.2,0,-0.5802191415163265
3,0.3,0,0.6021530196369095
4,0.4,0,0.7454072367313769
5,0.5,0,0.2853702905284987
6,0.6,0,0.7233599272627251
7,0.7,0,0.5933233946201792
8,0.8,0,-0.5652754011459488
9,0.9,0,-0.7103235394637172
10,1,0,-0.3054258628505265
11,0,0.025,-0.2451422343834012
12,0.1,0.025,-0.6328276794502569
13,0.2,0.025,-0.5288285843678797
14,0.3,0.025,0.5434606596799515
15,0.4,0.025,0.6619772944547292
16,0.5,0.025,0.2286017844581615
17,0.6,0.025,0.6398425191881459
18,0.7,0.025,0.5401733956162084
19,0.8,0.025,-0.5109769806036936
20,0.9,0.025,-0.6323431190964545
21,1,0.025,-0.2499504716944934
22,0,0.05,-0.02526609880437195
23,0.1,0.05,-0.419395850384392
24,0.2,0.05,-0.4230461933569118
25,0.3,0.05,0.4289214398946557
26,0.4,0.05,0.4407445958975658
27,0.5,0.05,0.01249652558131835
28,0.6,0.05,0.4225387669111811
29,0.7,0.05,0.4273502918571016
30,0.8,0.05,-0.4077652514826792
31,0.9,0.05,-0.4197330759904156
32,1,0.05,-0.03466070332557088
33,0,0.075,0.2871021178120109
34,0.1,0.075,-0.1304260293736751
35,0.2,0.075,-0.2860899363993085
36,0.3,0.075,0.2798280182120363
37,0.4,0.075,0.1395400510719766
38,0.5,0.075,-0.2945875193590726
39,0.6,0.075,0.127677945478918
40,0.7,0.075,0.280623258172344
41,0.8,0.075,-0.2742965267238167
42,0.9,0.075,-0.129391008193557
43,1,0.075,0.283238852425567
44,0,0.1,0.6078690950376298
45,0.1,0.1,0.165633407521082
46,0.2,0.1,-0.1452054420805342
47,0.3,0.1,0.127358746138251
48,0.4,0.1,-0.1695125833564594
49,0.5,0.1,-0.609449461060462
50,0.6,0.1,-0.174067491931617
51,0.7,0.1,0.1301477809751375
52,0.8,0.1,-0.138327179928561
53,0.9,0.1,0.167792366205041
54,1,0.1,0.6116472207595633
55,0,0.125,0.8609110282041197
56,0.1,0.125,0.410002879409083
57,0.2,0.125,-0.02229318498063478
58,0.3,0.125,-0.003638700954794558
59,0.4,0.125,-0.4245475200464487
60,0.5,0.125,-0.857212914090527
61,0.6,0.125,-0.4219534350895796
62,0.7,0.125,0.0003339064075592061
63,0.8,0.125,-0.02165702776778414
64,0.9,0.125,0.4117267073656529
65,1,0.125,0.8710132677180584
66,0,0.15,0.9862122307550308
67,0.1,0.15,0.5568743371413858
68,0.2,0.15,0.06614267114931227
69,0.3,0.15,-0.09471172422360261
70,0.4,0.15,-0.5779282830888243
71,0.5,0.15,-0.9789311316849769
72,0.6,0.15,-0.5690365176736923
73,0.7,0.15,-0.09045088987415373
74,0.8,0.15,0.05974793758219837
75,0.9,0.15,0.5566447187744414
76,1,0.15,1
77,0,0.175,0.9473700377547365
78,0.1,0.175,0.5785309711773187
79,0.2,0.175,0.1100747473463669
80,0.3,0.175,-0.1351481402340964
81,0.4,0.175,-0.601412351127974
82,0.5,0.175,-0.9393817475012063
83,0.6,0.175,-0.5873335066549339
84,0.7,0.175,-0.1312040190622744
85,0.8,0.175,0.09679882815111718
86,0.9,0.175,0.575554240535982
87,1,0.175,0.9635857320274773
88,0,0.2,0.7415957789724263
89,0.1,0.2,0.4738783364815712
90,0.2,0.2,0.108950011463936
91,0.3,0.2,-0.1250045658280168
92,0.4,0.2,-0.4941946992563135
93,0.5,0.2,-0.7374069772257699
94,0.6,0.2,-0.4762853156385756
95,0.7,0.2,-0.1216386997848778
96,0.8,0.2,0.08989847578721928
97,0.9,0.2,0.4683053428560344
98,1,0.2,0.7602469904815032
99,0,0.225,0.4026529480861829
100,0.1,0.225,0.2674635069400852
101,0.2,0.225,0.07113688871809863
102,0.3,0.225,-0.07437849415641259
103,0.4,0.225,-0.2818352839576759
104,0.5,0.225,-0.4050138960131089
105,0.6,0.225,-0.261579334890583
106,0.7,0.225,-0.07154109116745226
107,0.8,0.225,0.04822394874135661
108,0.9,0.225,0.2601066488489462
109,1,0.225,0.4227416687421407
110,0,0.25,-0.0102983496036798
111,0.1,0.25,0.003995644290222792
112,0.2,0.25,0.01213549067696466
113,0.3,0.25,-0.001313716267593348
114,0.4,0.25,-0.01052268895399685
115,0.5,0.25,-3.53299293216704e-11
116,0.6,0.25,0.01052268895112328
117,0.7,0.25,0.001313716312032691
118,0.8,0.25,-0.01213549069799064
119,0.9,0.25,-0.003995644301916161
120,1,0.25,0.01029834968807885
121,0,0.275,-0.4227416686650044
122,0.1,0.275,-0.260106648850794
123,0.2,0.275,-0.04822394875989459
124,0.3,0.275,0.071541091197352
125,0.4,0.275,0.2615793348664714
126,0.5,0.275,0.40501389594296
127,0.6,0.275,0.2818352839774962
128,0.7,0.275,0.07437849421370744
129,0.8,0.275,-0.07113688874383549
130,0.9,0.275,-0.2674635069635486
131,1,0.275,-0.4026529479747119
132,0,0.3,-0.7602469904325836
133,0.1,0.3,-0.4683053428626161
134,0.2,0.3,-0.08989847580292115
135,0.3,0.3,0.1216386998018809
136,0.4,0.3,0.4762853156002494
137,0.5,0.3,0.7374069771651132
138,0.6,0.3,0.4941946992945864
139,0.7,0.3,0.1250045658945308
140,0.8,0.3,-0.1089500114957978
141,0.9,0.3,-0.4738783365118917
142,1,0.3,-0.7415957788824845
143,0,0.325,-0.9635857320207978
144,0.1,0.325,-0.5755542405420225
145,0.2,0.325,-0.09679882816510355
146,0.3,0.325,0.1312040190681714
147,0.4,0.325,0.5873335066078555
148,0.5,0.325,0.9393817474522196
149,0.6,0.325,0.6014123511906944
150,0.7,0.325,0.1351481403078658
151,0.8,0.325,-0.1100747473839342
152,0.9,0.325,-0.5785309712181513
153,1,0.325,-0.9473700377592837
154,0,0.35,-0.9999999999813088
155,0.1,0.35,-0.5566447187880766
156,0.2,0.35,-0.05974793759382008
157,0.3,0.35,0.09045088987535595
158,0.4,0.35,0.5690365176336722
159,0.5,0.35,0.9789311316559225
160,0.6,0.35,0.5779282831642776
161,0.7,0.35,0.09471172429215664
162,0.8,0.35,-0.06614267119257558
163,0.9,0.35,-0.5568743372018546
164,1,0.35,-0.9862122307465239
165,0,0.375,-0.871013267714056
166,0.1,0.375,-0.4117267073711676
167,0.2,0.375,0.02165702775921736
168,0.3,0.375,-0.0003339064056886898
169,0.4,0.375,0.4219534350477436
170,0.5,0.375,0.8572129140647854
171,0.6,0.375,0.4245475201272256
172,0.7,0.375,0.003638701011540887
173,0.8,0.375,0.02229318493295219
174,0.9,0.375,-0.4100028794529719
175,1,0.375,-0.8609110281739821
176,0,0.4,-0.6116472207557984
177,0.1,0.4,-0.1677923662095622
178,0.2,0.4,0.1383271799229827
179,0.3,0.4,-0.1301477809678732
180,0.4,0.4,0.1740674919003073
181,0.5,0.4,0.6094494610401652
182,0.6,0.4,0.169512583420362
183,0.7,0.4,-0.1273587460994972
184,0.8,0.4,0.14520544203496
185,0.9,0.4,-0.1656334075572389
186,1,0.4,-0.6078690949624748
187,0,0.425,-0.283238852416309
188,0.1,0.425,0.1293910081889739
189,0.2,0.425,0.2742965267222239
190,0.3,0.425,-0.2806232581586622
191,0.4,0.425,-0.1276779454980761
192,0.5,0.425,0.2945875193540532
193,0.6,0.425,-0.1395400510188261
194,0.7,0.425,-0.2798280181836923
195,0.8,0.425,0.2860899363559758
196,0.9,0.425,0.1304260293416686
197,1,0.425,-0.2871021177022702
198,0,0.45,0.03466070332851118
199,0.1,0.45,0.4197330759851881
200,0.2,0.45,0.4077652514839964
201,0.3,0.45,-0.4273502918327901
202,0.4,0.45,-0.4225387669196722
203,0.5,0.45,-0.01249652558321891
204,0.6,0.45,-0.4407445958593493
205,0.7,0.45,-0.4289214399004602
206,0.8,0.45,0.4230461933426105
207,0.9,0.45,0.4193958503427677
