ordered_rank,solver_index,lambda
1,0,-1.143581294432533e-11
2,1,-1.002638592864729e-11
3,2,-4.803352623147527e-12
4,3,-4.197654362732225e-12
5,4,-4.137757826197968e-12
6,5,-4.09100280056365e-12
7,6,-3.835066574753264e-12
8,7,-3.785475657786622e-12
9,8,-3.684540020515858e-12
10,9,-3.627048544830662e-12
11,10,-3.601988566304106e-12
12,11,-3.516556729460018e-12
13,12,-3.42788295045869e-12
14,13,-3.392541283752733e-12
15,14,-3.27720667432751e-12
16,15,-3.213130831823286e-12
17,16,-3.168205070191195e-12
18,17,-3.071661081789725e-12
19,18,-3.017669101891654e-12
20,19,-2.942592907116731e-12
21,20,-2.90300605865585e-12
22,21,-2.860678522968827e-12
23,22,-2.804768742001693e-12
24,23,-2.733252200747542e-12
25,24,-2.712902622579017e-12
26,25,-2.611281858278837e-12
27,26,-2.542890388576351e-12
28,27,-2.529066810765908e-12
29,28,-2.46451829862099e-12
30,29,-2.425563326298986e-12
31,30,-2.372030288443631e-12
32,31,-2.299616810754404e-12
33,32,-2.275994834017561e-12
34,33,-2.257116695511726e-12
35,34,-2.237676039927122e-12
36,35,-2.188716151345443e-12
37,36,-2.155943355703777e-12
38,37,-2.128874071607371e-12
39,38,-2.083268122714355e-12
40,39,-2.046906850178679e-12
41,40,-1.997742119598681e-12
42,41,-1.963115353984645e-12
43,42,-1.883095735547629e-12
44,43,-1.852234000628681e-12
45,44,-1.833562408406745e-12
46,45,-1.828105665822344e-12
47,46,-1.774516224128094e-12
48,47,-1.735706378993955e-12
49,48,-1.720389283561127e-12
50,49,-1.714313429585757e-12
51,50,-1.667069054075412e-12
52,51,-1.631516809238496e-12
53,52,-1.59685356129861e-12
54,53,-1.583437469810864e-12
55,54,-1.545042771635273e-12
56,55,-1.502396311003897e-12
57,56,-1.493624573168528e-12
58,57,-1.461808285862845e-12
59,58,-1.404594747327303e-12
60,59,-1.369552664767784e-12
61,60,-1.318698896806671e-12
62,61,-1.314337275542515e-12
63,62,-1.292547395663848e-12
64,63,-1.266913280561186e-12
65,64,-1.251951908439802e-12
66,65,-1.227994399722056e-12
67,66,-1.198035444207106e-12
68,67,-1.171517460331109e-12
69,68,-1.168557056877029e-12
70,69,-1.138700893745797e-12
71,70,-1.098594698636845e-12
72,71,-1.063397406016266e-12
73,72,-1.049719353160341e-12
74,73,-1.016675209382971e-12
75,74,-1.010626194959104e-12
76,75,-9.466933938313032e-13
77,76,-9.438039848258488e-13
78,77,-8.953798298631785e-13
79,78,-8.73570242387523e-13
80,79,-8.509735702360088e-13
81,80,-8.214553204908364e-13
82,81,-7.933197775114294e-13
83,82,-7.677893905903563e-13
84,83,-7.442877154483524e-13
85,84,-7.28273823314303e-13
86,85,-7.254932345011516e-13
87,86,-7.048831867127074e-13
88,87,-7.032228965066657e-13
89,88,-6.770685491727717e-13
90,89,-6.571435674491066e-13
91,90,-6.39311829069245e-13
92,91,-6.194192601893183e-13
93,92,-5.914998371814927e-13
94,93,-5.773068915325215e-13
95,94,-5.617844456177141e-13
96,95,-5.135075291014276e-13
97,96,-5.05954608134691e-13
98,97,-4.800870824780544e-13
99,98,-4.506268016219136e-13
100,99,-4.349618364402395e-13
101,100,-3.958437086998959e-13
102,101,-3.9097092160029e-13
103,102,-3.778751651813808e-13
104,103,-3.429643145826655e-13
105,104,-3.300008384782544e-13
106,105,-3.088411492866161e-13
107,106,-2.858057476697343e-13
108,107,-2.66999075344217e-13
109,108,-2.377770472670435e-13
110,109,-2.31673727785783e-13
111,110,-2.100797470528059e-13
112,111,-1.997237416195514e-13
113,112,-1.776313467964506e-13
114,113,-1.569578750793742e-13
