node_id,x_m,y_m,Ez
0,0,0,0
1,0.05,0,0
2,0.1,0,0
3,0.15,0,0
4,0.2,0,0
5,0.25,0,0
6,0.3,0,0
7,0.35,0,0
8,0.4,0,0
9,0.45,0,0
10,0.5,0,0
11,0.55,0,0
12,0.6,0,0
13,0.65,0,0
14,0.7,0,0
15,0.75,0,0
16,0.8,0,0
17,0.85,0,0
18,0.9,0,0
19,0.95,0,0
20,1,0,0
21,0,0.05,0
22,0.05,0.05,-0.1146467064391031
23,0.1,0.05,-0.2004727867440106
24,0.15,0.05,-0.2440723664243963
25,0.2,0.05,-0.2340507257280389
26,0.25,0.05,-0.1727531299600391
27,0.3,0.05,-0.07353226750637218
28,0.35,0.05,0.04197894777989949
29,0.4,0.05,0.1485669892555554
30,0.45,0.05,0.2229416266580405
31,0.5,0.05,0.2488163363598374
32,0.55,0.05,0.2204631812281592
33,0.6,0.05,0.1439683134653276
34,0.65,0.05,0.03591446171755247
35,0.7,0.05,-0.0802227015967624
36,0.75,0.05,-0.1791788607253022
37,0.8,0.05,-0.2393894559423707
38,0.85,0.05,-0.2476471646450903
39,0.9,0.05,-0.2020486859665792
40,0.95,0.05,-0.1150972351680946
41,1,0.05,0
42,0,0.1,0
43,0.05,0.1,-0.2203511719579014
44,0.1,0.1,-0.3860220762159428
45,0.15,0.1,-0.4700376184083703
46,0.2,0.1,-0.4509319820789551
47,0.25,0.1,-0.3330424641333253
48,0.3,0.1,-0.1420592256584489
49,0.35,0.1,0.08036319117895423
50,0.4,0.1,0.2856792370303902
51,0.45,0.1,0.4290349304938738
52,0.5,0.1,0.4790495231031005
53,0.55,0.1,0.4246634935487956
54,0.6,0.1,0.277561216478334
55,0.65,0.1,0.06964006024510476
56,0.7,0.1,-0.1539233696974507
57,0.75,0.1,-0.3444998887115076
58,0.8,0.1,-0.4605843158882287
59,0.85,0.1,-0.4767989502921303
60,0.9,0.1,-0.3891871301528481
61,0.95,0.1,-0.221300578833467
62,1,0.1,0
63,0,0.15,0
64,0.05,0.15,-0.3135693932754754
65,0.1,0.15,-0.5494230942382055
66,0.15,0.15,-0.6694014064666548
67,0.2,0.15,-0.6425909945080457
68,0.25,0.15,-0.4750931270175839
69,0.3,0.15,-0.2034172037968506
70,0.35,0.15,0.1131869999921659
71,0.4,0.15,0.4056333039828829
72,0.45,0.15,0.6100568957928721
73,0.5,0.15,0.6817381756237346
74,0.55,0.15,0.6048582474037918
75,0.6,0.15,0.3959608332095059
76,0.65,0.15,0.1003655852086292
77,0.7,0.15,-0.2176872296000401
78,0.75,0.15,-0.489015957402794
79,0.8,0.15,-0.6545586653456251
80,0.85,0.15,-0.6782149124399345
81,0.9,0.15,-0.5544824212577779
82,0.95,0.15,-0.3155341677692027
83,1,0.15,0
84,0,0.2,0
85,0.05,0.2,-0.3874386659239292
86,0.1,0.2,-0.6791746989495048
87,0.15,0.2,-0.8278734688052373
88,0.2,0.2,-0.7951662924792591
89,0.25,0.2,-0.5885219853371532
90,0.3,0.2,-0.2529906005847365
91,0.35,0.2,0.1382651207568254
92,0.4,0.2,0.499897863715357
93,0.45,0.2,0.7529747365471613
94,0.5,0.2,0.8421814139985763
95,0.55,0.2,0.7478837880353058
96,0.6,0.2,0.4904198338660111
97,0.65,0.2,0.1256856505933299
98,0.7,0.2,-0.2670246543648964
99,0.75,0.2,-0.6022791975734636
100,0.8,0.2,-0.8071118964232898
101,0.85,0.2,-0.8368962293722054
102,0.9,0.2,-0.6847146604534411
103,0.95,0.2,-0.3899298694097142
104,1,0.2,0
105,0,0.25,0
106,0.05,0.25,-0.4375970193841964
107,0.1,0.25,-0.7673548470238042
108,0.15,0.25,-0.9357356903178118
109,0.2,0.25,-0.8992702751338528
110,0.25,0.25,-0.6663220916418686
111,0.3,0.25,-0.2876823050301077
112,0.35,0.25,0.15410679035293
113,0.4,0.25,0.5627171699353489
114,0.45,0.25,0.8490208798128462
115,0.5,0.25,0.9505096289808919
116,0.55,0.25,0.8449186128367538
117,0.6,0.25,0.5550872109481685
118,0.65,0.25,0.1439965697445018
119,0.7,0.25,-0.2989369435982128
120,0.75,0.25,-0.6773296226759361
121,0.8,0.25,-0.9088207156544681
122,0.85,0.25,-0.9429855538681238
123,0.9,0.25,-0.7719088026293379
124,0.95,0.25,-0.4397367062630535
125,1,0.25,0
126,0,0.3,0
127,0.05,0.3,-0.4609051797735131
128,0.1,0.3,-0.8084501101504721
129,0.15,0.3,-0.9862083388355894
130,0.2,0.3,-0.9483054909509249
131,0.25,0.3,-0.7034923399432359
132,0.3,0.3,-0.3051562804101628
133,0.35,0.3,0.1598958639092647
134,0.4,0.3,0.5903198126773432
135,0.45,0.3,0.8923036659228648
136,0.5,0.3,1
137,0.55,0.3,0.8898702287045017
138,0.6,0.3,0.585816668425884
139,0.65,0.3,0.1539833561554656
140,0.7,0.3,-0.3116436579389422
141,0.75,0.3,-0.7097028781344351
142,0.8,0.3,-0.9535342890260869
143,0.85,0.3,-0.9900329920985041
144,0.9,0.3,-0.8107796018111039
145,0.95,0.3,-0.4620174161309583
146,1,0.3,0
147,0,0.35,0
148,0.05,0.35,-0.4559491077485091
149,0.1,0.35,-0.7996746107294479
150,0.15,0.35,-0.9758278324898402
151,0.2,0.35,-0.9387728474129015
152,0.25,0.35,-0.6972378715991993
153,0.3,0.35,-0.3038918303004693
154,0.35,0.35,0.1555913861781392
155,0.4,0.35,0.5811497389142999
156,0.45,0.35,0.8801166714175822
157,0.5,0.35,0.9873959767654316
