mode,matched_candidate_rank,k0_fem_matched,k0l_fem_matched,matched_eig_index,ez_ratio,ref_helmvec2,ref_hayata,error_percent_helmvec2,error_percent_hayata,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
1,362,8.810027223322301,8.810027223322301,1159,0.000311045145868531,8.815,8.8093,0.0564126679262459,0.0082551771684535,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode01_cand362_Et_fields.csv,helmvec2_rect_mode01_cand362_Ez_fields.csv,helmvec2_rect_mode01_cand362_Et.vtk,helmvec2_rect_mode01_cand362_Ez.vtk
2,364,9.388962306990706,9.388962306990706,1157,0.0006713282660347408,9.443,9.3896,0.5722513291252105,0.006791482164242643,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode02_cand364_Et_fields.csv,helmvec2_rect_mode02_cand364_Ez_fields.csv,helmvec2_rect_mode02_cand364_Et.vtk,helmvec2_rect_mode02_cand364_Ez.vtk
3,366,10.28091646408524,10.28091646408524,691,0.0007782311812799718,10.35,10.2752,0.6674737769541913,0.05563360406844595,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode03_cand366_Et_fields.csv,helmvec2_rect_mode03_cand366_Ez_fields.csv,helmvec2_rect_mode03_cand366_Et.vtk,helmvec2_rect_mode03_cand366_Ez.vtk
4,369,11.11665604159466,11.11665604159466,688,0.001365835604456385,11.141,11.103,0.2185078395596683,0.1229941600887833,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode04_cand369_Et_fields.csv,helmvec2_rect_mode04_cand369_Ez_fields.csv,helmvec2_rect_mode04_cand369_Et.vtk,helmvec2_rect_mode04_cand369_Ez.vtk
5,370,11.25556555992577,11.25556555992577,687,0.0008497769861464677,11.289,11.2677,0.296168306087585,0.1076922537361429,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode05_cand370_Et_fields.csv,helmvec2_rect_mode05_cand370_Ez_fields.csv,helmvec2_rect_mode05_cand370_Et.vtk,helmvec2_rect_mode05_cand370_Ez.vtk
6,372,11.42159185297726,11.42159185297726,685,0.0001284835188632493,11.4246,11.4501,0.02633043627555058,0.2489772755062184,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode06_cand372_Et_fields.csv,helmvec2_rect_mode06_cand372_Ez_fields.csv,helmvec2_rect_mode06_cand372_Et.vtk,helmvec2_rect_mode06_cand372_Ez.vtk
7,373,12.04454843335162,12.04454843335162,681,0.006749873497832738,12.146,11.9882,0.8352673032140381,0.4700324765321138,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode07_cand373_Et_fields.csv,helmvec2_rect_mode07_cand373_Ez_fields.csv,helmvec2_rect_mode07_cand373_Et.vtk,helmvec2_rect_mode07_cand373_Ez.vtk
8,377,12.63724647791705,12.63724647791705,680,0.0003633885087855925,12.5894,12.6686,0.3800536794211779,0.2474900311238052,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode08_cand377_Et_fields.csv,helmvec2_rect_mode08_cand377_Ez_fields.csv,helmvec2_rect_mode08_cand377_Et.vtk,helmvec2_rect_mode08_cand377_Ez.vtk
9,378,12.85964470004576,12.85964470004576,679,0.005096946896886871,12.8237,12.8092,0.2802989780309809,0.393816163739803,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode09_cand378_Et_fields.csv,helmvec2_rect_mode09_cand378_Ez_fields.csv,helmvec2_rect_mode09_cand378_Et.vtk,helmvec2_rect_mode09_cand378_Ez.vtk
10,379,12.90693037279705,12.90693037279705,678,0.0006190395887779347,12.9987,12.9575,0.7059908083342694,0.3902730249118023,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode10_cand379_Et_fields.csv,helmvec2_rect_mode10_cand379_Ez_fields.csv,helmvec2_rect_mode10_cand379_Et.vtk,helmvec2_rect_mode10_cand379_Ez.vtk
