node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-0.3169103571373649
13,0.2,0.09,-0.5842173561587884
14,0.3,0.09,-0.803910478546763
15,0.4,0.09,-0.9506940820686086
16,0.5,0.09,-1
17,0.6,0.09,-0.9526519482818617
18,0.7,0.09,-0.8219291109880632
19,0.8,0.09,-0.6154382914714345
20,0.9,0.09,-0.341407708471391
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.0190071991412972
24,0.2,0.18,0.04322772919851076
25,0.3,0.18,0.04302064991279797
26,0.4,0.18,0.04015376861231015
27,0.5,0.18,0.04701141639302795
28,0.6,0.18,0.0508089973268309
29,0.7,0.18,0.03839490817995879
30,0.8,0.18,0.02208700313836251
31,0.9,0.18,0.01473397595709604
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.01633814399188482
35,0.2,0.27,-0.02970537746694747
36,0.3,0.27,-0.04449997756302073
37,0.4,0.27,-0.05624493885056605
38,0.5,0.27,-0.06175891348147319
39,0.6,0.27,-0.06084455319840443
40,0.7,0.27,-0.05428021170457058
41,0.8,0.27,-0.04189842930133945
42,0.9,0.27,-0.02307135018345038
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.005825167362177948
46,0.2,0.36,-0.01192487870632732
47,0.3,0.36,-0.01786209391548923
48,0.4,0.36,-0.02258909839064218
49,0.5,0.36,-0.02502397095634389
50,0.6,0.36,-0.02492114702210291
51,0.7,0.36,-0.02236774257535068
52,0.8,0.36,-0.01725853263209307
53,0.9,0.36,-0.009620637214066138
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
