ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3741.562152839187,0,0.003974726157279349
2,1,-3662.591332887167,0,0.003993957556520992
3,2,-3547.372274639496,0,0.004016918564721054
4,3,-3415.826056036055,0,0.004037403974885988
5,4,-3285.674308765749,0,0.004070939121225725
6,5,-3259.3531365371,0,0.004359258620798761
7,6,-3159.619062575312,0,0.004379701124241536
8,7,-3147.518017624829,0,0.004103400734820114
9,8,-3020.713651175822,0,0.004416261849533269
10,9,-3002.537566846289,0,0.004085788064061842
11,10,-2862.532070449706,0,0.004479374587114639
12,11,-2856.320597828008,0,0.004051731677425814
13,12,-2718.595183339198,0,0.004348503823907898
14,13,-2707.836420895655,0,0.004541664421680029
15,14,-2694.943493983772,0,0.004526153285451077
16,15,-2618.748846815618,0,0.004838189614717386
17,17,-2577.395162185733,0,0.004021752168054219
18,16,-2573.478360744647,0,0.004633373178310168
19,18,-2518.908150784199,0,0.003681012030216429
20,19,-2467.826277262589,0,0.004844978426336633
21,20,-2438.401897354573,0,0.004788039415225732
22,22,-2319.683846554662,0,0.004928515832221037
23,21,-2315.689595363955,0,0.004854718730042412
24,23,-2264.712802209438,0,0.005138848398121568
25,24,-2229.563861299207,0,0.004909264823817216
26,25,-2188.232237529464,0,0.005304538646886054
27,26,-2179.614741276125,0,0.005193842681674736
28,27,-2156.276540527077,0,0.004973048993235706
29,28,-2148.007462383968,0,0.00499828073805703
30,29,-2104.004796007902,0,0.005214680263646908
31,30,-2065.22750866241,0,0.005521492605999477
32,32,-2053.34194824325,0,0.005510634476047526
33,31,-2039.792379777459,0,0.005472190772062822
34,33,-2016.497123015776,0,0.005582557977629579
35,34,-1989.581897623865,0,0.00549668497332515
36,35,-1951.28029175328,0,0.005560811121778766
37,36,-1920.585912480152,0,0.005681422537855948
38,38,-1894.717391453434,0,0.005989093808959627
39,37,-1892.82155263493,0,0.005963644769212108
40,42,-1827.696330261815,0,0.005773318938993521
41,43,-1826.232926090242,0,0.005826744389231672
42,41,-1814.825815965507,0,0.005954262388245
43,40,-1768.83202293543,0,0.005925450322563018
44,39,-1713.959575677118,0,0.005997987495784903
45,44,-1619.175567151327,0,0.006136256422929507
46,45,-1520.579733963145,0,0.006211595056131018
47,46,-1438.504890571767,0,0.006204158639574338
48,47,-1377.301471063432,0,0.006166446970565068
49,48,-1335.68755669821,0,0.006103023694970872
50,49,-1312.352510998124,0,0.006066888470499686
51,51,-1265.331591964323,0,0.005778547429354249
52,50,-1247.887335286445,0,0.005620039791167314
53,52,-1182.186484325389,0,0.005501856943507496
54,53,-1105.059298685534,0,0.005376434363139753
55,54,-1064.59845818566,0,0.005399363964437596
56,55,-1025.639510261392,0,0.005277908290210812
57,56,-939.7334343030433,0,0.005498602222223127
58,57,-923.3296587806066,0,0.005270401038529731
59,58,-860.6669293655135,0,0.005179705195915341
60,59,-816.5767781309768,0,0.005686226785674315
61,60,-803.2542032879144,0,0.005343250584162344
62,61,-773.4079609731843,0,0.005239589010548295
63,62,-713.9264649384613,0,0.005900079450550859
64,63,-685.6562818517477,0,0.00551822325264663
65,64,-667.3607500364377,0,0.005348862170549366
66,65,-659.0917731260347,0,0.005505962817988182
67,66,-638.1973610850871,0,0.006066998876755349
68,67,-598.4065628874513,0,0.006267740667265089
69,68,-590.1156906452932,0,0.005770270711288479
70,70,-580.486672253268,0,0.006368852709218083
71,72,-574.7064275248692,0,0.005669048080706029
72,71,-570.1918317487513,0,0.00559684972173172
73,69,-555.1269679779597,0,0.005505780667386535
74,73,-512.4758668617453,0,0.005983254987711538
75,74,-486.404209901089,0,0.005848030714020797
76,75,-473.3360211496881,0,0.00562878818024603
77,76,-448.2825251118503,0,0.005735223679521659
78,77,-420.4541318598398,0,0.005983195508642571
79,78,-414.583569020144,0,0.006196758232386638
80,79,-383.4191625772933,0,0.006317260017125638
81,81,-372.3444684432588,0,0.005728618756767836
82,82,-369.2139346433491,0,0.006325031401370844
83,80,-349.9567497258103,0,0.005691456909421328
84,83,-314.1807004284675,0,0.006415464503335275
85,84,-277.4563054472234,0,0.005793612895156491
86,85,-273.2799845968029,0,0.005878556179607079
87,86,-220.5133159280262,0,0.006597793539914049
88,87,-216.506375481038,0,0.006037485257690276
89,88,-194.3634219866089,0,0.005981075500406659
90,89,-181.6572826320707,0,0.006058657862958644
91,90,-170.5091968674595,0,0.00631899060787157
92,91,-139.2913976877191,0,0.006773107461510665
93,92,-125.7685082602991,0,0.005858297437250824
94,93,-76.02377320734013,0,0.006794578199075644
95,94,-73.18378991877246,0,0.005997322619134892
96,95,-44.80063173239555,0,0.006222210194930234
97,96,-34.37606278599559,0,0.006252273392416687
98,97,-25.71189901172826,0,0.00665847769946746
99,158,0.004703065474168077,0,3.342082852572613
100,159,0.004963769610917633,0,3.301924138525914
101,161,0.005383423047361775,0,3.248747413109374
102,162,0.005933161916210811,0,3.19422010015705
103,168,0.006542467874227108,0,3.078643831481227
104,167,0.006582403725125847,0,3.124120391573262
105,170,0.007111017348999631,0,2.990793678964141
106,169,0.007236087804287454,0,3.112588083811474
107,166,0.007835614738017412,0,3.066228770449805
108,165,0.008088807150725673,0,2.910895611011112
109,164,0.008333465858515438,0,3.047084164107446
110,163,0.008655252142451986,0,3.025028735303879
111,160,0.009493050320834435,0,2.790345698754857
112,157,0.01046520363150708,0,3.247201511304421
113,156,0.01115203814317366,0,3.147068746408149
114,155,0.01134496622748129,0,2.682683641831253
115,154,0.01242777719780605,0,2.992555364249927
116,153,0.01354278562557794,0,2.558339603796342
117,152,0.014098019142031,0,2.899204361682211
118,151,0.01455382432973894,0,2.737478210579689
119,150,0.01580664653052814,0,2.734201470933362
120,149,0.01597141773354949,0,2.459296548570443
121,148,0.01792079066453623,0,2.435091464259243
122,147,0.01829545700388786,0,2.319816646269555
123,146,0.01925446145820162,0,2.531618512790406
124,145,0.0200760109241191,0,2.241757339987335
125,144,0.02303999968019438,0,2.112203245769135
126,143,0.02525508453639164,0,2.235725293148498
127,142,0.03024201673987391,0,1.80241330383667
128,141,0.03542703763596571,0,1.880961701442359
129,140,0.03885799743029092,0,1.558695093628263
130,139,0.04662905366664613,0,1.39756680318047
131,138,0.05316432726472534,0,1.476467706008443
132,137,0.08478925359786159,0,1.071912504105068
133,136,0.1401079274433936,0,0.7299402198940267
134,135,0.2241362444046336,0,0.453778251319547
135,117,1.510099569477126,0,0.009033710393618236
136,118,4.422546258990666,0,0.01125815754855914
137,119,4.510384057995715,0,0.01139307158253018
138,120,4.63632016599483,0,0.01144349481275808
139,121,4.764961672058103,0,0.01143745250284425
140,122,4.877090047604468,0,0.01137051148266288
141,123,4.966379096564749,0,0.01128011286057337
142,124,5.033291601349065,0,0.01119700770310792
143,125,5.079000900639659,0,0.01114093674983392
144,126,5.105055022907601,0,0.01111424223542121
145,129,5.735343282600069,0,0.01146755216521081
146,128,5.738920798830284,0,0.01178518717085711
147,130,5.823135357249019,0,0.01151846411019438
148,131,5.832392626078249,0,0.01152583247954849
149,134,5.839817248462483,0,0.01156081717262783
150,133,5.842212843927836,0,0.01154886364774516
151,132,5.845072398740507,0,0.01162288243051969
152,127,5.958519943525516,0,0.01176249868991392
153,116,7.082401355859736,0,0.01062094355997896
154,113,9.422146111422505,0,0.01169908238999105
155,115,9.769488616644361,0,0.01112062807191411
156,114,9.88658703694327,0,0.01155900331910859
157,112,10.35692776771725,0,0.0113831757699101
158,109,10.75360577038956,0,0.01121924501674018
159,111,10.97142050575677,0,0.01101901859579318
160,110,11.05987798873005,0,0.01109585724692543
161,108,11.18680268902461,0,0.01122011357212979
162,107,11.28619993215945,0,0.01101465446118908
163,106,11.44469337880056,0,0.01096479087303809
164,104,11.5293524086813,0,0.01141031840794966
165,105,11.54121378887243,0,0.01094330170527069
166,103,11.90148511252653,0,0.01159914947544023
167,102,12.24825306661772,0,0.0117646645284664
