node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-0.0090238793180022
13,0.2,0.09,-0.02474058758268452
14,0.3,0.09,-0.2374114933374001
15,0.4,0.09,-0.4390630073464102
16,0.5,0.09,-0.5811832282481703
17,0.6,0.09,-0.6364668251773509
18,0.7,0.09,-0.5972091788966294
19,0.8,0.09,-0.4677844578861419
20,0.9,0.09,-0.2649682089625941
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,-0.01478167377044962
24,0.2,0.18,-0.03765902116682603
25,0.3,0.18,-0.3839039848467405
26,0.4,0.18,-0.7020725384464709
27,0.5,0.18,-0.919996839955213
28,0.6,0.18,-1
29,0.7,0.18,-0.9305631597491231
30,0.8,0.18,-0.7207818724102455
31,0.9,0.18,-0.4003661857229966
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.01541580230979514
35,0.2,0.27,-0.03919809449282731
36,0.3,0.27,-0.3983025783593269
37,0.4,0.27,-0.7155278684342359
38,0.5,0.27,-0.9267785198001699
39,0.6,0.27,-0.9997735978463242
40,0.7,0.27,-0.9231413826534786
41,0.8,0.27,-0.7082858805986992
42,0.9,0.27,-0.3879973616538578
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.01040265844148689
46,0.2,0.36,-0.02776776861625487
47,0.3,0.36,-0.2697756996519406
48,0.4,0.36,-0.4670154282981376
49,0.5,0.36,-0.5949758969664536
50,0.6,0.36,-0.6359668588424972
51,0.7,0.36,-0.582228078253288
52,0.8,0.36,-0.4424631261451068
53,0.9,0.36,-0.2387768209714328
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
