d_over_a,br_over_lambda0,beta_over_k0_fem_matched,beta_over_k0_analytic,beta_over_k0_helmvec3,selected_candidate_rank,selected_eig_index,ez_ratio,error_percent_analytic,error_percent_helmvec3,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
0,0.5,0.03005544871494262,0.03,0.04,18,156,0.9998174843875349,0.1848290498087287,24.86137821264346,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_5_Ez.vtk
0,0.6,0.5618947689840812,0.52,0.5600000000000001,38,97,1.064686166805415e-07,8.056686343092533,0.3383516043002037,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_6_Ez.vtk
0,0.7,0.7051559073686435,0.7,0.71,40,97,8.899013431537097e-07,0.7365581955205108,0.6822665677966808,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_7_Ez.vtk
0,0.8,0.7913736255882319,0.79,0.78,60,121,0.0016136912664835,0.1738766567382078,1.458157126696391,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_8_Ez.vtk
0,0.9,0.8287548189737324,0.83,0.83,74,103,0.0011688514475916,0.1500218103936848,0.1500218103936848,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_9_Ez.vtk
0,1,0.8681430991662159,0.88,0.87,79,93,2.804480906773334e-08,1.347375094748193,0.2134368774464473,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_br1_Ez.vtk
0.167,0.5,0.1352014435509468,0.21,0.18,36,135,0.9796313422740744,35.61836021383483,24.88808691614064,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_5_Ez.vtk
0.167,0.6,0.521894804431582,0.6,0.59,38,102,3.357295144144983e-05,13.01753259473633,11.54325348617254,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_6_Ez.vtk
0.167,0.7,0.7169829254879492,0.72,0.74,41,106,0.01148824159843047,0.4190381266737221,3.110415474601462,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_7_Ez.vtk
0.167,0.8,0.820895457787554,0.82,0.8100000000000001,65,112,0.001263964300843586,0.1092021692139105,1.345118245377033,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_8_Ez.vtk
0.167,0.9,0.8862923128235611,0.88,0.87,70,100,0.0005150107911453967,0.7150355481319466,1.872679634892085,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_9_Ez.vtk
0.167,1,0.9630497599903288,0.91,0.9,74,94,7.006124600322072e-07,5.829643954981186,7.005528887814311,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br1_Ez.vtk
0.286,0.5,0.7188357918916909,0.51,0.44,37,109,0.01069095482560081,40.94819448856683,63.3717708844752,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_5_Ez.vtk
0.286,0.6,0.7796984443023423,0.78,0.74,50,129,0.001608614582269451,0.03866098687920177,5.364654635451657,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_6_Ez.vtk
0.286,0.7,0.9083423188070701,0.9,0.88,65,105,5.666513856612375e-07,0.9269243118966708,3.220718046257961,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_7_Ez.vtk
0.286,0.8,0.9446550961843455,0.99,1.05,67,102,1.093594353187115e-06,4.580293314712574,10.03284798244329,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_8_Ez.vtk
0.286,0.9,0.9923242737011705,1.03,1.03,69,99,0.0006815182482616621,3.657837504740732,3.657837504740732,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_9_Ez.vtk
0.286,1,1.087754183892513,1.1,1.09,74,93,0.001144947385532582,1.113256009771584,0.2060381749988458,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br1_Ez.vtk
0.375,0.5,0.7215135310434986,0.68,0.66,36,113,0.009572606841084489,6.104931035808607,9.320231976287658,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_5_Ez.vtk
0.375,0.6,0.8879658127244426,0.91,0.9,60,111,2.812980025220152e-06,2.421339261050263,1.337131919506376,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_6_Ez.vtk
0.375,0.7,1.048045925161342,1.05,1.03,61,107,0.002332984679781645,0.1861023655865136,1.752031569062294,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_7_Ez.vtk
0.375,0.8,1.144658788578711,1.13,1.11,67,101,0.006573426553143113,1.297237927319523,3.122413385469406,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_8_Ez.vtk
0.375,0.9,1.206681345586929,1.2,1.18,73,94,0.001690592026222248,0.5567787989107509,2.261130981943138,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_9_Ez.vtk
0.375,1,1.251746365386464,1.25,1.23,78,86,0.001372268179754245,0.1397092309171022,1.767997185891365,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br1_Ez.vtk
0.5,0.4,0.5228047443136244,0.4,0.42,37,117,2.023827628508174e-06,30.70118607840611,24.47732007467249,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_4_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_4_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_4_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_4_Ez.vtk
0.5,0.5,0.8560579025191702,0.9,0.89,54,118,4.839267067103712e-06,4.882455275647753,3.813718818070761,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_5_Ez.vtk
0.5,0.6,1.09368874150284,1.1,1.09,60,111,0.003356894653494265,0.5737507724690575,0.3384166516367317,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_6_Ez.vtk
0.5,0.7,1.195639339742602,1.2,1.19,67,104,0.001779008474571119,0.3633883547831488,0.4738940960169936,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_7_Ez.vtk
0.5,0.8,1.248941278784103,1.25,1.24,74,95,0.00155484828395078,0.08469769727177834,0.721070869685708,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_8_Ez.vtk
0.5,0.9,1.301291721435543,1.3,1.31,81,86,0.00011152727737215,0.09936318734942845,0.6647540888898809,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_9_Ez.vtk
0.5,1,1.346854140803695,1.35,1.35,87,81,1.903524690988994e-05,0.2330266071337325,0.2330266071337325,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br1_Ez.vtk
0.6,0.4,0.7073642863325723,0.7,0.67,37,121,6.770253094583894e-06,1.052040904653194,5.576759154115264,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_4_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_4_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_4_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_4_Ez.vtk
0.6,0.5,1.021304383896657,1.02,1.03,51,119,0.002304208579307253,0.1278807741820906,0.8442345731400664,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_5_Ez.vtk
