node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-0.004333308617901131
13,0.2,0.09,-0.01013663360687297
14,0.3,0.09,-0.02276782341380688
15,0.4,0.09,-0.2674432422330014
16,0.5,0.09,-0.491768107223503
17,0.6,0.09,-0.6275546900328604
18,0.7,0.09,-0.6404259904064225
19,0.8,0.09,-0.5277323351241844
20,0.9,0.09,-0.3082490562371322
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,-0.007222364265686676
24,0.2,0.18,-0.01660071153889011
25,0.3,0.18,-0.03398130583649298
26,0.4,0.18,-0.4321410691435671
27,0.5,0.18,-0.7844939413325663
28,0.6,0.18,-0.989404146890468
29,0.7,0.18,-1
30,0.8,0.18,-0.8137184956219027
31,0.9,0.18,-0.4653049781183381
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.007419870469807729
35,0.2,0.27,-0.01731114164156444
36,0.3,0.27,-0.03585411901495239
37,0.4,0.27,-0.4489783320147702
38,0.5,0.27,-0.7987874516527739
39,0.6,0.27,-0.9939903135778071
40,0.7,0.27,-0.9951231434111589
41,0.8,0.27,-0.8009795321098858
42,0.9,0.27,-0.4510786514573443
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.004793109392055388
46,0.2,0.36,-0.01168105926187141
47,0.3,0.36,-0.0263555637407755
48,0.4,0.36,-0.3051790182370231
49,0.5,0.36,-0.5215040216840583
50,0.6,0.36,-0.6368397851886667
51,0.7,0.36,-0.6303312604115868
52,0.8,0.36,-0.5016166153716299
53,0.9,0.36,-0.2777923383872752
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
