node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-0.04998940609966973
13,0.2,0.09,0.097910161502489
14,0.3,0.09,0.2372039527998094
15,0.4,0.09,0.3642888527216483
16,0.5,0.09,0.6097663499828786
17,0.6,0.09,0.2867586900669561
18,0.7,0.09,0.1394134858699993
19,0.8,0.09,0.06472349862282005
20,0.9,0.09,0.02605088305274075
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.08355750145745933
24,0.2,0.18,0.1952728151565271
25,0.3,0.18,0.2901788345620445
26,0.4,0.18,0.3642402562724589
27,0.5,0.18,1
28,0.6,0.18,0.477698221963022
29,0.7,0.18,0.2318301145945902
30,0.8,0.18,0.1075074728560463
31,0.9,0.18,0.04217523154792278
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.02528541977525567
35,0.2,0.27,0.1440675766269867
36,0.3,0.27,0.2926651382696315
37,0.4,0.27,0.438184874418017
38,0.5,0.27,0.9789542566646023
39,0.6,0.27,0.4809909038068246
40,0.7,0.27,0.2344406301299545
41,0.8,0.27,0.1084469688930926
42,0.9,0.27,0.04259015442366922
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.08227413611552511
46,0.2,0.36,0.1536475842169673
47,0.3,0.36,0.2353661854338268
48,0.4,0.36,0.1469025630059939
49,0.5,0.36,0.6173339463706109
50,0.6,0.36,0.3181482833768344
51,0.7,0.36,0.154910033601738
52,0.8,0.36,0.06998165785657341
53,0.9,0.36,0.02721550138162733
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
