node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,0.2478770204033405
13,0.2,0.09,0.2571789760426051
14,0.3,0.09,-0.7438558627882738
15,0.4,0.09,0.4706178227777225
16,0.5,0.09,0.1964324581360086
17,0.6,0.09,-0.3039145186411544
18,0.7,0.09,-0.3274502706281629
19,0.8,0.09,0.8389469357497021
20,0.9,0.09,-0.6018210797939505
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,-0.777192234933011
24,0.2,0.18,0.2634054383324982
25,0.3,0.18,0.8247091474050618
26,0.4,0.18,-0.921763176109651
27,0.5,0.18,-0.1225733020579472
28,0.6,0.18,0.8195215700784048
29,0.7,0.18,-0.1604334533248231
30,0.8,0.18,-0.9461851978335734
31,0.9,0.18,1
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.9999999999724959
35,0.2,0.27,-0.9461851978201727
36,0.3,0.27,-0.1604334533167283
37,0.4,0.27,0.819521570078073
38,0.5,0.27,-0.1225733020649377
39,0.6,0.27,-0.9217631761122022
40,0.7,0.27,0.8247091474205719
41,0.8,0.27,0.2634054383079487
42,0.9,0.27,-0.7771922349347579
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.6018210797788075
46,0.2,0.36,0.8389469357318043
47,0.3,0.36,-0.3274502706208426
48,0.4,0.36,-0.3039145186453717
49,0.5,0.36,0.196432458145376
50,0.6,0.36,0.4706178227673433
51,0.7,0.36,-0.7438558627961961
52,0.8,0.36,0.2571789760753265
53,0.9,0.36,0.2478770203889077
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
