node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,1
13,0.2,0.09,-0.1138152883439921
14,0.3,0.09,0.08844661023354959
15,0.4,0.09,0.08896232597323814
16,0.5,0.09,0.1228311534958429
17,0.6,0.09,0.1529698467602362
18,0.7,0.09,0.2583032053620603
19,0.8,0.09,0.637814564699491
20,0.9,0.09,-0.3793620019124442
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.89109904214251
24,0.2,0.18,-0.1529414074487793
25,0.3,0.18,0.05501214555888672
26,0.4,0.18,0.1517527043214346
27,0.5,0.18,0.199153074163237
28,0.6,0.18,0.2600943874809454
29,0.7,0.18,0.3324739381088536
30,0.8,0.18,0.7586891571574158
31,0.9,0.18,-0.239559963982496
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.2395599636112032
35,0.2,0.27,-0.7586891579036985
36,0.3,0.27,-0.3324739380488232
37,0.4,0.27,-0.2600943869698512
38,0.5,0.27,-0.1991530740927965
39,0.6,0.27,-0.1517527047875507
40,0.7,0.27,-0.0550121454951262
41,0.8,0.27,0.1529414075425941
42,0.9,0.27,-0.8910990429403699
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.3793620017659931
46,0.2,0.36,-0.6378145648439295
47,0.3,0.36,-0.2583032054001825
48,0.4,0.36,-0.1529698467701289
49,0.5,0.36,-0.1228311535177862
50,0.6,0.36,-0.08896232636176603
51,0.7,0.36,-0.08844661063701434
52,0.8,0.36,0.1138152897731531
53,0.9,0.36,-0.9999999997060648
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
