section,index,value
nrows,0,171
ncols,0,171
nnz,0,6003
row_ptr,0,0
row_ptr,1,10
row_ptr,2,19
row_ptr,3,31
row_ptr,4,59
row_ptr,5,71
row_ptr,6,84
row_ptr,7,102
row_ptr,8,127
row_ptr,9,152
row_ptr,10,172
row_ptr,11,190
row_ptr,12,213
row_ptr,13,234
row_ptr,14,254
row_ptr,15,279
row_ptr,16,300
row_ptr,17,320
row_ptr,18,345
row_ptr,19,364
row_ptr,20,384
row_ptr,21,409
row_ptr,22,425
row_ptr,23,443
row_ptr,24,465
row_ptr,25,478
row_ptr,26,493
row_ptr,27,511
row_ptr,28,522
row_ptr,29,535
row_ptr,30,548
row_ptr,31,560
row_ptr,32,572
row_ptr,33,602
row_ptr,34,615
row_ptr,35,628
row_ptr,36,652
row_ptr,37,678
row_ptr,38,704
row_ptr,39,731
row_ptr,40,755
row_ptr,41,780
row_ptr,42,809
row_ptr,43,836
row_ptr,44,864
row_ptr,45,893
row_ptr,46,920
row_ptr,47,948
row_ptr,48,974
row_ptr,49,1001
row_ptr,50,1029
row_ptr,51,1051
row_ptr,52,1075
row_ptr,53,1099
row_ptr,54,1117
row_ptr,55,1137
row_ptr,56,1157
row_ptr,57,1172
row_ptr,58,1187
row_ptr,59,1200
row_ptr,60,1212
row_ptr,61,1224
row_ptr,62,1254
row_ptr,63,1267
row_ptr,64,1280
row_ptr,65,1304
row_ptr,66,1330
row_ptr,67,1356
row_ptr,68,1384
row_ptr,69,1409
row_ptr,70,1433
row_ptr,71,1464
row_ptr,72,1493
row_ptr,73,1521
row_ptr,74,1552
row_ptr,75,1581
row_ptr,76,1609
row_ptr,77,1637
row_ptr,78,1666
row_ptr,79,1694
row_ptr,80,1718
row_ptr,81,1743
row_ptr,82,1768
row_ptr,83,1788
row_ptr,84,1809
row_ptr,85,1830
row_ptr,86,1846
row_ptr,87,1862
row_ptr,88,1875
row_ptr,89,1887
row_ptr,90,1898
row_ptr,91,1928
row_ptr,92,1941
row_ptr,93,1954
row_ptr,94,1976
row_ptr,95,2002
row_ptr,96,2028
row_ptr,97,2054
row_ptr,98,2078
row_ptr,99,2100
row_ptr,100,2129
row_ptr,101,2156
row_ptr,102,2181
row_ptr,103,2210
row_ptr,104,2237
row_ptr,105,2262
row_ptr,106,2289
row_ptr,107,2316
row_ptr,108,2341
row_ptr,109,2365
row_ptr,110,2389
row_ptr,111,2412
row_ptr,112,2432
row_ptr,113,2452
row_ptr,114,2472
row_ptr,115,2487
row_ptr,116,2502
row_ptr,117,2512
row_ptr,118,2521
row_ptr,119,2548
row_ptr,120,2560
row_ptr,121,2576
row_ptr,122,2599
row_ptr,123,2618
row_ptr,124,2636
row_ptr,125,2657
row_ptr,126,2677
row_ptr,127,2698
row_ptr,128,2718
row_ptr,129,2738
row_ptr,130,2758
row_ptr,131,2776
row_ptr,132,2794
row_ptr,133,2809
row_ptr,134,2824
row_ptr,135,2835
row_ptr,136,2869
row_ptr,137,2956
row_ptr,138,3033
row_ptr,139,3126
row_ptr,140,3231
row_ptr,141,3341
row_ptr,142,3439
row_ptr,143,3518
row_ptr,144,3581
row_ptr,145,3617
row_ptr,146,3712
row_ptr,147,3797
row_ptr,148,3900
row_ptr,149,4017
row_ptr,150,4144
row_ptr,151,4257
row_ptr,152,4349
row_ptr,153,4423
row_ptr,154,4459
row_ptr,155,4552
row_ptr,156,4635
row_ptr,157,4736
row_ptr,158,4852
row_ptr,159,4979
row_ptr,160,5092
row_ptr,161,5186
row_ptr,162,5262
row_ptr,163,5296
row_ptr,164,5380
row_ptr,165,5453
row_ptr,166,5542
row_ptr,167,5645
row_ptr,168,5755
row_ptr,169,5854
row_ptr,170,5936
row_ptr,171,6003
col_idx,0,0
col_idx,1,1
col_idx,2,4
col_idx,3,5
col_idx,4,135
col_idx,5,136
col_idx,6,144
col_idx,7,145
col_idx,8,153
col_idx,9,154
col_idx,10,0
col_idx,11,1
col_idx,12,2
col_idx,13,135
col_idx,14,136
col_idx,15,144
col_idx,16,145
col_idx,17,153
col_idx,18,154
col_idx,19,1
col_idx,20,2
col_idx,21,29
col_idx,22,30
col_idx,23,135
col_idx,24,136
col_idx,25,144
col_idx,26,145
col_idx,27,153
col_idx,28,154
col_idx,29,162
col_idx,30,163
col_idx,31,3
col_idx,32,4
col_idx,33,7
col_idx,34,8
col_idx,35,135
col_idx,36,136
col_idx,37,137
col_idx,38,138
col_idx,39,139
col_idx,40,140
col_idx,41,141
col_idx,42,144
col_idx,43,145
col_idx,44,146
col_idx,45,147
col_idx,46,148
col_idx,47,149
col_idx,48,153
col_idx,49,154
col_idx,50,155
col_idx,51,156
col_idx,52,157
col_idx,53,158
col_idx,54,162
col_idx,55,163
col_idx,56,164
col_idx,57,165
col_idx,58,166
col_idx,59,0
col_idx,60,3
col_idx,61,4
col_idx,62,5
col_idx,63,135
col_idx,64,136
col_idx,65,144
col_idx,66,145
col_idx,67,153
col_idx,68,154
col_idx,69,162
col_idx,70,163
col_idx,71,0
col_idx,72,4
col_idx,73,5
col_idx,74,32
col_idx,75,33
col_idx,76,135
col_idx,77,136
col_idx,78,144
col_idx,79,145
col_idx,80,153
col_idx,81,154
col_idx,82,162
col_idx,83,163
col_idx,84,6
col_idx,85,7
col_idx,86,10
col_idx,87,11
col_idx,88,136
col_idx,89,137
col_idx,90,138
col_idx,91,139
col_idx,92,140
col_idx,93,145
col_idx,94,146
col_idx,95,147
col_idx,96,148
col_idx,97,149
col_idx,98,154
col_idx,99,155
col_idx,100,156
col_idx,101,157
col_idx,102,3
col_idx,103,6
col_idx,104,7
col_idx,105,8
col_idx,106,136
col_idx,107,137
col_idx,108,138
col_idx,109,139
col_idx,110,140
col_idx,111,141
col_idx,112,145
col_idx,113,146
col_idx,114,147
col_idx,115,148
col_idx,116,149
col_idx,117,154
col_idx,118,155
col_idx,119,156
col_idx,120,157
col_idx,121,158
col_idx,122,163
col_idx,123,164
col_idx,124,165
col_idx,125,166
col_idx,126,167
col_idx,127,3
col_idx,128,7
col_idx,129,8
col_idx,130,35
col_idx,131,36
col_idx,132,136
col_idx,133,137
col_idx,134,138
col_idx,135,139
col_idx,136,140
col_idx,137,141
col_idx,138,145
col_idx,139,146
col_idx,140,147
col_idx,141,148
col_idx,142,149
col_idx,143,154
col_idx,144,155
col_idx,145,156
col_idx,146,157
col_idx,147,158
col_idx,148,163
col_idx,149,164
col_idx,150,165
col_idx,151,166
col_idx,152,9
col_idx,153,10
col_idx,154,13
col_idx,155,14
col_idx,156,136
col_idx,157,137
col_idx,158,138
col_idx,159,139
col_idx,160,140
col_idx,161,141
col_idx,162,145
col_idx,163,146
col_idx,164,147
col_idx,165,148
col_idx,166,149
col_idx,167,150
col_idx,168,155
col_idx,169,156
col_idx,170,157
col_idx,171,158
col_idx,172,6
col_idx,173,9
col_idx,174,10
col_idx,175,11
col_idx,176,136
col_idx,177,137
col_idx,178,138
col_idx,179,139
col_idx,180,140
col_idx,181,145
col_idx,182,146
col_idx,183,147
col_idx,184,148
col_idx,185,149
col_idx,186,154
col_idx,187,155
col_idx,188,156
col_idx,189,157
col_idx,190,6
col_idx,191,10
col_idx,192,11
col_idx,193,38
col_idx,194,39
col_idx,195,136
col_idx,196,137
col_idx,197,138
col_idx,198,139
col_idx,199,140
col_idx,200,145
col_idx,201,146
col_idx,202,147
col_idx,203,148
col_idx,204,149
col_idx,205,154
col_idx,206,155
col_idx,207,156
col_idx,208,157
col_idx,209,158
col_idx,210,164
col_idx,211,165
col_idx,212,166
col_idx,213,12
col_idx,214,13
col_idx,215,16
col_idx,216,17
col_idx,217,136
col_idx,218,137
col_idx,219,138
col_idx,220,139
col_idx,221,140
col_idx,222,141
col_idx,223,142
col_idx,224,146
col_idx,225,147
col_idx,226,148
col_idx,227,149
col_idx,228,150
col_idx,229,151
col_idx,230,156
col_idx,231,157
col_idx,232,158
col_idx,233,159
col_idx,234,9
col_idx,235,12
col_idx,236,13
col_idx,237,14
col_idx,238,136
col_idx,239,137
col_idx,240,138
col_idx,241,139
col_idx,242,140
col_idx,243,141
col_idx,244,145
col_idx,245,146
col_idx,246,147
col_idx,247,148
col_idx,248,149
col_idx,249,150
col_idx,250,155
col_idx,251,156
col_idx,252,157
col_idx,253,158
col_idx,254,9
col_idx,255,13
col_idx,256,14
col_idx,257,41
col_idx,258,42
col_idx,259,136
col_idx,260,137
col_idx,261,138
col_idx,262,139
col_idx,263,140
col_idx,264,141
col_idx,265,145
col_idx,266,146
col_idx,267,147
col_idx,268,148
col_idx,269,149
col_idx,270,150
col_idx,271,155
col_idx,272,156
col_idx,273,157
col_idx,274,158
col_idx,275,159
col_idx,276,165
col_idx,277,166
col_idx,278,167
col_idx,279,15
col_idx,280,16
col_idx,281,19
col_idx,282,20
col_idx,283,137
col_idx,284,138
col_idx,285,139
col_idx,286,140
col_idx,287,141
col_idx,288,142
col_idx,289,143
col_idx,290,147
col_idx,291,148
col_idx,292,149
col_idx,293,150
col_idx,294,151
col_idx,295,152
col_idx,296,157
col_idx,297,158
col_idx,298,159
col_idx,299,160
col_idx,300,12
col_idx,301,15
col_idx,302,16
col_idx,303,17
col_idx,304,137
col_idx,305,138
col_idx,306,139
col_idx,307,140
col_idx,308,141
col_idx,309,142
col_idx,310,146
col_idx,311,147
col_idx,312,148
col_idx,313,149
col_idx,314,150
col_idx,315,151
