ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3722.753579597812,0,0.003972497004209708
2,1,-3640.978404398637,0,0.003990483224647862
3,2,-3523.707413180398,0,0.004012448204094383
4,3,-3391.165928537339,0,0.004033471272867283
5,4,-3259.515959831116,0,0.004069096448145567
6,5,-3237.724061621739,0,0.004365237886494866
7,6,-3136.052647598092,0,0.004380851198947852
8,7,-3120.035208496978,0,0.004098832882676765
9,8,-2996.437935653833,0,0.004417222126276762
10,9,-2974.733924149203,0,0.004079153866080438
11,10,-2839.163249564695,0,0.004476204763381487
12,11,-2828.108081819104,0,0.00404060271060115
13,12,-2694.51238384105,0,0.004529486822634401
14,13,-2684.701289887075,0,0.004529332727089969
15,14,-2673.709637611204,0,0.004334216472218537
16,15,-2596.680347121222,0,0.004863114344174697
17,16,-2551.928506448499,0,0.004261123631042653
18,17,-2546.543746650406,0,0.004335980489024702
19,18,-2491.1299930355,0,0.003684812876661172
20,19,-2444.989303034049,0,0.004837552164911816
21,20,-2414.430735633754,0,0.004782838886948249
22,21,-2296.902969632057,0,0.004918208852032249
23,22,-2289.818065279418,0,0.004873643846775159
24,23,-2239.31286512114,0,0.005223049148901082
25,24,-2205.198872110513,0,0.004836811500065909
26,25,-2165.999084690261,0,0.005305863276376994
27,26,-2155.265809796957,0,0.005187475523562139
28,27,-2135.034415419535,0,0.005003346525150132
29,28,-2095.312638474092,0,0.005006903463172013
30,29,-2080.860000144422,0,0.005215357647669343
31,30,-2046.529512652034,0,0.00551633923697336
32,31,-2029.439912531294,0,0.005501506368219979
33,32,-2015.528167312166,0,0.005452988647203122
34,33,-1991.703141136713,0,0.005586616630900618
35,34,-1961.272757764149,0,0.005493457541552528
36,36,-1923.789244362226,0,0.005546670459367081
37,35,-1893.122882447704,0,0.005668609453598351
38,37,-1873.545865801978,0,0.006010776809020659
39,38,-1859.111278344827,0,0.005931115039664334
40,39,-1804.690441196627,0,0.005789863314286802
41,40,-1798.067800971109,0,0.005835738505436538
42,41,-1782.626862979941,0,0.005943495206597788
43,42,-1739.151649882155,0,0.005928556111671249
44,43,-1684.786500050308,0,0.006001700277871389
45,44,-1590.400396594345,0,0.00613692507170555
46,45,-1491.65614560855,0,0.006213778662716415
47,46,-1408.923453153772,0,0.006206007186151389
48,47,-1347.28525943956,0,0.006165960424741104
49,48,-1306.517052376224,0,0.006101098094296729
50,49,-1281.630086139977,0,0.006061143996103727
51,50,-1242.581379367878,0,0.005769939793553231
52,51,-1220.036539611698,0,0.005634956242673286
53,52,-1153.996542286727,0,0.005517001554255358
54,53,-1081.120184950282,0,0.005382062359506504
55,54,-1038.742781352761,0,0.005405187959235234
56,55,-999.9403843139521,0,0.005281845189348875
57,56,-913.2845170746156,0,0.005496852769739482
58,57,-896.7384034115241,0,0.005273916609178175
59,58,-838.713246115935,0,0.005183193545039855
60,59,-790.9730498530505,0,0.005681937162165926
61,60,-776.7246586640086,0,0.005348172573646184
62,61,-747.5551386739508,0,0.005245740837934081
63,62,-689.4813060506385,0,0.00589648480598819
64,63,-659.5359919791533,0,0.005522422556788704
65,64,-640.3077245655674,0,0.005357617378424472
66,65,-637.5737447421495,0,0.005507708985163486
67,66,-613.1796850888426,0,0.006077485951527383
68,67,-572.7891402949616,0,0.006260240320542354
69,68,-569.2819458457432,0,0.005807462629142507
70,69,-552.1273499599457,0,0.00588634065209058
71,70,-547.1409555340363,0,0.005668101592676234
72,72,-536.515737697933,0,0.006005916715882353
73,71,-528.2803340388124,0,0.005511225596561154
74,73,-488.0121828283361,0,0.005985142129798619
75,74,-461.2244172467031,0,0.005846255555705953
76,75,-445.6223864300659,0,0.005631454300217751
77,76,-421.9872824264491,0,0.005738022317554653
