ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3529.320443065927,0,0.003980883002625459
2,1,-3392.27504644336,0,0.004001314335246511
3,2,-3249.215069468166,0,0.004003365488231692
4,3,-3122.079540776854,0,0.004031213778141267
5,4,-3041.717802742565,0,0.004349266135259466
6,5,-2978.24510558135,0,0.004081370010564855
7,6,-2881.987682184325,0,0.004411469261682962
8,7,-2842.095972747994,0,0.004061748595247311
9,8,-2746.971489826728,0,0.004402291692205341
10,9,-2693.840945757676,0,0.004076356070206702
11,10,-2583.746268300626,0,0.004389075452694774
12,11,-2547.415277413994,0,0.004133571757316509
13,12,-2490.696493450321,0,0.004871856940968118
14,13,-2433.555758169722,0,0.004249630204739854
15,14,-2396.949947437734,0,0.004289548709633643
16,15,-2340.144080185653,0,0.004931931099675231
17,16,-2329.794277527466,0,0.003798121646034946
18,17,-2263.262877088761,0,0.00458129335454671
19,18,-2200.640722281407,0,0.004932847223027096
20,19,-2157.220331771068,0,0.004470412831336981
21,20,-2120.401677749843,0,0.004269662253547924
22,21,-2061.62933627733,0,0.005034839804767666
23,22,-2035.936809587539,0,0.005154174648209545
24,23,-2008.680165244171,0,0.004740465179825811
25,24,-1976.226810027803,0,0.004988080421470633
26,25,-1930.908739548028,0,0.005085832074010473
27,26,-1923.017603016306,0,0.005300717002508616
28,27,-1859.92022932515,0,0.005157024929530913
29,28,-1853.952456636969,0,0.005407956340976345
30,29,-1819.873180294872,0,0.005477897637749653
31,30,-1776.485273717709,0,0.005500216852229018
32,31,-1772.097321489604,0,0.005324685614947999
33,32,-1731.741126003208,0,0.005642809634288085
34,33,-1705.916430806454,0,0.005687086463932558
35,34,-1693.02927331247,0,0.004989355972955136
36,35,-1656.463866133922,0,0.005794801028416572
37,36,-1639.175632767596,0,0.005688887859731411
38,37,-1592.58349294349,0,0.005586067079063398
39,38,-1570.398007723245,0,0.00561261966594564
40,39,-1553.438791869814,0,0.005767336271203106
41,40,-1500.154344931686,0,0.005800193347548403
42,41,-1450.796595388941,0,0.005960683277442103
43,42,-1395.523434425374,0,0.005933657608966481
44,43,-1370.500124382764,0,0.005918162137998238
45,44,-1317.239783953822,0,0.006065163392046045
46,45,-1230.87210252094,0,0.006164566796438591
47,46,-1167.063856969817,0,0.00612436446965852
48,47,-1124.78053598803,0,0.006031480304526806
49,48,-1057.925222293314,0,0.005873959657705026
50,49,-1036.450496320516,0,0.005797213914551083
51,50,-953.221915933009,0,0.005635735825851874
52,51,-910.690850269031,0,0.005876806789885782
53,52,-859.495805492841,0,0.005538810218686113
54,53,-834.267619789731,0,0.005720400209272851
55,54,-763.1628780565642,0,0.005446319517768702
56,55,-744.7079042277052,0,0.005382284016870769
57,56,-649.5179825840578,0,0.005490000256480199
58,57,-632.0798183738669,0,0.005214704026062781
59,58,-621.5955243721304,0,0.005423513776954519
60,59,-537.4759823375687,0,0.00561860201146295
61,60,-508.1817390045951,0,0.005559433595451672
62,61,-500.509960995145,0,0.005348563065901066
63,62,-445.7842697942141,0,0.005836039991788924
64,63,-436.6098095845189,0,0.005465320557950714
65,64,-413.26992972037,0,0.006119898282280183
66,65,-389.9003942341963,0,0.005657881359500061
67,66,-378.1051402803493,0,0.005795480238832499
68,67,-368.4843588321685,0,0.005548529663873861
69,70,-308.3372727571528,0,0.005778393483124747
70,71,-299.4233872506132,0,0.00552643539235527
71,72,-270.0646214792118,0,0.005982831955796315
72,73,-265.803909811248,0,0.005600292346558981
73,74,-242.5319456450944,0,0.006068883063403203
74,75,-213.4754382111039,0,0.005816304609803565
75,76,-193.5721565316245,0,0.006254937658082151
76,77,-175.5563428201073,0,0.005600951802977094
77,78,-159.6960133713347,0,0.005686980842930354
78,79,-137.8144228281998,0,0.006312826713806862
79,80,-114.4058073416984,0,0.00623965908130435
80,96,-85.9547141264685,0,0.005568626221945058
81,97,-76.48566884681777,0,0.006023690543992818
82,102,-51.3300810786734,0,0.006027196223585257
83,104,-24.16316157896541,0,0.006394590881461457
84,133,-8.302733114074519,0,0.005982328231406376
85,160,0.1003524339488883,0,3.48620772664496
86,161,0.1088258096049491,0,3.392732192628508
