section,index,value
nrows,0,171
ncols,0,171
nnz,0,5823
row_ptr,0,0
row_ptr,1,15
row_ptr,2,26
row_ptr,3,41
row_ptr,4,59
row_ptr,5,74
row_ptr,6,94
row_ptr,7,114
row_ptr,8,132
row_ptr,9,155
row_ptr,10,174
row_ptr,11,194
row_ptr,12,219
row_ptr,13,235
row_ptr,14,253
row_ptr,15,275
row_ptr,16,310
row_ptr,17,333
row_ptr,18,359
row_ptr,19,375
row_ptr,20,395
row_ptr,21,416
row_ptr,22,431
row_ptr,23,447
row_ptr,24,467
row_ptr,25,480
row_ptr,26,495
row_ptr,27,513
row_ptr,28,524
row_ptr,29,537
row_ptr,30,557
row_ptr,31,572
row_ptr,32,588
row_ptr,33,612
row_ptr,34,632
row_ptr,35,653
row_ptr,36,680
row_ptr,37,704
row_ptr,38,729
row_ptr,39,755
row_ptr,40,782
row_ptr,41,810
row_ptr,42,832
row_ptr,43,856
row_ptr,44,880
row_ptr,45,918
row_ptr,46,944
row_ptr,47,970
row_ptr,48,991
row_ptr,49,1012
row_ptr,50,1033
row_ptr,51,1053
row_ptr,52,1074
row_ptr,53,1095
row_ptr,54,1113
row_ptr,55,1133
row_ptr,56,1153
row_ptr,57,1168
row_ptr,58,1183
row_ptr,59,1203
row_ptr,60,1219
row_ptr,61,1234
row_ptr,62,1258
row_ptr,63,1279
row_ptr,64,1299
row_ptr,65,1327
row_ptr,66,1352
row_ptr,67,1376
row_ptr,68,1404
row_ptr,69,1433
row_ptr,70,1461
row_ptr,71,1485
row_ptr,72,1510
row_ptr,73,1535
row_ptr,74,1573
row_ptr,75,1599
row_ptr,76,1625
row_ptr,77,1646
row_ptr,78,1667
row_ptr,79,1688
row_ptr,80,1709
row_ptr,81,1730
row_ptr,82,1751
row_ptr,83,1771
row_ptr,84,1792
row_ptr,85,1813
row_ptr,86,1829
row_ptr,87,1845
row_ptr,88,1863
row_ptr,89,1878
row_ptr,90,1891
row_ptr,91,1913
row_ptr,92,1933
row_ptr,93,1951
row_ptr,94,1977
row_ptr,95,2001
row_ptr,96,2023
row_ptr,97,2050
row_ptr,98,2077
row_ptr,99,2102
row_ptr,100,2126
row_ptr,101,2150
row_ptr,102,2173
row_ptr,103,2211
row_ptr,104,2237
row_ptr,105,2262
row_ptr,106,2282
row_ptr,107,2303
row_ptr,108,2324
row_ptr,109,2345
row_ptr,110,2366
row_ptr,111,2386
row_ptr,112,2406
row_ptr,113,2426
row_ptr,114,2446
row_ptr,115,2461
row_ptr,116,2476
row_ptr,117,2489
row_ptr,118,2500
row_ptr,119,2516
row_ptr,120,2531
row_ptr,121,2550
row_ptr,122,2568
row_ptr,123,2588
row_ptr,124,2608
row_ptr,125,2626
row_ptr,126,2644
row_ptr,127,2680
row_ptr,128,2705
row_ptr,129,2720
row_ptr,130,2740
row_ptr,131,2756
row_ptr,132,2772
row_ptr,133,2787
row_ptr,134,2802
row_ptr,135,2813
row_ptr,136,2885
row_ptr,137,2977
row_ptr,138,3070
row_ptr,139,3153
row_ptr,140,3224
row_ptr,141,3329
row_ptr,142,3393
row_ptr,143,3459
row_ptr,144,3523
row_ptr,145,3603
row_ptr,146,3708
row_ptr,147,3813
row_ptr,148,3907
row_ptr,149,3987
row_ptr,150,4104
row_ptr,151,4175
row_ptr,152,4247
row_ptr,153,4318
row_ptr,154,4396
row_ptr,155,4499
row_ptr,156,4605
row_ptr,157,4701
row_ptr,158,4783
row_ptr,159,4900
row_ptr,160,4969
row_ptr,161,5041
row_ptr,162,5113
row_ptr,163,5181
row_ptr,164,5270
row_ptr,165,5364
row_ptr,166,5451
row_ptr,167,5526
row_ptr,168,5631
row_ptr,169,5692
row_ptr,170,5757
row_ptr,171,5823
col_idx,0,0
col_idx,1,1
col_idx,2,4
col_idx,3,5
col_idx,4,135
col_idx,5,136
col_idx,6,137
col_idx,7,138
col_idx,8,144
col_idx,9,145
col_idx,10,146
col_idx,11,147
col_idx,12,153
col_idx,13,154
col_idx,14,155
col_idx,15,0
col_idx,16,1
col_idx,17,2
col_idx,18,135
col_idx,19,136
col_idx,20,137
col_idx,21,144
col_idx,22,145
col_idx,23,146
col_idx,24,153
col_idx,25,154
col_idx,26,1
col_idx,27,2
col_idx,28,29
col_idx,29,30
col_idx,30,135
col_idx,31,136
col_idx,32,137
col_idx,33,144
col_idx,34,145
col_idx,35,146
col_idx,36,153
col_idx,37,154
col_idx,38,155
col_idx,39,162
col_idx,40,163
col_idx,41,3
col_idx,42,4
col_idx,43,7
col_idx,44,8
col_idx,45,135
col_idx,46,136
col_idx,47,137
col_idx,48,138
col_idx,49,139
col_idx,50,144
col_idx,51,145
col_idx,52,146
col_idx,53,147
col_idx,54,148
col_idx,55,153
col_idx,56,154
col_idx,57,155
col_idx,58,156
col_idx,59,0
col_idx,60,3
col_idx,61,4
col_idx,62,5
col_idx,63,135
col_idx,64,136
col_idx,65,137
col_idx,66,138
col_idx,67,144
col_idx,68,145
col_idx,69,146
col_idx,70,147
col_idx,71,153
col_idx,72,154
col_idx,73,155
col_idx,74,0
col_idx,75,4
col_idx,76,5
col_idx,77,32
col_idx,78,33
col_idx,79,135
col_idx,80,136
col_idx,81,137
col_idx,82,138
col_idx,83,144
col_idx,84,145
col_idx,85,146
col_idx,86,147
col_idx,87,153
col_idx,88,154
col_idx,89,155
col_idx,90,156
col_idx,91,162
col_idx,92,163
col_idx,93,164
col_idx,94,6
col_idx,95,7
col_idx,96,10
col_idx,97,11
col_idx,98,135
col_idx,99,136
col_idx,100,137
col_idx,101,138
col_idx,102,139
col_idx,103,140
col_idx,104,144
col_idx,105,145
col_idx,106,146
col_idx,107,147
col_idx,108,148
col_idx,109,149
col_idx,110,154
col_idx,111,155
col_idx,112,156
col_idx,113,157
col_idx,114,3
col_idx,115,6
col_idx,116,7
col_idx,117,8
col_idx,118,135
col_idx,119,136
col_idx,120,137
col_idx,121,138
col_idx,122,139
col_idx,123,144
col_idx,124,145
col_idx,125,146
col_idx,126,147
col_idx,127,148
col_idx,128,153
col_idx,129,154
col_idx,130,155
col_idx,131,156
col_idx,132,3
col_idx,133,7
col_idx,134,8
col_idx,135,35
col_idx,136,36
col_idx,137,135
col_idx,138,136
col_idx,139,137
col_idx,140,138
col_idx,141,139
col_idx,142,144
col_idx,143,145
col_idx,144,146
col_idx,145,147
col_idx,146,148
col_idx,147,153
col_idx,148,154
col_idx,149,155
col_idx,150,156
col_idx,151,157
col_idx,152,163
col_idx,153,164
col_idx,154,165
col_idx,155,9
col_idx,156,10
col_idx,157,13
col_idx,158,14
col_idx,159,135
col_idx,160,136
col_idx,161,137
col_idx,162,138
col_idx,163,139
col_idx,164,140
col_idx,165,145
col_idx,166,146
col_idx,167,147
col_idx,168,148
col_idx,169,149
col_idx,170,155
col_idx,171,156
col_idx,172,157
col_idx,173,158
col_idx,174,6
col_idx,175,9
col_idx,176,10
col_idx,177,11
col_idx,178,135
col_idx,179,136
col_idx,180,137
col_idx,181,138
col_idx,182,139
col_idx,183,140
col_idx,184,144
col_idx,185,145
col_idx,186,146
col_idx,187,147
col_idx,188,148
col_idx,189,149
col_idx,190,154
col_idx,191,155
col_idx,192,156
col_idx,193,157
col_idx,194,6
col_idx,195,10
col_idx,196,11
col_idx,197,38
col_idx,198,39
col_idx,199,135
col_idx,200,136
col_idx,201,137
col_idx,202,138
col_idx,203,139
col_idx,204,140
col_idx,205,144
col_idx,206,145
col_idx,207,146
col_idx,208,147
col_idx,209,148
col_idx,210,149
col_idx,211,154
col_idx,212,155
col_idx,213,156
col_idx,214,157
col_idx,215,158
col_idx,216,164
col_idx,217,165
col_idx,218,166
col_idx,219,12
col_idx,220,13
col_idx,221,16
col_idx,222,17
col_idx,223,136
col_idx,224,137
col_idx,225,138
col_idx,226,139
col_idx,227,140
col_idx,228,146
col_idx,229,147
col_idx,230,148
col_idx,231,149
col_idx,232,156
col_idx,233,157
col_idx,234,158
col_idx,235,9
col_idx,236,12
col_idx,237,13
col_idx,238,14
col_idx,239,136
col_idx,240,137
col_idx,241,138
col_idx,242,139
col_idx,243,140
col_idx,244,145
col_idx,245,146
col_idx,246,147
col_idx,247,148
col_idx,248,149
col_idx,249,155
col_idx,250,156
col_idx,251,157
col_idx,252,158
col_idx,253,9
col_idx,254,13
col_idx,255,14
col_idx,256,41
col_idx,257,42
col_idx,258,136
col_idx,259,137
col_idx,260,138
col_idx,261,139
col_idx,262,140
col_idx,263,145
col_idx,264,146
col_idx,265,147
col_idx,266,148
col_idx,267,149
col_idx,268,155
col_idx,269,156
col_idx,270,157
col_idx,271,158
col_idx,272,165
col_idx,273,166
col_idx,274,167
col_idx,275,15
col_idx,276,16
col_idx,277,19
col_idx,278,20
col_idx,279,136
col_idx,280,137
col_idx,281,138
col_idx,282,139
col_idx,283,140
col_idx,284,141
col_idx,285,142
col_idx,286,143
col_idx,287,145
col_idx,288,146
col_idx,289,147
col_idx,290,148
col_idx,291,149
col_idx,292,150
col_idx,293,151
col_idx,294,152
col_idx,295,154
col_idx,296,155
col_idx,297,156
col_idx,298,157
col_idx,299,158
col_idx,300,159
col_idx,301,160
col_idx,302,161
col_idx,303,164
col_idx,304,165
col_idx,305,166
col_idx,306,167
col_idx,307,168
col_idx,308,169
col_idx,309,170
col_idx,310,12
col_idx,311,15
col_idx,312,16
col_idx,313,17
col_idx,314,136
col_idx,315,137
