ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3639.68124039519,0,0.003973540273132909
2,1,-3566.436810168541,0,0.003994164687624719
3,2,-3453.937170955924,0,0.004018533557162052
4,3,-3324.443042089386,0,0.004040269902039102
5,4,-3197.732629942856,0,0.004080577122400565
6,5,-3156.654634188385,0,0.004361411296287744
7,7,-3063.210763388648,0,0.004295894126107838
8,6,-3058.619784150208,0,0.00419537619661863
9,8,-2924.278307179888,0,0.00441498056781616
10,9,-2917.011739446433,0,0.00409400883495907
11,10,-2772.223702446875,0,0.00409615833057464
12,11,-2766.684855649845,0,0.004443780282791645
13,12,-2631.317824065309,0,0.004203323636992894
14,13,-2615.846860627874,0,0.004531814125018114
15,14,-2597.710262753056,0,0.004689393152721935
16,15,-2525.312106047018,0,0.004704467803359572
17,17,-2496.860954068223,0,0.004156217764059968
18,16,-2479.04169903532,0,0.004545391468275342
19,18,-2424.639754501591,0,0.003703447511386472
20,19,-2368.96919819668,0,0.004848620130042556
21,20,-2344.644474331381,0,0.004781122220838533
22,21,-2227.327286527314,0,0.004809121238824432
23,22,-2220.107341070791,0,0.004947576419079916
24,23,-2168.011500276067,0,0.005042854365034013
25,24,-2132.715914357029,0,0.005041450441702751
26,25,-2117.508178284211,0,0.004932542987388086
27,26,-2091.650608688276,0,0.005233250628615366
28,27,-2078.91064126255,0,0.005284095239648564
29,28,-2048.844634479266,0,0.004987175011900586
30,29,-2007.515228244348,0,0.005198260478385633
31,30,-1973.479530577143,0,0.005479081737052313
32,31,-1959.198351797648,0,0.005511210926319295
33,32,-1945.449642081945,0,0.00550745879576497
34,33,-1927.296708912099,0,0.005587328428831046
35,34,-1901.133225787349,0,0.005526910332311627
36,35,-1862.261524782092,0,0.005570917051924374
37,36,-1828.234753987338,0,0.005683559945383339
38,37,-1813.17237171251,0,0.005950986436631337
39,38,-1793.593793443046,0,0.005983163387472574
40,41,-1739.521751295658,0,0.00580913514277457
41,40,-1734.568026821027,0,0.005828763137724453
42,39,-1719.993982950574,0,0.005903047287856818
43,42,-1675.010908288249,0,0.005920724548769004
44,43,-1624.10367949641,0,0.006002376368752289
45,44,-1530.697828096037,0,0.006136772967433064
46,45,-1433.276721962404,0,0.006209376205339887
47,46,-1353.503953902639,0,0.006201430858241566
48,47,-1294.309293637822,0,0.006152563797433162
49,48,-1252.70714723008,0,0.00608338339737043
50,49,-1216.024018603644,0,0.006053540433442212
51,50,-1172.31105716262,0,0.00576699500291133
52,51,-1151.388743737132,0,0.005643262830126898
53,52,-1090.546745420437,0,0.005503275565065006
54,53,-1010.066368536461,0,0.005381105942107511
55,54,-972.4288249576556,0,0.005385634971658837
56,55,-931.3572039921971,0,0.005288955148487464
57,56,-850.8793478973899,0,0.005482467406672943
58,57,-830.7116306408602,0,0.005278356367236095
59,58,-762.0409245891543,0,0.005185764272766018
