ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3630.930749087931,0,0.003972461392492741
2,1,-3552.27435689516,0,0.003991067578045307
3,2,-3437.265705971488,0,0.004013791932533742
4,3,-3305.68919921604,0,0.004035225447798323
5,4,-3175.434749773564,0,0.004070094611381001
6,5,-3147.173878195252,0,0.004365254258046162
7,6,-3047.674174284286,0,0.004383453042858004
8,7,-3037.292993655617,0,0.004102547396573137
9,8,-2909.331317934118,0,0.004416333803680594
10,9,-2892.479643482497,0,0.004084795526786338
11,10,-2751.879932915414,0,0.004477783106251901
12,11,-2746.535862528821,0,0.004049539729464091
13,12,-2609.528424272727,0,0.004358294761257388
14,13,-2597.698718862199,0,0.004538998238462752
15,14,-2585.612135473071,0,0.004506283554410347
16,15,-2509.229796681388,0,0.004823471480067747
17,17,-2467.317643766431,0,0.004022282587364224
18,16,-2463.19721741013,0,0.00463181280923731
19,18,-2408.998012074363,0,0.003671463355046571
20,19,-2356.36531156829,0,0.004843646243355476
21,20,-2327.855557877805,0,0.00478294676929652
22,22,-2208.259714449904,0,0.004926920364516582
23,21,-2205.157390025346,0,0.004850318582757096
24,23,-2152.541772666164,0,0.005131191450319646
25,24,-2118.57858277088,0,0.004916353925578482
26,25,-2077.361304066508,0,0.005301902340069233
27,26,-2068.715821083017,0,0.005194943642261329
28,28,-2044.417328020084,0,0.004946377371271331
29,27,-2040.674639071369,0,0.00502602815699909
30,29,-1993.608306722989,0,0.005211945781002663
31,30,-1955.729748263515,0,0.005515547331793606
32,32,-1942.770597509298,0,0.005503834096242243
33,31,-1929.346673249069,0,0.005471919552667801
34,33,-1906.287437216481,0,0.005582089312710749
35,34,-1879.053798884845,0,0.005494676407020433
36,35,-1840.614221687335,0,0.00555834379065766
37,36,-1809.683251721758,0,0.005680682749674139
38,38,-1783.691333033458,0,0.00611450418923753
39,37,-1782.666590128987,0,0.005844146195417215
40,43,-1716.363627850553,0,0.005770044372866135
41,44,-1715.540112159589,0,0.005829314339940926
42,42,-1703.502330114551,0,0.005955011144759994
43,41,-1657.410146232438,0,0.005930838770690453
44,40,-1602.862364780985,0,0.006001562124980541
45,39,-1508.271448499909,0,0.00613569787116422
46,45,-1409.607337355433,0,0.006210322236024609
47,46,-1327.198878656339,0,0.006204075219420347
48,47,-1265.876422024398,0,0.006167135762431957
49,48,-1224.236031591731,0,0.006103537895053055
50,49,-1201.193116372171,0,0.006066862483454754
51,51,-1154.282305726096,0,0.005776109919991846
52,50,-1136.803594735373,0,0.005618949772622905
53,52,-1071.51989867108,0,0.00550019720909787
54,53,-993.9657479668988,0,0.00537774684269693
55,54,-953.9468834098425,0,0.005396061329174056
56,55,-914.2519320029472,0,0.00527983044796688
57,56,-829.7912001517373,0,0.005491527130739819
58,57,-812.0428427043828,0,0.005271175771942064
59,58,-749.8234492754289,0,0.005176742283783069
60,59,-706.8140399582759,0,0.005676319026028083
61,60,-692.2218495809128,0,0.005342588099849683
62,61,-662.3946870379433,0,0.005237966429659145
63,62,-603.9109283382331,0,0.00588985558970612
64,63,-574.9162019536128,0,0.005516965996961464
65,64,-556.3253568983625,0,0.005348143388919774
