section,index,value
nrows,0,171
ncols,0,171
nnz,0,6295
row_ptr,0,0
row_ptr,1,15
row_ptr,2,26
row_ptr,3,41
row_ptr,4,59
row_ptr,5,74
row_ptr,6,94
row_ptr,7,114
row_ptr,8,132
row_ptr,9,155
row_ptr,10,176
row_ptr,11,196
row_ptr,12,221
row_ptr,13,242
row_ptr,14,262
row_ptr,15,287
row_ptr,16,308
row_ptr,17,328
row_ptr,18,353
row_ptr,19,372
row_ptr,20,392
row_ptr,21,417
row_ptr,22,433
row_ptr,23,451
row_ptr,24,473
row_ptr,25,486
row_ptr,26,501
row_ptr,27,519
row_ptr,28,530
row_ptr,29,543
row_ptr,30,563
row_ptr,31,578
row_ptr,32,594
row_ptr,33,618
row_ptr,34,638
row_ptr,35,659
row_ptr,36,686
row_ptr,37,710
row_ptr,38,735
row_ptr,39,764
row_ptr,40,791
row_ptr,41,819
row_ptr,42,848
row_ptr,43,875
row_ptr,44,903
row_ptr,45,932
row_ptr,46,959
row_ptr,47,987
row_ptr,48,1013
row_ptr,49,1040
row_ptr,50,1068
row_ptr,51,1090
row_ptr,52,1114
row_ptr,53,1138
row_ptr,54,1156
row_ptr,55,1176
row_ptr,56,1196
row_ptr,57,1211
row_ptr,58,1226
row_ptr,59,1246
row_ptr,60,1262
row_ptr,61,1277
row_ptr,62,1301
row_ptr,63,1322
row_ptr,64,1342
row_ptr,65,1370
row_ptr,66,1395
row_ptr,67,1419
row_ptr,68,1450
row_ptr,69,1479
row_ptr,70,1507
row_ptr,71,1538
row_ptr,72,1567
row_ptr,73,1595
row_ptr,74,1626
row_ptr,75,1655
row_ptr,76,1683
row_ptr,77,1711
row_ptr,78,1740
row_ptr,79,1768
row_ptr,80,1792
row_ptr,81,1817
row_ptr,82,1842
row_ptr,83,1862
row_ptr,84,1883
row_ptr,85,1904
row_ptr,86,1920
row_ptr,87,1936
row_ptr,88,1954
row_ptr,89,1969
row_ptr,90,1982
row_ptr,91,2004
row_ptr,92,2024
row_ptr,93,2042
row_ptr,94,2068
row_ptr,95,2092
row_ptr,96,2114
row_ptr,97,2143
row_ptr,98,2170
row_ptr,99,2195
row_ptr,100,2224
row_ptr,101,2251
row_ptr,102,2276
row_ptr,103,2305
row_ptr,104,2332
row_ptr,105,2357
row_ptr,106,2384
row_ptr,107,2411
row_ptr,108,2436
row_ptr,109,2460
row_ptr,110,2484
row_ptr,111,2507
row_ptr,112,2527
row_ptr,113,2547
row_ptr,114,2567
row_ptr,115,2582
row_ptr,116,2597
row_ptr,117,2610
row_ptr,118,2621
row_ptr,119,2637
row_ptr,120,2652
row_ptr,121,2671
row_ptr,122,2689
row_ptr,123,2710
row_ptr,124,2730
row_ptr,125,2751
row_ptr,126,2771
row_ptr,127,2792
row_ptr,128,2812
row_ptr,129,2832
row_ptr,130,2852
row_ptr,131,2870
row_ptr,132,2888
row_ptr,133,2903
row_ptr,134,2918
row_ptr,135,2929
row_ptr,136,2996
row_ptr,137,3078
row_ptr,138,3172
row_ptr,139,3272
row_ptr,140,3374
row_ptr,141,3474
row_ptr,142,3567
row_ptr,143,3646
row_ptr,144,3709
row_ptr,145,3785
row_ptr,146,3879
row_ptr,147,3988
row_ptr,148,4104
row_ptr,149,4221
row_ptr,150,4337
row_ptr,151,4446
row_ptr,152,4538
row_ptr,153,4612
row_ptr,154,4686
row_ptr,155,4778
row_ptr,156,4887
row_ptr,157,5003
row_ptr,158,5120
row_ptr,159,5236
row_ptr,160,5345
row_ptr,161,5439
row_ptr,162,5515
row_ptr,163,5578
row_ptr,164,5657
row_ptr,165,5750
row_ptr,166,5850
row_ptr,167,5952
row_ptr,168,6052
row_ptr,169,6146
row_ptr,170,6228
row_ptr,171,6295
col_idx,0,0
col_idx,1,1
col_idx,2,4
col_idx,3,5
col_idx,4,135
col_idx,5,136
col_idx,6,137
col_idx,7,138
col_idx,8,144
col_idx,9,145
col_idx,10,146
col_idx,11,147
col_idx,12,153
col_idx,13,154
col_idx,14,155
col_idx,15,0
col_idx,16,1
col_idx,17,2
col_idx,18,135
col_idx,19,136
col_idx,20,137
col_idx,21,144
col_idx,22,145
col_idx,23,146
col_idx,24,153
col_idx,25,154
col_idx,26,1
col_idx,27,2
col_idx,28,29
col_idx,29,30
col_idx,30,135
col_idx,31,136
col_idx,32,137
col_idx,33,144
col_idx,34,145
col_idx,35,146
col_idx,36,153
col_idx,37,154
col_idx,38,155
col_idx,39,162
col_idx,40,163
col_idx,41,3
col_idx,42,4
col_idx,43,7
col_idx,44,8
col_idx,45,135
col_idx,46,136
col_idx,47,137
col_idx,48,138
col_idx,49,139
col_idx,50,144
col_idx,51,145
col_idx,52,146
col_idx,53,147
col_idx,54,148
col_idx,55,153
col_idx,56,154
col_idx,57,155
col_idx,58,156
col_idx,59,0
col_idx,60,3
col_idx,61,4
col_idx,62,5
col_idx,63,135
col_idx,64,136
col_idx,65,137
col_idx,66,138
col_idx,67,144
col_idx,68,145
col_idx,69,146
col_idx,70,147
col_idx,71,153
col_idx,72,154
col_idx,73,155
col_idx,74,0
col_idx,75,4
col_idx,76,5
col_idx,77,32
col_idx,78,33
col_idx,79,135
col_idx,80,136
col_idx,81,137
col_idx,82,138
col_idx,83,144
col_idx,84,145
col_idx,85,146
col_idx,86,147
col_idx,87,153
col_idx,88,154
col_idx,89,155
col_idx,90,156
col_idx,91,162
col_idx,92,163
col_idx,93,164
col_idx,94,6
col_idx,95,7
col_idx,96,10
col_idx,97,11
col_idx,98,135
col_idx,99,136
col_idx,100,137
col_idx,101,138
col_idx,102,139
col_idx,103,140
col_idx,104,144
col_idx,105,145
col_idx,106,146
col_idx,107,147
col_idx,108,148
col_idx,109,149
col_idx,110,154
col_idx,111,155
col_idx,112,156
col_idx,113,157
col_idx,114,3
col_idx,115,6
col_idx,116,7
col_idx,117,8
col_idx,118,135
col_idx,119,136
col_idx,120,137
col_idx,121,138
col_idx,122,139
col_idx,123,144
col_idx,124,145
col_idx,125,146
col_idx,126,147
col_idx,127,148
col_idx,128,153
col_idx,129,154
col_idx,130,155
col_idx,131,156
col_idx,132,3
col_idx,133,7
col_idx,134,8
col_idx,135,35
col_idx,136,36
col_idx,137,135
col_idx,138,136
col_idx,139,137
col_idx,140,138
col_idx,141,139
col_idx,142,144
col_idx,143,145
col_idx,144,146
col_idx,145,147
col_idx,146,148
col_idx,147,153
col_idx,148,154
col_idx,149,155
col_idx,150,156
col_idx,151,157
col_idx,152,163
col_idx,153,164
col_idx,154,165
col_idx,155,9
col_idx,156,10
col_idx,157,13
col_idx,158,14
col_idx,159,135
col_idx,160,136
col_idx,161,137
col_idx,162,138
col_idx,163,139
col_idx,164,140
col_idx,165,141
col_idx,166,145
col_idx,167,146
col_idx,168,147
col_idx,169,148
col_idx,170,149
col_idx,171,150
col_idx,172,155
col_idx,173,156
col_idx,174,157
col_idx,175,158
col_idx,176,6
col_idx,177,9
col_idx,178,10
col_idx,179,11
col_idx,180,135
col_idx,181,136
col_idx,182,137
col_idx,183,138
col_idx,184,139
col_idx,185,140
col_idx,186,144
col_idx,187,145
col_idx,188,146
col_idx,189,147
col_idx,190,148
col_idx,191,149
col_idx,192,154
col_idx,193,155
col_idx,194,156
col_idx,195,157
col_idx,196,6
col_idx,197,10
col_idx,198,11
col_idx,199,38
col_idx,200,39
col_idx,201,135
col_idx,202,136
col_idx,203,137
col_idx,204,138
col_idx,205,139
col_idx,206,140
col_idx,207,144
col_idx,208,145
col_idx,209,146
col_idx,210,147
col_idx,211,148
col_idx,212,149
col_idx,213,154
col_idx,214,155
col_idx,215,156
col_idx,216,157
col_idx,217,158
col_idx,218,164
col_idx,219,165
col_idx,220,166
col_idx,221,12
col_idx,222,13
col_idx,223,16
col_idx,224,17
col_idx,225,136
col_idx,226,137
col_idx,227,138
col_idx,228,139
col_idx,229,140
col_idx,230,141
col_idx,231,142
col_idx,232,146
col_idx,233,147
col_idx,234,148
col_idx,235,149
col_idx,236,150
col_idx,237,151
col_idx,238,156
col_idx,239,157
col_idx,240,158
col_idx,241,159
col_idx,242,9
col_idx,243,12
col_idx,244,13
col_idx,245,14
col_idx,246,136
col_idx,247,137
col_idx,248,138
col_idx,249,139
col_idx,250,140
col_idx,251,141
col_idx,252,145
col_idx,253,146
col_idx,254,147
col_idx,255,148
col_idx,256,149
col_idx,257,150
col_idx,258,155
col_idx,259,156
col_idx,260,157
col_idx,261,158
col_idx,262,9
col_idx,263,13
col_idx,264,14
col_idx,265,41
col_idx,266,42
col_idx,267,136
col_idx,268,137
col_idx,269,138
col_idx,270,139
col_idx,271,140
col_idx,272,141
col_idx,273,145
col_idx,274,146
col_idx,275,147
col_idx,276,148
col_idx,277,149
col_idx,278,150
col_idx,279,155
col_idx,280,156
col_idx,281,157
col_idx,282,158
col_idx,283,159
col_idx,284,165
col_idx,285,166
col_idx,286,167
col_idx,287,15
col_idx,288,16
col_idx,289,19
col_idx,290,20
col_idx,291,137
col_idx,292,138
col_idx,293,139
col_idx,294,140
col_idx,295,141
col_idx,296,142
col_idx,297,143
col_idx,298,147
col_idx,299,148
col_idx,300,149
col_idx,301,150
col_idx,302,151
col_idx,303,152
col_idx,304,157
col_idx,305,158
col_idx,306,159
col_idx,307,160
col_idx,308,12
col_idx,309,15
col_idx,310,16
col_idx,311,17
col_idx,312,137
col_idx,313,138
col_idx,314,139
col_idx,315,140
