ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3560.75634441013,0,0.003972356354829079
2,1,-3482.111230226176,0,0.003990910488674119
3,2,-3367.11213745149,0,0.004013587837730585
4,3,-3235.552208530619,0,0.004035022223067323
5,4,-3105.317742639313,0,0.00406995838301331
6,5,-3077.040009288936,0,0.004365125237695595
7,6,-2977.60450236546,0,0.004383514752484581
8,7,-2967.209146219142,0,0.004102474136725496
9,8,-2839.251380350476,0,0.004416190031774668
10,9,-2822.387681551662,0,0.004084720232694113
11,10,-2681.780128991422,0,0.004477456427240886
12,11,-2676.426867095633,0,0.004049495157694219
13,12,-2539.397446487674,0,0.004357950672526103
14,13,-2527.61314942774,0,0.004538744530837295
15,14,-2515.529665836785,0,0.004506373965289004
16,15,-2439.167833908834,0,0.004824351414767569
17,17,-2397.23526538992,0,0.004021728255672532
18,16,-2393.166806473845,0,0.004632112486461041
19,18,-2338.858107531395,0,0.003671387348854781
20,19,-2286.337258499668,0,0.00484375865645851
21,20,-2257.833344272356,0,0.004783188168738775
22,22,-2138.159867641309,0,0.004927139027470348
23,21,-2135.073426407868,0,0.004850332482632658
24,23,-2082.418028297444,0,0.005131181932127368
25,24,-2048.44398684887,0,0.00491616781448416
26,25,-2007.245896000241,0,0.005302403814145403
27,26,-1998.585383842982,0,0.005194318135991641
28,28,-1974.328990840444,0,0.004946217975202131
29,27,-1970.568436743451,0,0.005026146327518888
30,29,-1923.512041323436,0,0.005212182502344494
31,30,-1885.63035835387,0,0.005515261956896896
32,32,-1872.640192022356,0,0.005503838034779639
33,31,-1859.26787460674,0,0.005472281421634342
34,33,-1836.196050312137,0,0.005581900715245947
35,34,-1808.890786766145,0,0.005494690946973023
36,35,-1770.458504430084,0,0.00555845828237646
37,36,-1739.644522726017,0,0.005680890891562054
38,38,-1713.581352608007,0,0.006114646883618562
39,37,-1712.52994246936,0,0.005844287717951441
40,42,-1646.211959689613,0,0.005770014499550178
41,43,-1645.385430367988,0,0.005829360556491273
42,41,-1633.415586444948,0,0.005955575054347993
43,40,-1587.308820332831,0,0.005929499993237749
44,39,-1532.831799476699,0,0.006001151431457684
45,44,-1438.305960184981,0,0.006136376678059191
46,45,-1339.639817060633,0,0.006209384886353905
47,46,-1257.196726701841,0,0.006203086635127169
48,47,-1195.817664396307,0,0.006166357793581342
49,48,-1154.112912069828,0,0.006103114709218012
50,49,-1131.0093554674,0,0.006066862919848209
51,51,-1084.154539927627,0,0.005775664185782529
52,50,-1066.716954435853,0,0.005618308460761883
53,52,-1001.45353040386,0,0.00549963385542682
54,53,-924.0088182793978,0,0.00537668255519969
55,54,-883.9280090081161,0,0.005395332643520015
56,55,-844.2154423142271,0,0.005279437584333315
57,56,-759.8709918447988,0,0.005489808604614665
58,57,-741.9680457748697,0,0.005270966248229697
59,58,-680.1378808111573,0,0.005174085677451193
60,59,-636.973029404949,0,0.00567366212134156
61,60,-622.1409274369495,0,0.005342350028559912
62,61,-592.555345076102,0,0.005236176225150102
63,62,-534.0547249208507,0,0.005886714309428731
64,63,-504.8333631360807,0,0.005516314600995434
65,64,-486.3544305220253,0,0.005347352652304214
66,65,-477.8563368192002,0,0.005501330927564883
67,66,-457.6221232556952,0,0.006055172479850237
68,67,-417.7100268245011,0,0.006259401364579688
69,68,-408.8554411029405,0,0.005771459016962157
70,70,-399.2029203732181,0,0.006369496845824449
71,72,-393.5228039792491,0,0.00566304707211151
72,71,-388.9446598564702,0,0.005590085043195464
73,69,-374.0021380666671,0,0.005505959160465806
74,73,-331.3018744414021,0,0.00598366283891049
75,74,-305.5238774718698,0,0.005837303599963884
76,75,-291.8839151810165,0,0.00561566121119507
77,76,-267.0660795190031,0,0.005737010648544588
78,77,-239.3576958421534,0,0.005973916856866279
79,78,-233.5090543857017,0,0.006194236850562495
80,79,-202.168310720008,0,0.006316327450454277
81,80,-190.7515175077665,0,0.005710997404387369
82,81,-187.8126678834276,0,0.006329429168985975
83,82,-168.5429097679629,0,0.00568928970321887
84,83,-133.1085852020568,0,0.006408431773853977
85,85,-95.81865723218074,0,0.005779502288409999
86,86,-91.83724827467367,0,0.005874028534754528
87,87,-39.4214526208715,0,0.006586229000223163
88,88,-35.04320235885533,0,0.006032754678770734
89,92,-12.71248305579239,0,0.005971170822962397
90,140,-0.115503541045981,0,0.006357620926809845
91,152,0.09860432407488171,0,3.504430787447319
92,153,0.1018548384331607,0,3.46430688424857
93,154,0.1072163549921764,0,3.400948278292988
94,158,0.1145328799099914,0,3.319401467408497
95,159,0.1148776610716515,0,3.303851901036369
96,160,0.1212676566431686,0,3.235464405711359
97,161,0.123465999726141,0,3.227280286945382
98,162,0.1325529014186487,0,3.127514346016075
99,163,0.1334084723896895,0,3.13296641012446
100,164,0.1380054429338252,0,3.040218168897689
101,165,0.1433339767825771,0,3.044969960112308
102,168,0.1495504568298296,0,2.98792986084968
103,169,0.1512183122540336,0,2.93559181683686
104,170,0.1520614118108444,0,2.973985723820333
105,167,0.1581051779970705,0,2.926005642070352
106,166,0.1605209629386484,0,2.820913568457803
107,157,0.1726677890461796,0,2.827374771251756
108,156,0.176108038227083,0,2.765943738907076
109,155,0.1833455030955423,0,2.682498273621127
110,151,0.2015306988692177,0,2.658198030777729
111,150,0.2169432188476483,0,2.54313396378806
112,149,0.2288207340002707,0,2.456212836362184
113,148,0.2339934389379431,0,2.504571917556586
114,147,0.265318769422784,0,2.372390825485402
115,146,0.2795400215039939,0,2.280770685721147
116,145,0.2888158412384689,0,2.292067608507095
117,144,0.3104674488001851,0,2.150729990202597
118,143,0.3696224362104392,0,2.0027169698136
119,142,0.4536859367160763,0,1.785412321671831
120,141,0.4891401496094175,0,1.737389182095288
121,139,0.6267273611883647,0,1.516779200850527
122,138,0.7064438862717607,0,1.387403006746395
123,137,0.7463389765912712,0,1.309881469728483
124,136,1.158420024740144,0,1.009993401740221
125,135,1.949894535169679,0,0.6876024024368305
126,134,3.103760803479781,0,0.4716455474522229
127,94,11.09669528274812,0,0.006312015781734017
128,90,41.83973168188261,0,0.00675365083322335
129,91,55.85789774151878,0,0.005842325809529257
130,95,99.49449303245547,0,0.01280250766623214
