family,longitudinal_label,mode_label,positive_rank,eig_index,m,p,r_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,kc_r_fem,kc_r_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_p1,1,2,1,1,1,356554069.642619,1,1,7.47282071890916,1.877564437758256,1.841183781340659,1.877564437758256,1.841183781340659,7.233104539478435,0,0,1.975938349354009,0.8988983775200813,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p1_rank01.csv
TE,Hz,TE_m1_p1,2,3,1,1,1,356554069.642619,1,1,7.47282071890916,1.877564437758412,1.841183781340659,1.877564437758412,1.841183781340659,7.233104539478394,0,0,1.975938349362475,0.8988983775200815,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p1_rank02.csv
TE,Hz,TE_m2_p1,3,4,2,1,1,356554069.642619,1,1,7.47282071890916,3.153298444312618,3.05423692822714,3.153298444312618,3.05423692822714,6.774936045310954,0,0,3.243412951037147,0.7235619347997301,te_sign_only_above_cutoff,helm10_circle_fields_TE_m2_p1_rank03.csv
TE,Hz,TE_m2_p1,4,5,2,1,1,356554069.642619,1,1,7.47282071890916,3.153298444312789,3.05423692822714,3.153298444312789,3.05423692822714,6.774936045310874,0,0,3.243412951042745,0.7235619347997303,te_sign_only_above_cutoff,helm10_circle_fields_TE_m2_p1_rank04.csv
TE,Hz,TE_m0_p1,5,6,0,1,1,356554069.642619,1,1,7.47282071890916,3.941187547366274,3.831705970207512,3.941187547366274,3.831705970207512,6.349022776258014,0,0,2.857254131971747,0.9999370503125029,te_sign_only_above_cutoff,helm10_circle_fields_TE_m0_p1_rank05.csv
TE,Hz,TE_m3_p1,6,7,3,1,1,356554069.642619,1,1,7.47282071890916,4.462773090785537,4.201188941210528,4.462773090785537,4.201188941210528,5.993889041108329,0,0,6.226431451560369,0.9426740416521059,te_sign_only_above_cutoff,helm10_circle_fields_TE_m3_p1_rank06.csv
TE,Hz,TE_m3_p1,7,8,3,1,1,356554069.642619,1,1,7.47282071890916,4.462773090785653,4.201188941210528,4.462773090785653,4.201188941210528,5.993889041108242,0,0,6.226431451563139,0.9426740416521061,te_sign_only_above_cutoff,helm10_circle_fields_TE_m3_p1_rank07.csv
TE,Hz,TE_m1_p2,8,9,1,2,1,356554069.642619,1,1,7.47282071890916,5.609207220110489,5.331442773525032,5.609207220110489,5.331442773525032,4.937594946815543,0,0,5.209930189343574,0.8780381467413249,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p2_rank08.csv
TE,Hz,TE_m1_p2,9,10,1,2,1,356554069.642619,1,1,7.47282071890916,5.609207220110549,5.331442773525032,5.609207220110549,5.331442773525032,4.937594946815474,0,0,5.209930189344707,0.878038146741325,te_sign_only_above_cutoff,helm10_circle_fields_TE_m1_p2_rank09.csv
TE,Hz,TE_m4_p1,10,11,4,1,1,356554069.642619,1,1,7.47282071890916,5.88521377478915,5.317553126083993,5.88521377478915,5.317553126083993,4.605139337956025,0,0,10.67522289378987,0.9060013331089821,te_sign_only_above_cutoff,helm10_circle_fields_TE_m4_p1_rank10.csv
TM,Ez,TM_m0_p1,1,1,0,1,1,356554069.642619,1,1,7.47282071890916,2.4601839319903,2.404825557695773,2.4601839319903,2.404825557695773,7.056241529152383,355.729139400619,0,2.301970474214752,0.9999979340202556,tm_sign_only_above_cutoff,helm10_circle_fields_TM_m0_p1_rank01.csv
