section,index,value
nrows,0,121
ncols,0,121
nnz,0,601
row_ptr,0,0
row_ptr,1,16
row_ptr,2,21
row_ptr,3,26
row_ptr,4,31
row_ptr,5,36
row_ptr,6,41
row_ptr,7,46
row_ptr,8,51
row_ptr,9,56
row_ptr,10,61
row_ptr,11,66
row_ptr,12,71
row_ptr,13,76
row_ptr,14,81
row_ptr,15,86
row_ptr,16,91
row_ptr,17,96
row_ptr,18,101
row_ptr,19,106
row_ptr,20,111
row_ptr,21,116
row_ptr,22,121
row_ptr,23,126
row_ptr,24,131
row_ptr,25,136
row_ptr,26,141
row_ptr,27,146
row_ptr,28,151
row_ptr,29,156
row_ptr,30,161
row_ptr,31,166
row_ptr,32,171
row_ptr,33,176
row_ptr,34,181
row_ptr,35,186
row_ptr,36,191
row_ptr,37,196
row_ptr,38,201
row_ptr,39,206
row_ptr,40,211
row_ptr,41,216
row_ptr,42,221
row_ptr,43,226
row_ptr,44,231
row_ptr,45,236
row_ptr,46,241
row_ptr,47,246
row_ptr,48,251
row_ptr,49,256
row_ptr,50,261
row_ptr,51,266
row_ptr,52,271
row_ptr,53,276
row_ptr,54,281
row_ptr,55,286
row_ptr,56,291
row_ptr,57,296
row_ptr,58,301
row_ptr,59,306
row_ptr,60,311
row_ptr,61,316
row_ptr,62,321
row_ptr,63,326
row_ptr,64,331
row_ptr,65,336
row_ptr,66,341
row_ptr,67,346
row_ptr,68,351
row_ptr,69,356
row_ptr,70,361
row_ptr,71,366
row_ptr,72,371
row_ptr,73,376
row_ptr,74,381
row_ptr,75,386
row_ptr,76,391
row_ptr,77,396
row_ptr,78,401
row_ptr,79,406
row_ptr,80,411
row_ptr,81,416
row_ptr,82,421
row_ptr,83,426
row_ptr,84,431
row_ptr,85,436
row_ptr,86,441
row_ptr,87,446
row_ptr,88,451
row_ptr,89,456
row_ptr,90,461
row_ptr,91,466
row_ptr,92,471
row_ptr,93,476
row_ptr,94,481
row_ptr,95,486
row_ptr,96,491
row_ptr,97,496
row_ptr,98,501
row_ptr,99,506
row_ptr,100,511
row_ptr,101,516
row_ptr,102,521
row_ptr,103,526
row_ptr,104,531
row_ptr,105,536
row_ptr,106,541
row_ptr,107,545
row_ptr,108,549
row_ptr,109,553
row_ptr,110,557
row_ptr,111,561
row_ptr,112,565
row_ptr,113,569
row_ptr,114,573
row_ptr,115,577
row_ptr,116,581
row_ptr,117,585
row_ptr,118,589
row_ptr,119,593
row_ptr,120,597
row_ptr,121,601
col_idx,0,0
col_idx,1,1
col_idx,2,2
col_idx,3,3
col_idx,4,4
col_idx,5,5
col_idx,6,6
col_idx,7,7
col_idx,8,8
col_idx,9,9
