ordered_rank,solver_index,lambda
1,0,-9.810913433491952e-13
2,1,3.525248217934475
3,2,3.52524821793506
4,3,9.943291078904378
5,4,9.943291078905457
6,5,15.53295928351499
7,6,19.91634365983949
8,7,19.91634365984053
9,8,31.46320563813963
10,9,31.46320563814031
11,10,34.63574117496796
12,11,34.63574117496854
13,12,53.4422418434387
14,13,53.44224184343882
15,14,54.04425058621121
16,15,55.21817198817475
17,16,55.21817198817598
18,17,80.2858414533825
19,18,80.28584145338287
20,19,84.28980308213256
21,20,84.28980308213271
22,21,85.12313037435726
23,22,85.12313037435787
24,23,100.5659748301658
25,24,100.5659748301664
26,25,120.6969927339578
27,26,125.8022857785608
28,27,125.8022857785611
29,28,127.2305089027115
30,29,127.2305089027116
31,30,172.4393409787173
32,31,172.4393409787176
33,32,181.0240122974147
34,33,181.0240122974154
35,34,184.4902781822889
36,35,184.490278182289
37,36,224.0939680036038
38,37,237.0177402177292
39,38,237.0177402177297
40,39,251.4710923577503
41,40,251.4710923577506
42,41,254.6258947372399
43,42,254.6258947372401
44,43,303.7981659986564
45,44,303.7981659986569
46,45,304.4570843336552
47,46,304.4570843336558
48,47,322.2600625548275
49,48,322.260062554828
50,49,347.0605225853844
51,50,347.0605225853853
52,51,374.0100504074781
53,52,397.7630009695836
54,53,397.7630009695842
55,54,430.0744887844321
56,55,430.0744887844323
57,56,446.5068109014128
58,57,446.5068109014133
59,58,484.9559487479933
60,59,484.9559487479935
61,60,517.3999220829428
62,61,517.399922082943
63,62,517.7795689664177
64,63,517.7795689664182
65,64,553.6338609316354
66,65,553.6338609316358
67,66,569.8646583767247
68,67,609.2992025393987
69,68,609.2992025393992
70,69,657.5413517987973
71,70,657.5413517987979
72,71,666.2119526078659
73,72,666.2119526078666
74,73,690.3790963105409
75,74,690.379096310542
76,75,727.6690576344325
77,76,727.6690576344333
78,77,756.1320108452064
79,78,756.1320108452068
80,79,764.9203705810244
81,80,794.1096648251378
82,81,794.1096648251381
83,82,816.5090478099048
84,83,816.509047809906
85,84,821.1109187772296
86,85,821.1109187772307
87,86,874.9961790343841
88,87,874.9961790343842
89,88,878.6338772570425
90,89,878.6338772570425
91,90,889.1384101699645
92,91,902.5060659119858
93,92,902.5060659119877
94,93,929.2503928615386
95,94,929.2503928615398
96,95,985.1974336240014
97,96,985.1974336240031
98,97,988.2911101804499
99,98,988.2911101804517
100,99,1012.983629634052
101,100,1012.983629634052
102,101,1025.524558034454
103,102,1025.524558034454
104,103,1070.823125721201
105,104,1070.823125721203
106,105,1273.298845289619
107,106,1273.29884528962
108,107,1474.812696931798
109,108,1474.812696931801
110,109,1534.621798755472
111,110,1534.621798755472
112,111,1597.01570338907
113,112,1597.015703389072
114,113,2390.118420456349
115,114,2390.118420456353
116,115,3421.190141432254
117,116,3421.190141432255
118,117,4387.041191475494
119,118,4387.0411914755
120,119,4977.290821799809
121,120,4977.29082179981
