ordered_rank,solver_index,lambda
1,0,6.052504979223252
2,1,16.00950413239545
3,2,16.00950413239605
4,3,30.85379585526325
5,4,30.85379585526412
6,5,32.69557295989318
7,6,52.54421876301252
8,7,52.54421876301297
9,8,55.84265603024912
10,9,55.84265603024938
11,10,83.65562568921879
12,11,83.65562568921921
13,12,84.36553440590883
14,13,87.11351005870036
15,14,87.11351005870111
16,15,125.0613736157128
17,16,125.0613736157131
18,17,126.2702392468599
19,18,126.2702392468603
20,19,130.4073817508416
21,20,130.4073817508417
22,21,168.0020026809437
23,22,177.4051934070196
24,23,177.40519340702
25,24,177.4128593173422
26,25,177.4128593173428
27,26,189.5321894544024
28,27,189.5321894544032
29,28,218.7081582212621
30,29,218.7081582212632
31,30,232.8420282390736
32,31,232.8420282390742
33,32,247.7171949216255
34,33,247.7171949216259
35,34,266.2938034200844
36,35,266.2938034200848
37,36,293.2575328864038
38,37,311.857017187836
39,38,311.8570171878364
40,39,339.3430152930112
41,40,339.3430152930114
42,41,352.9997045333524
43,42,352.9997045333532
44,43,388.7993709205846
45,44,388.7993709205851
46,45,414.7593895687094
47,46,414.7593895687099
48,47,419.1354550591861
49,48,419.1354550591862
50,49,449.9589138833238
51,50,449.958913883324
52,51,467.0155707651506
53,52,498.6877561805341
54,53,498.6877561805342
55,54,540.8223813767122
56,55,540.8223813767127
57,56,561.224385831746
58,57,561.2243858317468
59,58,587.8826449292397
60,59,587.8826449292401
61,60,633.6112248919068
62,61,633.6112248919075
63,62,635.1790407749027
64,63,635.1790407749032
65,64,672.0149855681228
66,65,676.3258088940463
67,66,676.325808894047
68,67,722.5683559560928
69,68,722.5683559560931
70,69,772.0927008313928
71,70,772.0927008313936
72,71,784.2231373828248
73,72,784.2231373828249
74,73,787.3349381856939
75,74,787.3349381856942
76,75,829.1649760376022
77,76,829.1649760376039
78,77,872.3483656601269
79,78,872.3483656601272
80,79,886.2404082921549
81,80,920.7646390896296
82,81,920.7646390896308
83,82,981.5686273202164
84,83,981.5686273202172
85,84,997.3645515115975
86,85,997.3645515115984
87,86,1024.046075221645
88,87,1024.046075221645
89,88,1055.200496388944
90,89,1055.200496388945
91,90,1272.088176333109
92,91,1272.08817633311
93,92,1474.79172415284
94,93,1474.791724152842
95,94,1534.544357133938
96,95,1534.54435713394
97,96,1597.015625198631
98,97,1597.015625198633
99,98,2390.113481054997
100,99,2390.113481054998
101,100,3421.189910598084
102,101,3421.189910598087
103,102,4387.041190394423
104,103,4387.041190394426
105,104,4977.290821799802
106,105,4977.290821799807
