ordered_rank,solver_index,dof_index,component_real,component_imag
1,0,0,-1.117908471911358,0
1,0,1,-1.084692380879507,0
1,0,2,-1.084692380879513,0
1,0,3,-1.084692380879522,0
1,0,4,-1.084692380879531,0
1,0,5,-1.084692380879531,0
1,0,6,-1.084692380879535,0
1,0,7,-1.08469238087954,0
1,0,8,-1.084692380879542,0
1,0,9,-1.084692380879538,0
1,0,10,-1.084692380879535,0
1,0,11,-1.084692380879528,0
1,0,12,-1.084692380879523,0
1,0,13,-1.084692380879512,0
1,0,14,-1.08469238087951,0
1,0,15,-1.084692380879507,0
1,0,16,-1.009162048679716,0
1,0,17,-1.009162048679726,0
1,0,18,-1.009162048679739,0
1,0,19,-1.009162048679752,0
1,0,20,-1.009162048679758,0
1,0,21,-1.009162048679765,0
1,0,22,-1.009162048679775,0
1,0,23,-1.009162048679782,0
1,0,24,-1.009162048679774,0
1,0,25,-1.009162048679764,0
1,0,26,-1.009162048679756,0
1,0,27,-1.00916204867974,0
1,0,28,-1.009162048679728,0
1,0,29,-1.009162048679721,0
1,0,30,-1.009162048679708,0
1,0,31,-0.8918799933189175,0
1,0,32,-0.8918799933189295,0
1,0,33,-0.8918799933189493,0
1,0,34,-0.8918799933189651,0
1,0,35,-0.8918799933189722,0
1,0,36,-0.8918799933189792,0
1,0,37,-0.891879993318991,0
1,0,38,-0.8918799933189973,0
1,0,39,-0.891879993318991,0
1,0,40,-0.8918799933189782,0
1,0,41,-0.8918799933189644,0
1,0,42,-0.8918799933189445,0
1,0,43,-0.891879993318937,0
1,0,44,-0.8918799933189211,0
1,0,45,-0.8918799933189133,0
1,0,46,-0.7399637966022304,0
1,0,47,-0.7399637966022413,0
1,0,48,-0.7399637966022544,0
1,0,49,-0.7399637966022704,0
1,0,50,-0.7399637966022814,0
1,0,51,-0.7399637966022902,0
1,0,52,-0.7399637966023069,0
1,0,53,-0.7399637966023136,0
1,0,54,-0.7399637966023089,0
1,0,55,-0.7399637966022911,0
1,0,56,-0.7399637966022791,0
1,0,57,-0.7399637966022587,0
1,0,58,-0.7399637966022453,0
1,0,59,-0.7399637966022272,0
1,0,60,-0.739963796602215,0
1,0,61,-0.5631765407699456,0
1,0,62,-0.5631765407699632,0
1,0,63,-0.5631765407699719,0
1,0,64,-0.5631765407699888,0
1,0,65,-0.5631765407700011,0
1,0,66,-0.5631765407700114,0
1,0,67,-0.5631765407700148,0
1,0,68,-0.5631765407700275,0
1,0,69,-0.5631765407700222,0
