ordered_rank,solver_index,lambda
1,0,1.096954201800873
2,1,1.322485741527255
3,2,1.322485741527348
4,3,1.999178398865212
5,4,1.999178398865295
6,5,3.148082031653944
7,6,3.148082031653987
8,7,4.638374883085825
9,8,4.844761242216694
10,9,4.844761242216719
11,10,4.992676645577801
12,11,4.992676645577824
13,12,6.094159713312266
14,13,6.094159713312284
15,14,7.208960806075514
16,15,7.208960806075599
17,16,8.05057207793382
18,17,8.050572077933827
19,18,10.28709281507918
20,19,10.28709281507934
21,20,10.94333391440414
22,21,11.02438929033124
23,22,11.02438929033127
24,23,11.45699011176668
25,24,11.45699011176672
26,25,13.05350472189607
27,26,13.05350472189613
28,27,13.71922313895109
29,28,13.71922313895112
30,29,15.19569977771893
31,30,15.19569977771897
32,31,15.89420329716113
33,32,15.89420329716115
34,33,16.26027877519939
35,34,16.26027877519939
36,35,20.22118094727719
37,36,20.22118094727727
38,37,20.58691211979405
39,38,20.58691211979416
40,39,20.61566390861682
41,40,21.33523381805659
42,41,21.33523381805665
43,42,23.5579713486492
44,43,23.55797134864931
45,44,26.26959376055384
46,45,26.26959376055389
47,46,26.53808115117308
48,47,26.5380811511731
49,48,27.46682186360017
50,49,27.46682186360019
51,50,30.92453446420538
52,51,30.92453446420541
53,52,33.31900761551697
54,53,33.31900761551697
55,54,33.99004452767288
56,55,33.99004452767289
57,56,34.49812403628454
58,57,35.47072746071112
59,58,35.47072746071118
60,59,38.45157266867988
61,60,38.45157266867988
62,61,41.30094384764037
63,62,41.3009438476404
64,63,42.35503131562601
65,64,42.35503131562603
66,65,43.60758718840133
67,66,43.60758718840141
68,67,48.42022276986293
69,68,48.42022276986294
70,69,51.11816938187072
71,70,51.1181693818708
72,71,51.1431388828004
73,72,51.14313888280043
74,73,53.470352925756
75,74,54.73850785539835
76,75,54.7385078553984
77,76,58.58756424585774
78,77,58.58756424585778
79,78,60.93615866458579
80,79,60.93615866458588
81,80,61.34616239827585
82,81,61.34616239827587
83,82,65.10258923741166
84,83,65.10258923741166
85,84,68.43184380308668
86,85,68.43184380308669
87,86,72.30139126102965
88,87,72.30139126102968
89,88,74.23147908160591
90,89,74.23147908160591
91,90,77.73297749912112
92,91,79.32418196868763
93,92,79.32418196868768
94,93,83.11208799543166
95,94,83.11208799543169
96,95,84.0949699272637
97,96,84.09496992726378
98,97,85.40951871143874
99,98,85.40951871143886
100,99,89.96145092837779
101,100,89.96145092837779
102,101,91.94227127689855
103,102,91.94227127689862
104,103,97.04209717568719
105,104,97.04209717568727
106,105,102.3499757285259
107,106,102.349975728526
108,107,105.0937813506585
109,108,106.4469825210405
110,109,106.4469825210405
111,110,106.9898649337288
112,111,106.9898649337289
113,112,111.3107873912169
114,113,111.310787391217
115,114,112.5950466011851
116,115,112.5950466011852
117,116,113.8635660486386
118,117,113.8635660486388
119,118,121.4987832066365
120,119,121.4987832066366
121,120,123.7685651477681
122,121,123.7685651477681
123,122,128.7102150504438
124,123,129.2205352335494
125,124,129.2205352335495
126,125,130.3173653520174
127,126,130.3173653520175
128,127,130.7670519155975
129,128,130.7670519155976
130,129,132.4745473521188
131,130,132.4745473521188
132,131,136.7895473725272
133,132,136.7895473725275
134,133,142.8583866072462
135,134,142.8583866072464
136,135,144.8145717878798
137,136,144.8145717878798
138,137,146.1283580381047
139,138,146.1283580381049
140,139,148.2329846423331
141,140,148.2329846423332
142,141,148.8093534875721
143,142,148.8093534875722
144,143,157.0573980941068
145,144,157.0573980941071
146,145,162.93463119755
147,146,162.9346311975502
148,147,166.2704511676532
149,148,166.2704511676534
150,149,167.2482071309256
151,150,167.2482071309257
152,151,169.9185312148689
153,152,169.918531214869
