family,longitudinal_label,mode_label,positive_rank,eig_index,m,n,ar_m,b_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_n0,1,2,1,0,1,0.5,941476051.720603,1,1,19.73187896216222,3.154504676283825,3.141592653589793,3.154504676283825,3.141592653589793,19.47809404497071,0,0,0.4110024474139855,0.9999995472974864,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n0_rank01.csv
TE,Hz,TE_m0_n1,2,3,0,1,1,0.5,941476051.720603,1,1,19.73187896216222,6.289498108787841,6.283185307179586,6.289498108787841,6.283185307179586,18.70265384690029,0,0,0.1004713580712212,0.9999970964652992,te_sign_only_above_cutoff,helm10_rect_fields_TE_m0_n1_rank02.csv
TE,Hz,TE_m2_n0,3,4,2,0,1,0.5,941476051.720603,1,1,19.73187896216222,6.386721723939523,6.283185307179586,6.386721723939523,6.283185307179586,18.66967683165348,0,0,1.647833251736651,0.9999705090757197,te_sign_only_above_cutoff,helm10_rect_fields_TE_m2_n0_rank03.csv
TE,Hz,TE_m1_n1,4,5,1,1,1,0.5,941476051.720603,1,1,19.73187896216222,7.08521518451133,7.024814731040727,7.08521518451133,7.024814731040727,18.41593802027445,0,0,0.8598156077157429,0.9999499501648861,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n1_rank04.csv
TE,Hz,TE_m2_n1,5,6,2,1,1,0.5,941476051.720603,1,1,19.73187896216222,9.119661258337251,8.885765876316732,9.119661258337251,8.885765876316732,17.49796633642329,0,0,2.632247858835906,0.9996300245846479,te_sign_only_above_cutoff,helm10_rect_fields_TE_m2_n1_rank05.csv
TE,Hz,TE_m3_n0,6,7,3,0,1,0.5,941476051.720603,1,1,19.73187896216222,9.775769691490874,9.424777960769379,9.775769691490874,9.424777960769379,17.14005175944193,0,0,3.724137928580354,0.999577050548198,te_sign_only_above_cutoff,helm10_rect_fields_TE_m3_n0_rank06.csv
TE,Hz,TE_m3_n1,7,8,3,1,1,0.5,941476051.720603,1,1,19.73187896216222,11.90190072382534,11.32717339913898,11.90190072382534,11.32717339913898,15.7382275538774,0,0,5.073881227332951,0.9992432343602549,te_sign_only_above_cutoff,helm10_rect_fields_TE_m3_n1_rank07.csv
TE,Hz,TE_m0_n2,8,9,0,2,1,0.5,941476051.720603,1,1,19.73187896216222,12.61691571222976,12.56637061435917,12.61691571222976,12.56637061435917,15.17104100870832,0,0,0.4022251087583832,0.9998441677517583,te_sign_only_above_cutoff,helm10_rect_fields_TE_m0_n2_rank08.csv
TE,Hz,TE_m1_n2,9,10,1,2,1,0.5,941476051.720603,1,1,19.73187896216222,13.10978644431568,12.95311834341519,13.10978644431568,12.95311834341519,14.74722166246431,0,0,1.209501038644744,0.9997485775168954,te_sign_only_above_cutoff,helm10_rect_fields_TE_m1_n2_rank09.csv
TE,Hz,TE_m4_n0,10,11,4,0,1,0.5,941476051.720603,1,1,19.73187896216222,13.39778513389663,12.56637061435917,13.39778513389663,12.56637061435917,14.48607610374038,0,0,6.616186527138017,0.9995288067027123,te_sign_only_above_cutoff,helm10_rect_fields_TE_m4_n0_rank10.csv
TM,Ez,TM_m1_n1,1,1,1,1,1,0.5,941476051.720603,1,1,19.73187896216222,7.085581549018595,7.024814731040727,7.085581549018595,7.024814731040727,18.41579706365237,351.6030588868423,0,0.8650308983859285,0.999998216641162,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n1_rank01.csv
TM,Ez,TM_m2_n1,2,2,2,1,1,0.5,941476051.720603,1,1,19.73187896216222,9.120966168499198,8.885765876316732,9.120966168499198,8.885765876316732,17.49728617616209,334.0664170273453,0,2.646933257709906,0.9999741811219788,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m2_n1_rank02.csv
TM,Ez,TM_m3_n1,3,3,3,1,1,0.5,941476051.720603,1,1,19.73187896216222,11.90504469952408,11.32717339913898,11.90504469952408,11.32717339913898,15.73584945529645,300.4362387107984,0,5.101637275448009,0.9997271082527017,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m3_n1_rank03.csv
TM,Ez,TM_m1_n2,4,4,1,2,1,0.5,941476051.720603,1,1,19.73187896216222,13.11271702491489,12.95311834341519,13.11271702491489,12.95311834341519,14.74461595301577,281.5111424867046,0,1.232125556706839,0.9998840637777638,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n2_rank04.csv
TM,Ez,TM_m2_n2,5,5,2,2,1,0.5,941476051.720603,1,1,19.73187896216222,14.53879772603221,14.04962946208145,14.53879772603221,14.04962946208145,13.3405550131522,254.7041506626073,0,3.481716477085587,0.9992495922500343,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m2_n2_rank05.csv
TM,Ez,TM_m4_n1,6,6,4,1,1,0.5,941476051.720603,1,1,19.73187896216222,15.20648451554214,14.04962946208145,15.20648451554214,14.04962946208145,12.57417496522126,240.0720623424006,0,8.23406095216194,0.9974390713761891,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m4_n1_rank06.csv
TM,Ez,TM_m3_n2,7,7,3,2,1,0.5,941476051.720603,1,1,19.73187896216222,16.77443573110767,15.70796326794897,16.77443573110767,15.70796326794897,10.39063777062593,198.3829432584261,0,6.789374567323876,0.995410031078208,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m3_n2_rank07.csv
TM,Ez,TM_m5_n1,8,8,5,1,1,0.5,941476051.720603,1,1,19.73187896216222,18.93204935589452,16.91799419646405,18.93204935589452,16.91799419646405,5.560985035350641,106.1729417464301,0,11.90481055875651,0.9731604118613493,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m5_n1_rank08.csv
TM,Ez,TM_m1_n3,9,9,1,3,1,0.5,941476051.720603,1,1,19.73187896216222,19.44002266976841,19.10956207871615,19.44002266976841,19.10956207871615,3.381207768876424,64.5556089785193,0,1.729294421771803,0.9899579711657204,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m1_n3_rank09.csv
TM,Ez,TM_m4_n2,10,10,4,2,1,0.5,941476051.720603,1,1,19.73187896216222,19.73180944723407,17.77153175263346,19.73180944723407,17.77153175263346,0.05237666908231673,0.9999999999996795,0,11.03043745404851,0.9556982742211135,tm_sign_only_above_cutoff,helm10_rect_fields_TM_m4_n2_rank10.csv
