section,index,value
nrows,0,231
ncols,0,231
nnz,0,1491
row_ptr,0,0
row_ptr,1,4
row_ptr,2,9
row_ptr,3,14
row_ptr,4,19
row_ptr,5,24
row_ptr,6,29
row_ptr,7,34
row_ptr,8,39
row_ptr,9,44
row_ptr,10,49
row_ptr,11,52
row_ptr,12,57
row_ptr,13,64
row_ptr,14,71
row_ptr,15,78
row_ptr,16,85
row_ptr,17,92
row_ptr,18,99
row_ptr,19,106
row_ptr,20,113
row_ptr,21,120
row_ptr,22,125
row_ptr,23,130
row_ptr,24,137
row_ptr,25,144
row_ptr,26,151
row_ptr,27,158
row_ptr,28,165
row_ptr,29,172
row_ptr,30,179
row_ptr,31,186
row_ptr,32,193
row_ptr,33,198
row_ptr,34,203
row_ptr,35,210
row_ptr,36,217
row_ptr,37,224
row_ptr,38,231
row_ptr,39,238
row_ptr,40,245
row_ptr,41,252
row_ptr,42,259
row_ptr,43,266
row_ptr,44,271
row_ptr,45,276
row_ptr,46,283
row_ptr,47,290
row_ptr,48,297
row_ptr,49,304
row_ptr,50,311
row_ptr,51,318
row_ptr,52,325
row_ptr,53,332
row_ptr,54,339
row_ptr,55,344
row_ptr,56,349
row_ptr,57,356
row_ptr,58,363
row_ptr,59,370
row_ptr,60,377
row_ptr,61,384
row_ptr,62,391
row_ptr,63,398
row_ptr,64,405
row_ptr,65,412
row_ptr,66,417
row_ptr,67,422
row_ptr,68,429
row_ptr,69,436
row_ptr,70,443
row_ptr,71,450
row_ptr,72,457
row_ptr,73,464
row_ptr,74,471
row_ptr,75,478
row_ptr,76,485
row_ptr,77,490
row_ptr,78,495
row_ptr,79,502
row_ptr,80,509
row_ptr,81,516
row_ptr,82,523
row_ptr,83,530
row_ptr,84,537
row_ptr,85,544
row_ptr,86,551
row_ptr,87,558
row_ptr,88,563
row_ptr,89,568
row_ptr,90,575
row_ptr,91,582
row_ptr,92,589
row_ptr,93,596
row_ptr,94,603
row_ptr,95,610
row_ptr,96,617
row_ptr,97,624
row_ptr,98,631
row_ptr,99,636
row_ptr,100,641
row_ptr,101,648
row_ptr,102,655
row_ptr,103,662
row_ptr,104,669
row_ptr,105,676
row_ptr,106,683
row_ptr,107,690
row_ptr,108,697
row_ptr,109,704
row_ptr,110,709
row_ptr,111,714
row_ptr,112,721
row_ptr,113,728
row_ptr,114,735
row_ptr,115,742
row_ptr,116,749
row_ptr,117,756
row_ptr,118,763
row_ptr,119,770
row_ptr,120,777
row_ptr,121,782
row_ptr,122,787
row_ptr,123,794
row_ptr,124,801
row_ptr,125,808
row_ptr,126,815
row_ptr,127,822
row_ptr,128,829
row_ptr,129,836
row_ptr,130,843
row_ptr,131,850
row_ptr,132,855
row_ptr,133,860
row_ptr,134,867
row_ptr,135,874
row_ptr,136,881
row_ptr,137,888
row_ptr,138,895
row_ptr,139,902
row_ptr,140,909
row_ptr,141,916
row_ptr,142,923
row_ptr,143,928
row_ptr,144,933
row_ptr,145,940
row_ptr,146,947
row_ptr,147,954
row_ptr,148,961
row_ptr,149,968
row_ptr,150,975
row_ptr,151,982
row_ptr,152,989
row_ptr,153,996
row_ptr,154,1001
row_ptr,155,1006
row_ptr,156,1013
row_ptr,157,1020
row_ptr,158,1027
row_ptr,159,1034
row_ptr,160,1041
