ordered_rank,solver_index,lambda
1,0,-1.866812667895751e-12
2,1,9.950899752696522
3,2,39.55778646044583
4,3,40.79021437904103
5,4,50.20027421082991
6,5,83.16822146681736
7,6,95.56567306107158
8,7,141.6552408397941
9,8,159.1865620895102
10,9,171.8665006155632
11,10,179.5006464940617
12,11,211.2769269807661
13,12,231.0165272471989
14,13,281.2360839300499
15,14,299.8364654893954
16,15,357.733989246182
17,16,361.7427157909713
18,17,377.1631002454316
19,18,389.6461241105528
20,19,427.6997831548772
21,20,464.0615804254251
22,21,516.4564430919921
23,22,523.6588965779746
24,23,548.8259088407355
25,24,649.9205351395425
26,25,651.9912598768667
27,26,673.7720223684706
28,27,674.8671181548059
29,28,728.6577606512622
30,29,736.9322714127152
31,30,768.5702148307251
32,31,847.3545303323293
33,32,851.7572130946234
34,33,910.3953683282917
35,34,980.7958650965331
36,35,1021.670432551436
37,36,1023.770203864322
38,37,1036.767872051001
39,38,1068.415246658907
40,39,1106.100500344556
41,40,1115.470204619125
42,41,1144.002991080787
43,42,1200
44,43,1224.63827272297
45,44,1280.006294650251
46,45,1290.443064091367
47,46,1299.152452555074
48,47,1319.397386934615
49,48,1422.266409311801
50,49,1504.585437175276
51,50,1524.764377250898
52,51,1562.743887130834
53,52,1573.476988780925
54,53,1603.172074526452
55,54,1658.756379527643
56,55,1674.369771528213
57,56,1777.739834927386
58,57,1848.578321504591
59,58,1851.436750028675
60,59,1993.546845185911
61,60,2098.848227833663
62,61,2120.695739548706
63,62,2127.370267108535
64,63,2206.666441723666
65,64,2240.524137992583
66,65,2263.454436374674
67,66,2295.695302396235
68,67,2432.120076127434
69,68,2537.283309037704
70,69,2562.341360620415
71,70,2718.292549373449
72,71,2819.549152550991
73,72,2858.270183707229
74,73,2874.903391796507
75,74,2988.958921621138
76,75,3018.93929659854
77,76,3058.645593250159
78,77,3089.597746298341
79,78,3237.836337411767
80,79,3368.325015323548
81,80,3432.305860115228
82,81,3596.698987326892
83,82,3676.437723950131
84,83,3733.8788294956
85,84,3797.642747659692
86,85,3938.646672247829
87,86,3940.241050774858
88,87,4013.825397650729
89,88,4090.634213922437
90,89,4186.243519464289
91,90,4360.537495711035
92,91,4466.830300121443
93,92,4633.298002837048
94,93,4684.012934908075
95,94,4772.84727139733
96,95,4851.623625921901
97,96,5013.241824108984
98,97,5072.730559548907
99,98,5136.107360085881
100,99,5272.467459641805
101,100,5292.42492892575
102,101,5525.000176148087
103,102,5667.475248968633
104,103,5832.462935656491
105,104,5859.048766816247
106,105,5993.653032481163
107,106,6020.377731775934
108,107,6261.228957003886
109,108,6386.949022646083
110,109,6426.393032629716
111,110,6567.754523794291
112,111,6592.975132440145
113,112,6865.385323060718
114,113,7031.153174176269
115,114,7196.444773900099
116,115,7197.357821122449
117,116,7341.591635763361
118,117,7409.156896588186
119,118,7689.496660597252
120,119,7873.471770816321
121,120,7875.320700397609
122,121,8002.775427144462
123,122,8020.028530733011
124,123,8371.82489263804
125,124,8557.371832460825
126,125,8657.535878845389
127,126,8722.204444879397
128,127,8878.658493957979
129,128,9013.929118448948
130,129,9289.127803509364
131,130,9437.282016627514
132,131,9500.444895442584
133,132,9581.33820437025
134,133,9591.822993539494
135,134,10024.24745629656
136,135,10220.95458427649
137,136,10276.75780015628
138,137,10380.77861786424
139,138,10593.51377771853
140,139,10765.54177891023
141,140,10990.73837347676
142,141,11122.51213800074
143,142,11225.87656182964
144,143,11310.03759136769
145,144,11321.09852823345
146,145,11798.1907941363
147,146,11958.16671205176
148,147,12097.15744384254
149,148,12122.70006528169
150,149,12410.07057393748
151,150,12593.75355668118
152,151,12722.57623242438
153,152,13012.24189722333
154,153,13029.82224778372
155,154,13122.0717430345
156,155,13130.88566605727
157,156,13658.12226454447
158,157,13770.80167908705
159,158,13890.57441844485
160,159,14030.12644660095
161,160,14256.06508213395
162,161,14441.1753557135
163,162,14518.69115210486
164,163,14852.08951835907
165,164,14924.17618916828
166,165,14977.56133716167
167,166,14979.22652928652
168,167,15525.99536018865
169,168,15589.17445216091
170,169,15650.42856966841
171,170,15945.53759513678
172,171,16092.18202565576
173,172,16220.14383748449
174,173,16307.21048433141
175,174,16613.42581146055
176,175,16636.22578198688
177,176,16794.81892398219
178,177,16904.65274001754
179,178,17199.94903958351
180,179,17294.84634657212
181,180,17430.85991872535
182,181,17673.12958530847
183,182,17784.40691484784
184,183,17836.55927547195
185,184,17988.61583597558
186,185,18184.88242896971
187,186,18254.1834025082
188,187,18449.19839538996
189,188,18586.21556970073
190,189,18617.21779697101
191,190,18745.56748898619
192,191,18856.03200253817
193,192,19102.66832015062
194,193,19189.30332357139
195,194,19200.00000000001
196,195,19295.66677558702
197,196,19356.12361217533
198,197,19444.47094402206
199,198,19587.38070527985
200,199,19604.47654821629
201,200,19708.91043235004
202,201,19784.30652382652
203,202,19837.9303543882
204,203,20156.5239507986
205,204,20201.17654309102
206,205,20372.44392117981
207,206,20419.4505668753
208,207,20582.03379151422
209,208,20661.67236623006
210,209,20731.82128456157
211,210,20768.67808764821
212,211,20781.37070860837
213,212,20819.74165759164
214,213,21093.38073676357
215,214,21276.84229138154
216,215,21492.98074070537
217,216,21550.74106321394
218,217,21714.72213573421
219,218,21829.75972277223
220,219,21884.00087994522
221,220,21920.03556317771
222,221,22245.01744195504
223,222,22255.92600356508
224,223,22650.48496739995
225,224,22659.60332007261
226,225,22740.57696789002
227,226,22823.99756312201
228,227,23075.90520740253
229,228,23133.81583967146
230,229,24688.25538568345
231,230,24688.81554927093
