ordered_rank,solver_index,lambda
1,0,50.20546588779276
2,1,83.19202384690693
3,2,141.7300892976664
4,3,171.9433477754928
5,4,211.3766393184795
6,5,231.2371713214229
7,6,281.3816940970617
8,7,358.4224928140262
9,8,377.9144814011096
10,9,389.3443040619557
11,10,428.2134032591131
12,11,517.1166340400381
13,12,525.1691700055965
14,13,548.6891171428163
15,14,652.2899809950831
16,15,674.5106539196682
17,16,730.6104363392598
18,17,738.7134620202514
19,18,769.0385176910142
20,19,847.5534897128575
21,20,853.991590734446
22,21,982.3736713383638
23,22,1024.535512104877
24,23,1028.101118931422
25,24,1067.800467166499
26,25,1106.815448973175
27,26,1149.3514844985
28,27,1224.431207709078
29,28,1279.836282644956
30,29,1294.161856232578
31,30,1301.102498990766
32,31,1422.39121807154
33,32,1521.864023018686
34,33,1559.372179758951
35,34,1569.540539463779
36,35,1604.172323899754
37,36,1670.532555906007
38,37,1774.614362693337
39,38,1847.565925649925
40,39,1864.313687732966
41,40,1992.834157061681
42,41,2105.031622434859
43,42,2142.092222640854
44,43,2195.374304804201
45,44,2248.102396718337
46,45,2315.417148944232
47,46,2423.452130297939
48,47,2560.255678393772
49,48,2562.13830948678
50,49,2715.559617162146
51,50,2845.594070592438
52,51,2895.37130819494
53,52,2967.043005789693
54,53,3040.317888254389
55,54,3101.455436875029
56,55,3221.259191724405
57,56,3410.578285356254
58,57,3428.931098767718
59,58,3588.574673260386
60,59,3751.855059798331
61,60,3795.166365313341
62,61,3905.660333614971
63,62,3983.467399149122
64,63,4049.233475025353
65,64,4154.255478561799
66,65,4428.557592592972
67,66,4462.707887341207
68,67,4614.524544936004
69,68,4788.953345274296
70,69,4856.494565123522
71,70,5024.829063478847
72,71,5085.881879140829
73,72,5173.285207535417
74,73,5226.667808880826
75,74,5632.433714571183
76,75,5665.21339468901
77,76,5795.939882699849
78,77,5926.105708554231
79,78,6094.532690047294
80,79,6327.317692602705
81,80,6356.440148036067
82,81,6451.627252264059
83,82,6481.68115005136
84,83,7023.640700727384
85,84,7025.146280881507
86,85,7138.25984355404
87,86,7161.974805172605
88,87,7521.745612882853
89,88,7779.953537844031
90,89,7788.045309963956
91,90,7853.175482727423
92,91,7983.04513887197
93,92,8420.48792727121
94,93,8560.065176292681
95,94,8612.47730902203
96,95,8675.528569051354
97,96,9135.232909825767
98,97,9296.857899574155
99,98,9351.317642068228
100,99,9483.996879820812
101,100,9673.988459999864
102,101,9851.904635446581
103,102,10188.56159062969
104,103,10277.85651118611
105,104,10409.10674740283
106,105,10903.6130351602
107,106,10922.12817201796
108,107,10986.39642930061
109,108,11257.01948803687
110,109,11421.07029306657
111,110,11519.87953056515
112,111,11917.34388345128
113,112,12055.04609413407
114,113,12230.65140642634
115,114,12634.31828401883
116,115,12648.08339914461
117,116,12788.64118297683
118,117,13102.41194767047
119,118,13160.94846827604
120,119,13432.02701679819
121,120,13707.88254715496
122,121,13896.31379139555
123,122,14004.84261338696
124,123,14400.71130829755
125,124,14416.3780747179
126,125,14669.16258306134
127,126,14945.73972651845
128,127,14980.23136293778
129,128,15306.65297544795
130,129,15475.31900127254
131,130,15711.07164706841
132,131,15747.42812460701
133,132,16153.7760671134
134,133,16205.98864653933
135,134,16449.25752681882
136,135,16686.10536904958
137,136,16736.47819283121
138,137,17074.3697700984
139,138,17141.62457574358
140,139,17372.08835613718
141,140,17479.95952428034
142,141,17692.2426210539
143,142,17886.51814294895
144,143,18065.20872253826
145,144,18187.62579525818
146,145,18279.87454778074
147,146,18597.77980281754
148,147,18634.07992993575
149,148,18869.27364746408
150,149,18932.2961918601
151,150,19020.21666955992
152,151,19148.90712386383
153,152,19167.51656022031
154,153,19584.97629506343
155,154,19589.18287666227
156,155,19673.10432438814
157,156,19754.03661900336
158,157,19924.59397775903
159,158,20181.39413702125
160,159,20420.61295081601
161,160,20422.88210787399
162,161,20572.60025757316
163,162,20575.36931348802
164,163,20801.50969870983
165,164,20802.58903148487
166,165,21557.46491671275
167,166,21557.82038333155
168,167,21655.91145499694
169,168,21656.17124323577
170,169,22475.7784262242
171,170,22475.9899812212
