ordered_rank,solver_index,lambda
1,0,-1.478885407761477e-12
2,1,-9.573177464058553e-13
3,2,-8.534443709157631e-13
4,3,-8.120320469007373e-13
5,4,-7.605522228126159e-13
6,5,-6.813508812697327e-13
7,6,-6.445947574136558e-13
8,7,-6.34532760405604e-13
9,8,-5.508941685586738e-13
10,9,-5.175772067367861e-13
11,10,-4.72940808429154e-13
12,11,-4.647049063002781e-13
13,12,-4.551588453120589e-13
14,13,-4.475021861468644e-13
15,14,-4.095047209461272e-13
16,15,-4.026743178050141e-13
17,16,-3.937189453001121e-13
18,17,-3.588011317936759e-13
19,18,-3.550361121761204e-13
20,19,-3.494563356629939e-13
21,20,-3.438559835277165e-13
22,21,-3.174741369295868e-13
23,22,-3.056034715146413e-13
24,23,-2.950423012854598e-13
25,24,-2.908739757145864e-13
26,25,-2.819551898287858e-13
27,26,-2.715091325557075e-13
28,27,-2.694345234870591e-13
29,28,-2.526552464855805e-13
30,29,-2.406965258213706e-13
31,30,-2.380179923933661e-13
32,31,-2.17679819991728e-13
33,32,-2.069455438009823e-13
34,33,-2.019051092145761e-13
35,34,-1.878313167348272e-13
36,35,-1.780923598771465e-13
37,36,-1.769469708476312e-13
38,37,-1.678561120963289e-13
39,38,-1.545260542813983e-13
40,39,-1.516180638302235e-13
41,40,-1.404274928645467e-13
42,41,-1.322302228785609e-13
43,42,-1.28950758766833e-13
44,43,-1.216202459833429e-13
45,44,-1.180075540341887e-13
46,45,-1.060883336021138e-13
47,46,-1.029544153863967e-13
48,47,-9.631886727872749e-14
49,48,-9.05943243427751e-14
50,49,-7.755778522397402e-14
51,50,-7.354850282356381e-14
52,51,-6.373429326870996e-14
53,52,-5.405078621560988e-14
54,53,-5.307920963705971e-14
55,54,-3.68553132193891e-14
56,55,-3.237251933266067e-14
57,56,-2.806434954859239e-14
58,57,-2.31165953024792e-14
59,58,-1.174109798195493e-14
60,59,-4.920379728588881e-15
61,60,7.635304800189455e-15
62,61,7.788246677342926e-15
63,62,1.687553181383571e-14
64,63,1.827448924690908e-14
65,64,2.473325086545063e-14
66,65,3.486530689029284e-14
67,66,4.185526887538959e-14
68,67,4.512232185037847e-14
69,68,5.111545820330633e-14
70,69,6.178924536515831e-14
71,70,6.422886378551584e-14
72,71,6.972545150173836e-14
73,72,7.906394817341093e-14
74,73,8.499731307948444e-14
75,74,8.994511004513436e-14
76,75,9.88670789981949e-14
77,76,1.130066141197532e-13
78,77,1.177282970414142e-13
79,78,1.222827885249781e-13
80,79,1.331396197705146e-13
81,80,1.437731337883272e-13
82,81,1.470294882003106e-13
83,82,1.569623284610046e-13
84,83,1.577893067721094e-13
85,84,1.654659025153223e-13
86,85,1.753644859829169e-13
87,86,1.807508832272421e-13
88,87,1.852170330290003e-13
89,88,1.976882108313193e-13
90,89,2.084372653420765e-13
91,90,2.117056032717197e-13
92,91,2.207275508305416e-13
93,92,2.264240428437423e-13
94,93,2.335228382495761e-13
95,94,2.379470327369582e-13
96,95,2.528175382930308e-13
97,96,2.631983219891636e-13
98,97,2.673023361881432e-13
99,98,2.865970221857865e-13
100,99,2.892618207692183e-13
101,100,3.04140897004515e-13
102,101,3.110765727507849e-13
103,102,3.232692520204211e-13
104,103,3.297274271845459e-13
105,104,3.505123747445903e-13
106,105,3.665221428179079e-13
107,106,3.816603156166392e-13
108,107,3.941913136564652e-13
109,108,4.18193821501931e-13
110,109,4.480148375145392e-13
111,110,4.792287431393918e-13
112,111,4.994469784096799e-13
113,112,5.386918856989713e-13
114,113,5.417120490225968e-13
115,114,6.039670503151151e-13
116,115,6.213135132144856e-13
117,116,6.624566260743224e-13
118,117,7.585204367119224e-13
119,118,7.82419027582757e-13
120,119,9.324016564585587e-13
121,120,9.583419127712212e-13
122,121,3.525248217934835
123,122,3.525248217935078
124,123,5.922161698037249
125,124,9.943291078904846
126,125,9.943291078905373
127,126,15.01203786197564
128,127,15.01203786197664
129,128,15.53295928351375
130,129,19.91634365984015
131,130,19.91634365984093
132,131,27.17092791722882
133,132,27.17092791722979
134,133,29.57636884480034
135,134,31.46320563813947
136,135,31.46320563814027
137,136,34.6357411749683
138,137,34.63574117496849
139,138,42.50591577241499
140,139,42.5059157724159
141,140,46.60645806980742
142,141,46.60645806980843
143,142,53.44224184343881
144,143,53.44224184343886
145,144,54.0442505862116
146,145,55.21817198817507
147,146,55.21817198817612
148,147,61.11997497484612
149,148,61.11997497484712
150,149,65.90973418684148
151,150,66.35739556335935
152,151,66.35739556335949
153,152,80.28584145338229
154,153,80.28584145338277
155,154,82.80360821859205
156,155,82.80360821859247
157,156,84.28980308213293
158,157,84.28980308213336
159,158,85.12313037435797
160,159,85.12313037435827
161,160,86.6279043421613
162,161,86.62790434216164
163,162,88.70357409523187
164,163,88.70357409523231
165,164,100.5659748301661
