node_id,x_m,y_m,Hz
0,0,0,1
1,0.1,0,0.9391356023807786
2,0.2,0,0.7931866823406438
3,0.3,0,0.5704910742621897
4,0.4,0,0.292809412718455
5,0.5,0,-0.01208053737377539
6,0.6,0,-0.3140691288295888
7,0.7,0,-0.583913780662857
8,0.8,0,-0.7958288946595651
9,0.9,0,-0.9290374614239503
10,1,0,-0.9646305489653193
11,0,0.025,0.9834681503299987
12,0.1,0.025,0.9276090603397135
13,0.2,0.025,0.7838655506527836
14,0.3,0.025,0.5640820227467023
15,0.4,0.025,0.289904252828064
16,0.5,0.025,-0.01121008676165094
17,0.6,0.025,-0.3095153780321286
18,0.7,0.025,-0.5761325894650222
19,0.8,0.025,-0.7856150602871664
20,0.9,0.025,-0.9175983147975157
21,1,0.025,-0.9568799602778675
22,0,0.05,0.9438875216063971
23,0.1,0.05,0.8930230488920048
24,0.2,0.05,0.7551744365676447
25,0.3,0.05,0.5436976566519675
26,0.4,0.05,0.2797273500861161
27,0.5,0.05,-0.01021757779724072
28,0.6,0.05,-0.2974712679691049
29,0.7,0.05,-0.554246918802775
30,0.8,0.05,-0.7561199079259934
31,0.9,0.05,-0.883764652795998
32,1,0.05,-0.92443288117031
33,0,0.075,0.8819369259145815
34,0.1,0.075,0.836387619066387
35,0.2,0.075,0.7078233201217379
36,0.3,0.075,0.509815357784849
37,0.4,0.075,0.2624955873532064
38,0.5,0.075,-0.009163746338472166
39,0.6,0.075,-0.2782669528617544
40,0.7,0.075,-0.5188197277215861
41,0.8,0.075,-0.7080653138329336
42,0.9,0.075,-0.828219789135645
43,1,0.075,-0.868375224080483
44,0,0.1,0.7989441200878833
45,0.1,0.1,0.7591942191016174
46,0.2,0.1,0.642986879144435
47,0.3,0.1,0.4632491935441392
48,0.4,0.1,0.2386025477632296
49,0.5,0.1,-0.008108199769785494
50,0.6,0.1,-0.252406011401985
51,0.7,0.1,-0.4707434315602071
52,0.8,0.1,-0.642626018178951
53,0.9,0.1,-0.7522396358797141
54,1,0.1,-0.790278703920031
55,0,0.125,0.6968197006238549
56,0.1,0.125,0.6634020459522788
57,0.2,0.125,0.5622711223975327
58,0.3,0.125,0.4051292617781646
59,0.4,0.125,0.2086092771043762
60,0.5,0.125,-0.007107294905762959
