section,index,value
nrows,0,231
ncols,0,231
nnz,0,1091
row_ptr,0,0
row_ptr,1,3
row_ptr,2,7
row_ptr,3,11
row_ptr,4,15
row_ptr,5,19
row_ptr,6,23
row_ptr,7,27
row_ptr,8,31
row_ptr,9,35
row_ptr,10,39
row_ptr,11,42
row_ptr,12,46
row_ptr,13,51
row_ptr,14,56
row_ptr,15,61
row_ptr,16,66
row_ptr,17,71
row_ptr,18,76
row_ptr,19,81
row_ptr,20,86
row_ptr,21,91
row_ptr,22,95
row_ptr,23,99
row_ptr,24,104
row_ptr,25,109
row_ptr,26,114
row_ptr,27,119
row_ptr,28,124
row_ptr,29,129
row_ptr,30,134
row_ptr,31,139
row_ptr,32,144
row_ptr,33,148
row_ptr,34,152
row_ptr,35,157
row_ptr,36,162
row_ptr,37,167
row_ptr,38,172
row_ptr,39,177
row_ptr,40,182
row_ptr,41,187
row_ptr,42,192
row_ptr,43,197
row_ptr,44,201
row_ptr,45,205
row_ptr,46,210
row_ptr,47,215
row_ptr,48,220
row_ptr,49,225
row_ptr,50,230
row_ptr,51,235
row_ptr,52,240
row_ptr,53,245
row_ptr,54,250
row_ptr,55,254
row_ptr,56,258
row_ptr,57,263
row_ptr,58,268
row_ptr,59,273
row_ptr,60,278
row_ptr,61,283
row_ptr,62,288
row_ptr,63,293
row_ptr,64,298
row_ptr,65,303
row_ptr,66,307
row_ptr,67,311
row_ptr,68,316
row_ptr,69,321
row_ptr,70,326
row_ptr,71,331
row_ptr,72,336
row_ptr,73,341
row_ptr,74,346
row_ptr,75,351
row_ptr,76,356
row_ptr,77,360
row_ptr,78,364
row_ptr,79,369
row_ptr,80,374
row_ptr,81,379
row_ptr,82,384
row_ptr,83,389
row_ptr,84,394
row_ptr,85,399
row_ptr,86,404
row_ptr,87,409
row_ptr,88,413
row_ptr,89,417
row_ptr,90,422
row_ptr,91,427
row_ptr,92,432
row_ptr,93,437
row_ptr,94,442
row_ptr,95,447
row_ptr,96,452
row_ptr,97,457
row_ptr,98,462
row_ptr,99,466
row_ptr,100,470
row_ptr,101,475
row_ptr,102,480
row_ptr,103,485
row_ptr,104,490
row_ptr,105,495
row_ptr,106,500
row_ptr,107,505
row_ptr,108,510
row_ptr,109,515
row_ptr,110,519
row_ptr,111,523
row_ptr,112,528
row_ptr,113,533
row_ptr,114,538
row_ptr,115,543
row_ptr,116,548
row_ptr,117,553
row_ptr,118,558
row_ptr,119,563
row_ptr,120,568
row_ptr,121,572
row_ptr,122,576
row_ptr,123,581
row_ptr,124,586
row_ptr,125,591
row_ptr,126,596
row_ptr,127,601
row_ptr,128,606
row_ptr,129,611
row_ptr,130,616
row_ptr,131,621
row_ptr,132,625
row_ptr,133,629
row_ptr,134,634
row_ptr,135,639
row_ptr,136,644
row_ptr,137,649
row_ptr,138,654
row_ptr,139,659
row_ptr,140,664
row_ptr,141,669
row_ptr,142,674
row_ptr,143,678
row_ptr,144,682
row_ptr,145,687
row_ptr,146,692
row_ptr,147,697
row_ptr,148,702
row_ptr,149,707
row_ptr,150,712
row_ptr,151,717
row_ptr,152,722
row_ptr,153,727
row_ptr,154,731
row_ptr,155,735
row_ptr,156,740
row_ptr,157,745
row_ptr,158,750
row_ptr,159,755
row_ptr,160,760
row_ptr,161,765
