node_id,x_m,y_m,Ez
0,0,0,0
1,0.05,0,0
2,0.1,0,0
3,0.15,0,0
4,0.2,0,0
5,0.25,0,0
6,0.3,0,0
7,0.35,0,0
8,0.4,0,0
9,0.45,0,0
10,0.5,0,0
11,0.55,0,0
12,0.6,0,0
13,0.65,0,0
14,0.7,0,0
15,0.75,0,0
16,0.8,0,0
17,0.85,0,0
18,0.9,0,0
19,0.95,0,0
20,1,0,0
21,0,0.05,0
22,0.05,0.05,0.1626069171953427
23,0.1,0.05,0.2853481786611805
24,0.15,0.05,0.3433894091142871
25,0.2,0.05,0.3248844163630351
26,0.25,0.05,0.234133250168973
27,0.3,0.05,0.09095183267232308
28,0.35,0.05,-0.07342679722686514
29,0.4,0.05,-0.2230062847534385
30,0.45,0.05,-0.324801150735554
31,0.5,0.05,-0.3560446488720098
32,0.55,0.05,-0.3092447562965796
33,0.6,0.05,-0.1939501803216928
34,0.65,0.05,-0.03479374632092463
35,0.7,0.05,0.1338052596741158
36,0.75,0.05,0.2751536510223802
37,0.8,0.05,0.3583789433695045
38,0.85,0.05,0.3653247350134567
39,0.9,0.05,0.2947222160809179
40,0.95,0.05,0.1627451269675169
41,1,0.05,0
42,0,0.1,0
43,0.05,0.1,0.2997569582423953
44,0.1,0.1,0.5295064528451829
45,0.15,0.1,0.640775972393015
46,0.2,0.1,0.6100977516227712
47,0.25,0.1,0.444308856588556
48,0.3,0.1,0.1793886012666259
49,0.35,0.1,-0.1270378606393154
50,0.4,0.1,-0.4079869468083338
51,0.45,0.1,-0.6015859806687724
52,0.5,0.1,-0.6645989226089973
53,0.55,0.1,-0.5820372449748089
54,0.6,0.1,-0.3706926890526654
55,0.65,0.1,-0.07572916953715496
56,0.7,0.1,0.2390113574552743
57,0.75,0.1,0.50493195235752
58,0.8,0.1,0.6638046711824905
59,0.85,0.1,0.680755817179184
60,0.9,0.1,0.55220491932563
61,0.95,0.1,0.3069400325638775
62,1,0.1,0
63,0,0.15,0
64,0.05,0.15,0.3948354728343363
65,0.1,0.15,0.7009205427032734
66,0.15,0.15,0.8525269649601608
67,0.2,0.15,0.8169047034986465
68,0.25,0.15,0.6014739462730704
69,0.3,0.15,0.2525507511775846
70,0.35,0.15,-0.154311073900841
71,0.4,0.15,-0.5304217992885064
72,0.45,0.15,-0.7931113040803801
73,0.5,0.15,-0.883814204990329
74,0.55,0.15,-0.7811145033914614
75,0.6,0.15,-0.5058099110652557
76,0.65,0.15,-0.1167583752707614
77,0.7,0.15,0.3017159200925398
78,0.75,0.15,0.6581936277130251
79,0.8,0.15,0.8743129007398309
80,0.85,0.15,0.9022427002095761
81,0.9,0.15,0.735539909524085
82,0.95,0.15,0.4108637641742297
83,1,0.15,0
84,0,0.2,0
85,0.05,0.2,0.4354808469663221
86,0.1,0.2,0.7765533119045501
87,0.15,0.2,0.9493563288443021
88,0.2,0.2,0.9158700086591179
89,0.25,0.2,0.6823325746387298
90,0.3,0.2,0.2983082945222713
91,0.35,0.2,-0.1535783084200852
92,0.4,0.2,-0.5752003506108934
93,0.45,0.2,-0.8741036678645214
94,0.5,0.2,-0.9837518235432463
95,0.55,0.2,-0.8783956105864412
96,0.6,0.2,-0.5792050853812286
97,0.65,0.2,-0.1501578872339913
98,0.7,0.2,0.3155840114424824
99,0.75,0.2,0.7159456642209621
100,0.8,0.2,0.9624535159790332
101,0.85,0.2,1
102,0.9,0.2,0.8193889923252025
103,0.95,0.2,0.4597330105177416
104,1,0.2,0
105,0,0.25,0
106,0.05,0.25,0.415978291001505
107,0.1,0.25,0.745389111413465
108,0.15,0.25,0.9165371575923359
109,0.2,0.25,0.8911166205152632
110,0.25,0.25,0.6728399043584448
111,0.3,0.25,0.3071778853570296
112,0.35,0.25,-0.1279067324653214
113,0.4,0.25,-0.5384215128880674
114,0.45,0.25,-0.8345847600618211
115,0.5,0.25,-0.9505116984485343
116,0.55,0.25,-0.8590181004281459
117,0.6,0.25,-0.5781734925812909
118,0.65,0.25,-0.1679757357402122
119,0.7,0.25,0.2823231326690999
120,0.75,0.25,0.6736053941854436
121,0.8,0.25,0.9187849154387354
122,0.85,0.25,0.9623461101919634
123,0.9,0.25,0.7930859152167435
124,0.95,0.25,0.44707207145689
125,1,0.25,0
126,0,0.3,0
127,0.05,0.3,0.3384851170869105
128,0.1,0.3,0.6104836896421894
129,0.15,0.3,0.7564874397872168
130,0.2,0.3,0.743109685672011
131,0.25,0.3,0.5707697025485954
132,0.3,0.3,0.2742549510731023
133,0.35,0.3,-0.08412798787002623
134,0.4,0.3,-0.4275377904892702
135,0.45,0.3,-0.6810723833580508
136,0.5,0.3,-0.7882287506810172
137,0.55,0.3,-0.7237203179022061
138,0.6,0.3,-0.4997020410226875
139,0.65,0.3,-0.1638236808475178
140,0.7,0.3,0.2106834948770185
141,0.75,0.3,0.5408723567485492
142,0.8,0.3,0.7524678741824882
143,0.85,0.3,0.7966713030556504
144,0.9,0.3,0.661527082043561
145,0.95,0.3,0.3751579537143363
146,1,0.3,0
147,0,0.35,0
148,0.05,0.35,0.2131114224570895
149,0.1,0.35,0.3891430549740093
150,0.15,0.35,0.489155077307266
151,0.2,0.35,0.4893761085533686
152,0.25,0.35,0.3868234950515355
153,0.3,0.35,0.2006476305370817
154,0.35,0.35,-0.03126112407677038
155,0.4,0.35,-0.2598944182130533
156,0.45,0.35,-0.4355132486315491
157,0.5,0.35,-0.5186311794335122
158,0.55,0.35,-0.4891586079743307
159,0.6,0.35,-0.3515504900902307
