node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,0.1514453717424271
13,0.2,0.09,0.2860721456656252
14,0.3,0.09,0.3915658363269504
15,0.4,0.09,0.4581842171609747
16,0.5,0.09,0.4797290076540732
17,0.6,0.09,0.454312827527848
18,0.7,0.09,0.3846415736202805
19,0.8,0.09,0.2778508945464203
20,0.9,0.09,0.1449881114699364
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.3174342855079056
24,0.2,0.18,0.5973450124451957
25,0.3,0.18,0.8167437948153741
26,0.4,0.18,0.9553109700384625
27,0.5,0.18,1
28,0.6,0.18,0.9468016114397394
29,0.7,0.18,0.8012782832239481
30,0.8,0.18,0.578162093428997
31,0.9,0.18,0.3004296561990791
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.2593661813142086
35,0.2,0.27,0.4966652752085322
36,0.3,0.27,0.6855148014925472
37,0.4,0.27,0.8069596119260947
38,0.5,0.27,0.8492108103870778
39,0.6,0.27,0.80834376983187
40,0.7,0.27,0.688568250253853
41,0.8,0.27,0.5017044555967506
42,0.9,0.27,0.2655683346862516
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.1251902259429238
46,0.2,0.36,0.2391096714975115
47,0.3,0.36,0.3298809985362999
48,0.4,0.36,0.3883211967119691
49,0.5,0.36,0.4086856506375791
50,0.6,0.36,0.3890489248996469
51,0.7,0.36,0.3314002222439621
52,0.8,0.36,0.2413555034061778
53,0.9,0.36,0.1274226684451117
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
