ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3726.515417661638,0,0.003969014002752081
2,1,-3648.83491150704,0,0.003984900360304925
3,2,-3534.492479969247,0,0.004004536456224026
4,3,-3404.040332108812,0,0.004023525699846803
5,4,-3275.047447702318,0,0.004058172609617045
6,5,-3245.433272205096,0,0.004356900022566838
7,6,-3150.442524252375,0,0.004369198051351697
8,7,-3138.779232575598,0,0.004093558599444773
9,8,-3010.556541411018,0,0.004399865791231952
10,9,-2993.048643522543,0,0.004076921430670353
11,10,-2851.371358488433,0,0.004452580858618205
12,11,-2845.750529360529,0,0.004049066871407442
13,12,-2707.309534160121,0,0.004343809675833285
14,13,-2697.798571128123,0,0.004519847612763944
15,14,-2686.213809899425,0,0.004504576581257494
16,15,-2611.000983360071,0,0.004846152680445135
17,17,-2567.455040367379,0,0.004003811660585677
18,16,-2566.2300987334,0,0.004601111520090741
19,18,-2505.748516623436,0,0.003673977796779889
20,19,-2459.067102954416,0,0.004815874950867524
21,20,-2430.779988630909,0,0.004767224116339738
22,22,-2307.151185159904,0,0.004915689679317321
23,21,-2304.363096192848,0,0.004845659512461549
24,23,-2250.413919376114,0,0.005135808822783942
25,24,-2215.741294125087,0,0.004902133007557307
26,25,-2175.769366273894,0,0.005314354799493358
27,26,-2166.85773577284,0,0.005115984581329888
28,27,-2148.471977369735,0,0.005004807562636421
29,28,-2131.89946256691,0,0.004988727798455313
30,29,-2092.472235520556,0,0.00520333672994315
31,30,-2053.570153430976,0,0.005491128055658108
32,33,-2039.568622774548,0,0.005493859293409925
33,31,-2028.836346074361,0,0.00546629822928609
34,32,-2004.422617983069,0,0.005550622544866077
35,34,-1974.46372092535,0,0.0054906072655484
36,35,-1936.263249938194,0,0.00556277270985422
37,36,-1910.770764837692,0,0.00566333227886267
38,38,-1882.501251245268,0,0.005999815008957344
39,37,-1876.847462490112,0,0.005921409294593474
40,42,-1812.587957550387,0,0.005772409103169071
41,43,-1809.893840268792,0,0.005817590029122759
42,41,-1801.613927325428,0,0.005962926494124928
43,40,-1754.660687890048,0,0.005923397022710542
44,39,-1702.198414127955,0,0.005968070473622124
45,44,-1609.573222786915,0,0.006091813130718824
46,45,-1510.458656885326,0,0.006166739154487848
47,46,-1426.89508447001,0,0.006167543089795191
48,47,-1364.135342067945,0,0.00614051667634676
49,48,-1321.297659361328,0,0.00608634629539689
50,49,-1295.268768794996,0,0.006065080892934443
51,51,-1248.954133057747,0,0.005767347534609344
52,50,-1233.284237948936,0,0.005601127825278222
53,52,-1168.567330016543,0,0.005486111397873112
54,53,-1092.968209909166,0,0.005350108556867374
55,54,-1051.698933874153,0,0.005377283365843017
56,55,-1011.533205832178,0,0.005263128594667897
57,56,-928.9379141882897,0,0.005456644646958038
58,57,-908.3882863712741,0,0.005259962237571063
59,58,-851.9153022085854,0,0.005117329632596341
60,59,-806.5666845432344,0,0.005628692422493254
61,60,-788.1269236410405,0,0.005336457844929654
62,61,-761.494592400841,0,0.005198385988607445
63,62,-702.8586429587798,0,0.005841118863941757
64,63,-670.5331294294512,0,0.005512588485158295
65,64,-653.2690203563527,0,0.005325124348363598
66,65,-647.6725089680439,0,0.005455977857739212
67,66,-624.8191310259932,0,0.006022251819605027
68,67,-583.5443327868985,0,0.006251051693231612
69,68,-573.5088489333762,0,0.005731497273424085
70,70,-564.4965126263176,0,0.006367235723659847
71,72,-560.2811964997306,0,0.005646456240792665
72,71,-555.3529493611599,0,0.005592282082614506
73,69,-539.6419159569498,0,0.005495116959799086
74,73,-494.7272779858461,0,0.005973394056827328
75,74,-471.1464278670637,0,0.005824050119428736
76,75,-459.369989060837,0,0.005595494432880994
77,76,-432.0948581597755,0,0.005734193823769067
78,77,-404.4333620405403,0,0.005960902808537429
79,78,-396.7805030196894,0,0.006186645914590781
80,79,-366.787026928232,0,0.006312548336539376
81,81,-357.5401244268448,0,0.005690852803286387
82,82,-352.2380454538898,0,0.006344596740501646
83,80,-333.4355759292435,0,0.005692347474573019
84,83,-296.2302655569922,0,0.006399239353302685
85,84,-262.1219423401345,0,0.005784284418594431
86,85,-256.8381700050389,0,0.00587835030811354
87,86,-202.556834401839,0,0.006581331374531422
88,87,-200.129093306699,0,0.006042165033013113
89,88,-178.6688193204382,0,0.005972927551974492
90,89,-165.3983603142148,0,0.006069405996029726
91,90,-154.2531829633088,0,0.006328379605327224
92,91,-121.3343434346857,0,0.006779658675048674
93,92,-109.8002048164465,0,0.005844995554642638
94,93,-59.58103251060056,0,0.006573530036909691
95,94,-55.55455342061167,0,0.006207912280593115
96,95,-27.78343644525816,0,0.006221173405850581
97,96,-16.86351033838968,0,0.006246095129076396
98,98,-9.229848387882083,0,0.006894354835457993
99,154,0.008504781618311162,0,6.685729508935968
100,155,0.008943377531727312,0,6.517388759898807
101,156,0.009708279655243426,0,6.241767944874789
102,159,0.01085888891454042,0,5.866137481234007
103,160,0.01243916085912372,0,5.42960373849634
104,161,0.0132151138825931,0,5.72376424041606
105,162,0.01437481469260679,0,5.302501057494279
106,163,0.01455975349167785,0,5.194625120169436
107,165,0.01652447894280534,0,5.226855099806556
108,164,0.01689901256569032,0,4.545091028977959
109,168,0.01887926729069297,0,5.602955975044436
110,169,0.01928342473735592,0,4.152496894880429
111,170,0.0197807282526338,0,4.99477925859149
112,167,0.02103152505722001,0,4.448291293531684
113,166,0.02114146540955606,0,4.629939512615904
114,158,0.02419006265121558,0,4.468984398666699
115,157,0.02499995552350805,0,4.71156853130635
116,153,0.02850722066099518,0,4.336363074228903
117,152,0.0301688770700634,0,3.981632851944611
118,151,0.03137378443537668,0,4.124630736087608
119,150,0.03452422064465297,0,4.063797801106222
120,149,0.0373697565205115,0,3.543619329444747
121,148,0.04061428495693375,0,3.483014205446328
122,147,0.04459693863794857,0,3.289599668125757
123,146,0.04523694336892076,0,3.505455839971363
124,145,0.05012650778459808,0,2.951771432527819
125,144,0.05428941814771504,0,2.865997869751511
126,143,0.06183568630814881,0,3.037058749069091
127,142,0.07231016058526631,0,2.314375092759602
128,141,0.08825096153724696,0,2.378140579827036
129,140,0.09439445195708245,0,1.919258561660018
130,139,0.1139532273060402,0,1.613172221314938
131,138,0.1323942148481668,0,1.812355792606338
132,137,0.206178407742714,0,1.256626803559637
133,136,0.3319710515670506,0,0.8176881335339418
134,135,0.5196225028275282,0,0.529837212988735
135,126,8.74820023737349,0,0.01277903164632067
136,127,8.753212178783542,0,0.01321635630320065
137,128,8.756913696680744,0,0.01372803061191174
138,129,8.760340694914113,0,0.01423306032096915
139,130,8.763124394778856,0,0.01466240244141154
140,131,8.765223529052006,0,0.01500104051668177
141,134,8.766719479976164,0,0.01525065056592405
142,133,8.767710162212923,0,0.01542057207140874
143,132,8.768273233263278,0,0.01551887662637767
144,125,8.989700296681916,0,0.01143423062687413
145,124,9.953142979943069,0,0.01469522206052151
146,123,10.00936552499067,0,0.01461215483716619
147,122,10.10940938105885,0,0.01447402859528494
148,121,10.26386674413077,0,0.01428237577246772
149,120,10.49006317486854,0,0.0140441111914328
150,119,10.81713688164676,0,0.01377353798810579
151,118,11.31183353233533,0,0.01348784672879855
152,108,12.3684899675032,0,0.01300239190462201
153,99,15.90011145588401,0,0.01208496870796905
154,100,19.22775466781475,0,0.01332691576407312
155,101,19.28048298771622,0,0.01327690530084611
156,102,19.54675837680186,0,0.0137940178211798
157,103,19.81946738716094,0,0.01405289212562092
158,104,20.024935631402,0,0.01427991414614453
159,105,20.17059941774871,0,0.01446642392086005
160,106,20.26662717370762,0,0.01460139395885426
161,107,20.32111307610997,0,0.0146830373684927
162,109,21.43811121086371,0,0.01279188442037054
163,110,21.44635934615684,0,0.01321048767335259
164,111,21.45492086362999,0,0.0137271026579645
165,112,21.46308176617639,0,0.0142376131822209
166,113,21.4697805909541,0,0.01466986545900924
167,114,21.47486155725646,0,0.01500980362153601
168,115,21.47849462585399,0,0.01525994204089283
169,117,21.48090560830179,0,0.01542985024992202
170,116,21.48227752146565,0,0.0155280294561065
171,97,26.03854994663731,0,0.008604618012643339
