node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,0.004030162014194273
13,0.2,0.09,0.00974072036325406
14,0.3,0.09,0.2525245990735129
15,0.4,0.09,0.4504302960164254
16,0.5,0.09,0.5780590486803848
17,0.6,0.09,0.6177532936593469
18,0.7,0.09,0.5642773916615291
19,0.8,0.09,0.426484658631362
20,0.9,0.09,0.2268537830029011
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.006448381864966317
24,0.2,0.18,0.01552863699368961
25,0.3,0.18,0.399172618840036
26,0.4,0.18,0.7195397130075148
27,0.5,0.18,0.9300895109666381
28,0.6,0.18,0.9998801560133157
29,0.7,0.18,0.9188190400066072
30,0.8,0.18,0.6996048740500411
31,0.9,0.18,0.3762871736246682
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.006376080375410851
35,0.2,0.27,0.01531662294417089
36,0.3,0.27,0.3905183446598903
37,0.4,0.27,0.7105513153370578
38,0.5,0.27,0.9248083341670894
39,0.6,0.27,1
40,0.7,0.27,0.9243164594820252
41,0.8,0.27,0.708737124705917
42,0.9,0.27,0.384953267635195
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.003897881395732252
46,0.2,0.36,0.00933188560849282
47,0.3,0.36,0.2356584955741289
48,0.4,0.36,0.4333393334786039
49,0.5,0.36,0.5681127601954644
50,0.6,0.36,0.617976441863068
51,0.7,0.36,0.5746274076255841
52,0.8,0.36,0.443848110193874
53,0.9,0.36,0.2437507336945072
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
