d_over_a,br_over_lambda0,beta_over_k0_fem_matched,beta_over_k0_analytic,beta_over_k0_helmvec3,selected_candidate_rank,selected_eig_index,ez_ratio,error_percent_analytic,error_percent_helmvec3,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
0,0.5,0.02945749070813741,0.03,0.04,18,130,0.9995311565188764,1.808364306208632,26.35627322965648,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_5_Ez.vtk
0,0.6,0.5619008513554635,0.52,0.5600000000000001,38,97,2.000612919213165e-30,8.057856029896829,0.3394377420470487,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_6_Ez.vtk
0,0.7,0.701164225366177,0.7,0.71,40,99,0.01283563635470252,0.1663179094538566,1.244475300538453,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_7_Ez.vtk
0,0.8,0.7842828372463109,0.79,0.78,76,97,1.196520665510268e-30,0.7236914878087549,0.54908169824498,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_8_Ez.vtk
0,0.9,0.8341949057501816,0.83,0.83,78,93,2.783015518298354e-31,0.5054103313471886,0.5054103313471886,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_br0_9_Ez.vtk
0,1,0.8681380788972671,0.88,0.87,79,88,4.502237284700102e-31,1.347945579856008,0.2140139198543524,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_br1_Ez.vtk
0.167,0.5,0.1379920110536345,0.21,0.18,36,108,0.9745122956948148,34.28951854588833,23.33777163686973,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_5_Ez.vtk
0.167,0.6,0.5219110677779453,0.6,0.59,38,104,3.3525977133516e-05,13.01482203700912,11.54049698678893,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_6_Ez.vtk
0.167,0.7,0.706967296820104,0.72,0.74,68,123,0.00116505437110399,1.810097663874447,4.463878808094059,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_7_Ez.vtk
0.167,0.8,0.7658740529362142,0.82,0.8100000000000001,70,101,0.0002185352426696496,6.600725251681183,5.447647785652569,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_167_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_167_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_167_br0_8_Ez.vtk
