node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,0.6286135462154836
13,0.2,0.09,0.5929113947749297
14,0.3,0.09,0.00382743708267442
15,0.4,0.09,0.002057125576151245
16,0.5,0.09,0.001080481216945751
17,0.6,0.09,0.0005588771343707923
18,0.7,0.09,0.0002841534888831895
19,0.8,0.09,0.0001383205213724317
20,0.9,0.09,5.614556216005489e-05
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.9964885223518813
24,0.2,0.18,0.9818889943003523
25,0.3,0.18,0.006640215470075214
26,0.4,0.18,0.00346948520414564
27,0.5,0.18,0.001791385569081651
28,0.6,0.18,0.0009172675713125072
29,0.7,0.18,0.0004636452783151924
30,0.8,0.18,0.0002249529009006835
31,0.9,0.18,9.11596235539462e-05
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.9783741653266205
35,0.2,0.27,1
36,0.3,0.27,0.007337714710057258
37,0.4,0.27,0.003669390986126533
38,0.5,0.27,0.001849291789069124
39,0.6,0.27,0.0009341470245798182
40,0.7,0.27,0.0004685839061271467
41,0.8,0.27,0.0002263942950453831
42,0.9,0.27,9.15513437461692e-05
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.5906692728976412
46,0.2,0.36,0.6307010357841895
47,0.3,0.36,0.004879325717062085
48,0.4,0.36,0.002368458039562405
49,0.5,0.36,0.001172271947739156
50,0.6,0.36,0.000585896207781103
51,0.7,0.36,0.0002921028139105214
52,0.8,0.36,0.0001406487426690573
53,0.9,0.36,5.678014568285147e-05
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
