node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-0.004037633704075076
13,0.2,0.09,-0.009986900587526739
14,0.3,0.09,-0.02066195730029124
15,0.4,0.09,-0.04110682711543822
16,0.5,0.09,-0.0809641917130634
17,0.6,0.09,-0.1589793691175193
18,0.7,0.09,-0.3116913316621425
19,0.8,0.09,-0.6102313212868291
20,0.9,0.09,-0.2477328841011633
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,-0.006535211501215104
24,0.2,0.18,-0.01616564591038075
25,0.3,0.18,-0.03345080690458491
26,0.4,0.18,-0.06656980420957667
27,0.5,0.18,-0.1311785655295348
28,0.6,0.18,-0.2577645617647145
29,0.7,0.18,-0.505870114616998
30,0.8,0.18,-0.9915341842119283
31,0.9,0.18,-0.402230381048838
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.006537732215616964
35,0.2,0.27,-0.01617356109008106
36,0.3,0.27,-0.03347514309906167
37,0.4,0.27,-0.06664719467598047
38,0.5,0.27,-0.1314300520604665
39,0.6,0.27,-0.2585879864957077
40,0.7,0.27,-0.5085473427185933
41,0.8,0.27,-1
42,0.9,0.27,-0.4046841994053194
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.004041964207251723
46,0.2,0.36,-0.01000021578928703
47,0.3,0.36,-0.02070250187758844
48,0.4,0.36,-0.04123559408483995
49,0.5,0.36,-0.08138608583165678
50,0.6,0.36,-0.1603917247825726
51,0.7,0.36,-0.3164995503657226
52,0.8,0.36,-0.6268783008463717
53,0.9,0.36,-0.2521674347136207
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
