node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,0.1975350414155614
13,0.2,0.09,0.3707238722576437
14,0.3,0.09,0.5059063209411045
15,0.4,0.09,0.5909586044416367
16,0.5,0.09,0.6179529893032508
17,0.6,0.09,0.5844334366077435
18,0.7,0.09,0.4938791994275246
19,0.8,0.09,0.3555907927353431
20,0.9,0.09,0.1842778689308255
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,0.3122147849251623
24,0.2,0.18,0.5916013339759469
25,0.3,0.18,0.812131662428073
26,0.4,0.18,0.952779279276448
27,0.5,0.18,1
28,0.6,0.18,0.9492823202054826
29,0.7,0.18,0.8057120017254074
30,0.8,0.18,0.5836062932743158
31,0.9,0.18,0.3053853399446033
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,0.3053853399447966
35,0.2,0.27,0.5836062932746025
36,0.3,0.27,0.8057120017257319
37,0.4,0.27,0.9492823202058961
38,0.5,0.27,0.9999999999999939
39,0.6,0.27,0.952779279276209
40,0.7,0.27,0.8121316624276268
41,0.8,0.27,0.5916013339757719
42,0.9,0.27,0.3122147849248591
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,0.1842778689310044
46,0.2,0.36,0.3555907927354757
47,0.3,0.36,0.4938791994277382
48,0.4,0.36,0.5844334366077302
49,0.5,0.36,0.6179529893031459
50,0.6,0.36,0.590958604441261
51,0.7,0.36,0.5059063209408547
52,0.8,0.36,0.3707238722575057
53,0.9,0.36,0.197535041415353
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
