node_id,x_m,y_m,Ez
0,0,0,0
1,0.1,0,0
2,0.2,0,0
3,0.3,0,0
4,0.4,0,0
5,0.5,0,0
6,0.6,0,0
7,0.7,0,0
8,0.8,0,0
9,0.9,0,0
10,1,0,0
11,0,0.09,0
12,0.1,0.09,-1
13,0.2,0.09,-0.08731098523487414
14,0.3,0.09,0.1000648172818142
15,0.4,0.09,0.1757533603340193
16,0.5,0.09,0.03391170890553893
17,0.6,0.09,0.07830059073233733
18,0.7,0.09,-0.002903139828472566
19,0.8,0.09,0.02871606974681522
20,0.9,0.09,0.04510872760064991
21,1,0.09,0
22,0,0.18,0
23,0.1,0.18,-0.2800311388882602
24,0.2,0.18,-0.09609264412606514
25,0.3,0.18,0.03916259514514116
26,0.4,0.18,0.05681684617338272
27,0.5,0.18,0.1754038037850354
28,0.6,0.18,0.1043047820799157
29,0.7,0.18,0.0196590277888282
30,0.8,0.18,0.04375016658975719
31,0.9,0.18,0.1158267567518904
32,1,0.18,0
33,0,0.27,0
34,0.1,0.27,-0.02058435232064274
35,0.2,0.27,-0.2381364738618818
36,0.3,0.27,0.06513715536919987
37,0.4,0.27,0.05512119877898065
38,0.5,0.27,-0.02691442818797299
39,0.6,0.27,-0.05948779900879623
40,0.7,0.27,0.1217718727102218
41,0.8,0.27,-0.03732573390962691
42,0.9,0.27,-0.05436091964754341
43,1,0.27,0
44,0,0.36,0
45,0.1,0.36,-0.01906024385705893
46,0.2,0.36,-0.01517467372910778
47,0.3,0.36,0.06356280177906191
48,0.4,0.36,0.02297317722075085
49,0.5,0.36,0.0429954420993689
50,0.6,0.36,0.07323909183417297
51,0.7,0.36,0.09492010759380203
52,0.8,0.36,-0.05903169613316561
53,0.9,0.36,0.02387029976737685
54,1,0.36,0
55,0,0.45,0
56,0.1,0.45,0
57,0.2,0.45,0
58,0.3,0.45,0
59,0.4,0.45,0
60,0.5,0.45,0
61,0.6,0.45,0
62,0.7,0.45,0
63,0.8,0.45,0
64,0.9,0.45,0
65,1,0.45,0
