ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3748.330940853878,0,0.003968796185078326
2,1,-3669.83111656791,0,0.003984418000745555
3,2,-3554.993556914297,0,0.004003746267344385
4,3,-3424.302933357236,0,0.004022741480796115
5,4,-3294.925770861401,0,0.004057208628433642
6,5,-3267.358570716896,0,0.004357266476375786
7,6,-3171.48764493098,0,0.004372713989677721
8,7,-3158.543180358606,0,0.004088664284388522
9,8,-3031.419073337166,0,0.004401861803699878
10,9,-3012.526295801621,0,0.004073499955647649
11,10,-2872.29425973491,0,0.004458772993776451
12,11,-2865.000063643628,0,0.004040895418978823
13,12,-2727.365932499336,0,0.00439279319236838
14,13,-2718.622400680215,0,0.004520447575597836
15,14,-2707.248120710388,0,0.004451116478420931
16,15,-2632.015264308606,0,0.004854828706063869
17,17,-2587.401658680547,0,0.004363696755492132
18,16,-2585.764907395907,0,0.004219710935085561
19,18,-2525.818744933447,0,0.003670033810832508
20,19,-2480.373255660978,0,0.004815319603256038
21,20,-2451.509646993704,0,0.004767627813669957
22,22,-2328.20568427306,0,0.004921445571824601
23,21,-2324.758039541045,0,0.004843952147443732
24,23,-2270.898586856431,0,0.005151101955480198
25,24,-2236.265659279005,0,0.004882040457493679
26,25,-2196.224948143416,0,0.005312477372018466
27,26,-2186.164561688689,0,0.005167629131374165
28,28,-2163.472144620766,0,0.004968392013526239
29,27,-2153.315833197359,0,0.004983870617242806
30,29,-2113.220162226165,0,0.005205185151619962
31,30,-2075.636511856985,0,0.005495342683375643
32,32,-2060.282381620812,0,0.005493532433011838
33,31,-2049.085472107804,0,0.005459022104060828
34,33,-2024.954332687598,0,0.005555017766767499
35,34,-1994.01249534621,0,0.005487519880506542
36,35,-1956.116299993042,0,0.005553226345943634
37,36,-1930.352279535268,0,0.00565670327665554
38,37,-1902.282180653082,0,0.006054889285401103
39,38,-1897.695127009016,0,0.005880488128808993
40,42,-1833.01347312145,0,0.005775462338620723
41,43,-1830.8898452842,0,0.005820826397786916
42,41,-1820.922923425403,0,0.005959353578467754
43,40,-1774.778589598733,0,0.005923877634308621
44,39,-1722.297152538932,0,0.005968174342354911
45,44,-1629.41970804685,0,0.006092572641682468
46,45,-1530.090574503088,0,0.006167933847951961
47,46,-1446.067687114143,0,0.006168541553003362
48,47,-1382.792240741386,0,0.006143350512672704
49,48,-1339.364709854434,0,0.006091089810573452
50,49,-1315.717750301999,0,0.006066059896680165
51,51,-1271.028457861415,0,0.005761803301478493
52,50,-1253.799681118812,0,0.005600618785178839
53,52,-1188.430084990576,0,0.005487620415200459
54,53,-1113.847649563006,0,0.0053498904518682
55,54,-1071.87391082553,0,0.005379217223806988
56,55,-1032.136279478662,0,0.005262214973902083
57,56,-948.6387930452979,0,0.005457841931754265
58,57,-928.732277509268,0,0.005259393396354698
59,58,-873.4589067884986,0,0.005116997665974934
60,59,-826.3501683432444,0,0.005630118481693334
61,60,-808.385912345911,0,0.005336737210571562
62,61,-782.1021033528791,0,0.005197797225081438
63,62,-722.7950238114397,0,0.005842611295918628
64,63,-690.8175879386637,0,0.005511350022628848
65,64,-673.4672758570231,0,0.005324106150676587
66,65,-668.1526734502025,0,0.005449376711752745
67,66,-644.3592782171206,0,0.006027381932450326
68,67,-602.4110850438956,0,0.006234264870398916
69,68,-595.5680026517915,0,0.005763347297224579
70,71,-583.9565058990968,0,0.006303908642887777
71,72,-580.3285018717214,0,0.005653979299343943
72,70,-575.1216166359832,0,0.005618023335489061
73,69,-559.7830452211155,0,0.005495067138271561
74,73,-516.6586450325908,0,0.00598284275414479
75,74,-491.6975454840927,0,0.005823801157174865
76,75,-478.3473432248257,0,0.005585226094171067
77,76,-452.2803003613404,0,0.00573512901678704
78,77,-424.7081689224691,0,0.005966229299393942
79,78,-418.3843396121989,0,0.006196497903334863
80,79,-386.2646706663247,0,0.006316881269337054
81,81,-376.4686721108342,0,0.005684295304705291
82,82,-371.9669712839461,0,0.006331801743556878
83,80,-353.3740002901583,0,0.005687375714729051
84,83,-318.0340433287769,0,0.006410409486598327
85,84,-281.0559144145381,0,0.005772827609378139
86,85,-276.945105917352,0,0.005876784423336447
87,86,-224.3527013349908,0,0.006592086099616365
88,87,-219.8747307768245,0,0.006040777921046629
89,88,-197.5660174109217,0,0.005966256356584394
90,89,-184.1090152319672,0,0.006080214542457441
