ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3626.920285746446,0,0.003969148831768613
2,1,-3538.811438866123,0,0.003983646673674828
3,2,-3416.205012478095,0,0.003999027662819476
4,3,-3281.349562737204,0,0.004016898213085294
5,5,-3149.510602852842,0,0.004149883221197435
6,4,-3140.676735103836,0,0.004255964387929845
7,6,-3037.139825703303,0,0.004363401391904852
8,7,-3003.368468290601,0,0.004076226853890903
9,8,-2890.604591168136,0,0.004399329393991066
10,9,-2854.468922646472,0,0.004052654727855884
11,10,-2730.939950165347,0,0.004457517910002128
12,11,-2704.335552224399,0,0.00401635996168243
13,12,-2595.006150920138,0,0.004813180295771158
14,13,-2576.847322130497,0,0.004572907056329766
15,14,-2559.060150032628,0,0.003972433736791594
16,15,-2496.193704640271,0,0.004869608309082036
17,16,-2442.892043445531,0,0.004305029008647451
18,17,-2436.426096657374,0,0.004122600386643561
19,18,-2349.350118914274,0,0.00470569818435494
20,19,-2336.098037508352,0,0.003966660735944072
21,20,-2304.564762042124,0,0.004746707458734283
22,21,-2195.999241868667,0,0.004880544919958366
23,22,-2183.247816084972,0,0.004899572106078377
24,23,-2137.761547708099,0,0.005333595917291541
25,24,-2087.321215555629,0,0.004855817105159231
26,25,-2064.71460837776,0,0.0052950608565317
27,26,-2048.294617807773,0,0.004925559489041241
28,27,-2036.690706592679,0,0.005163643775772621
29,28,-1979.877185494184,0,0.005195731178439958
30,29,-1954.380404359152,0,0.005507941318510806
31,30,-1931.757097588169,0,0.005505401264055689
32,31,-1913.094555792349,0,0.005456901826485499
33,32,-1889.603058132782,0,0.005563897686834079
34,33,-1862.323167349933,0,0.00502989773715675
35,34,-1844.363490117838,0,0.00554867867460958
36,35,-1810.993452341248,0,0.005564213425560799
37,37,-1778.32037474656,0,0.005798882220576654
38,36,-1766.683775568918,0,0.005796142586663542
39,38,-1711.152052248357,0,0.005730408611941707
40,39,-1704.491974153178,0,0.00581557579503636
41,40,-1677.448867095264,0,0.005825882527274949
42,41,-1632.136854826321,0,0.006005595332333478
43,42,-1594.217995955576,0,0.005860504633510965
44,43,-1553.616813041342,0,0.005952216487877109
45,44,-1469.970176566074,0,0.006071536685239232
46,45,-1373.472643266356,0,0.006148905821915995
47,46,-1293.238272883162,0,0.006157609794838527
48,47,-1234.335375362651,0,0.006101030610849685
49,48,-1200.200068294452,0,0.006060323890028655
50,49,-1143.855062275315,0,0.005734115599124034
51,50,-1119.857731494923,0,0.005907396826650899
52,51,-1097.262907750662,0,0.005673259534311303
53,52,-1016.735739336724,0,0.005603057900527749
54,53,-979.4584759473489,0,0.005366395194381137
55,54,-915.9726615501676,0,0.005454764767011322
