ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3530.341385403782,0,0.003977411317582344
2,1,-3394.614416785176,0,0.003993069356856603
3,2,-3252.487268728367,0,0.003994350018982989
4,3,-3125.619071647435,0,0.004020522957632866
5,4,-3045.478222635786,0,0.004345469370618195
6,5,-2983.882257041398,0,0.004067606673306294
7,6,-2889.67757651015,0,0.004395380152418271
8,7,-2847.172214148641,0,0.004051869765042655
9,8,-2753.059826445559,0,0.004387230757581712
10,9,-2699.394937710272,0,0.004068865811013967
11,10,-2589.295481942606,0,0.004370079921509547
12,11,-2552.049927430008,0,0.004126163138156193
13,12,-2495.781054098388,0,0.004861991497049591
14,13,-2438.279802800824,0,0.004247437192440481
15,14,-2402.468304814896,0,0.004271319771034572
16,15,-2349.14224439595,0,0.004912415979931545
17,16,-2332.561937664784,0,0.00380175068849283
18,17,-2269.859516463267,0,0.004558790146694564
19,18,-2207.96133878318,0,0.00491498159128646
20,19,-2161.866756185591,0,0.004483346461258852
21,20,-2124.541180862299,0,0.004236700556097296
22,21,-2065.499842346373,0,0.005025437970311781
23,22,-2039.562666772558,0,0.005138951647923007
24,23,-2011.896601047602,0,0.004747775757433772
25,24,-1980.900765776395,0,0.004975611633473638
26,25,-1933.32518854048,0,0.005061926783353763
27,26,-1927.88588659858,0,0.005285123819879349
28,27,-1865.019337365284,0,0.005143637736458298
29,28,-1856.14771881597,0,0.005407584544818657
30,29,-1822.64081603495,0,0.005470058000003324
31,30,-1780.90270755986,0,0.00547551694530691
32,31,-1774.578200787907,0,0.005323688674608806
33,32,-1733.647911884378,0,0.005634114103766952
34,33,-1707.259788013262,0,0.005683524834566154
35,34,-1696.656429777329,0,0.004966935326729391
36,35,-1658.333573098047,0,0.005806696133684943
37,36,-1643.57957630254,0,0.005659013259416609
38,37,-1594.771169171317,0,0.005590347207749134
39,38,-1574.766059683191,0,0.005588695229554394
40,39,-1555.45500749513,0,0.005763007418488877
41,40,-1503.662703385324,0,0.005779984011130252
42,41,-1454.162303662879,0,0.005937421324005153
43,42,-1397.686403870987,0,0.005926237253370858
44,43,-1373.235233502446,0,0.005906929456079354
45,44,-1322.743946489534,0,0.006023850892427317
46,45,-1236.05223642769,0,0.006128771505557118
47,46,-1170.384856357652,0,0.006100605895880755
48,47,-1125.838472768773,0,0.006027644297621747
49,48,-1061.616466427722,0,0.005847984096828178
50,49,-1038.146388958583,0,0.005777914762273571
51,50,-956.7140527621526,0,0.005612458121939149
52,51,-913.4977779465964,0,0.005839490341504469
53,52,-862.4827075990719,0,0.005526824604796679
54,53,-835.4130151971267,0,0.005718085071524819
55,54,-766.4731485622647,0,0.005407213286844207
56,55,-747.4537321847469,0,0.005374822355457499
57,56,-652.8808946297645,0,0.005458507657735699
58,57,-638.1639284370322,0,0.005162470523813511
59,58,-623.5994188514231,0,0.005416891740273768
60,61,-540.406143578558,0,0.005598440425905162
61,62,-510.1151911519602,0,0.005484392687385414
62,63,-504.039977229549,0,0.005354700129875406
63,64,-447.0858776344111,0,0.005807464411337963
64,65,-440.3930530409576,0,0.005427313740050328
65,66,-413.8970856595846,0,0.006101289103652201
66,67,-390.2277586688628,0,0.00565857224685077
67,68,-378.8252665578568,0,0.005755544084530026
68,69,-369.9098298224115,0,0.005567862184554133
69,71,-309.428265758999,0,0.005764242332335879
70,72,-301.7513695854176,0,0.005490785672143409
71,73,-271.3400282515863,0,0.005956166893332595
72,74,-266.8208616608889,0,0.005589996183152398
73,76,-242.6008313944838,0,0.006070242517706456
74,77,-213.375954783409,0,0.005837271781566296
75,79,-193.5221579324235,0,0.006258210680684681
76,80,-176.7513336798944,0,0.005578632481892909
77,81,-159.9358501742014,0,0.005680014989922674
78,82,-138.0858212932134,0,0.006305970629005286
79,83,-114.4306611138335,0,0.006240914524125892
80,84,-86.22478521114833,0,0.005563353817221016
81,85,-76.51463813787844,0,0.00604417924816591
82,106,-51.30816769834033,0,0.006061410874985499
83,111,-24.16738037133581,0,0.00639512629646271
84,113,-8.269961686808598,0,0.006121386219235445
85,157,0.07801271661220248,0,7.250387300736387
86,158,0.08248741336535667,0,6.55317226001364
87,159,0.09658857539886195,0,5.899880372784902
88,160,0.09919986378345599,0,6.352036796616026
89,162,0.1155439775746453,0,5.460172380190152
90,163,0.1233163165869766,0,5.159013203417881
91,164,0.1362150688918198,0,5.26416718440022
92,167,0.1471628618211341,0,4.796473294943453
93,168,0.1557937601184655,0,4.584779257958242
94,169,0.1666845365859286,0,4.164431030129911
95,170,0.1790507493452602,0,5.537853257803031
96,166,0.1913483262415372,0,4.715923889755483
97,165,0.1951403855396726,0,5.108953298053695
98,161,0.2124891311094542,0,5.267898875088655
99,156,0.2353997306823045,0,3.903633130364851
100,155,0.2479918045268693,0,5.031841679524319
101,154,0.2574799089805909,0,4.583608606003566
102,153,0.2761291016930791,0,3.985533798641447
103,152,0.3003434714381131,0,3.773293269178713
104,151,0.314331201799946,0,3.928067694964313
105,150,0.3525541903715099,0,4.160707719050698
106,149,0.3627494759771605,0,4.229670270959121
107,148,0.3885656771055797,0,3.310868726514149
108,147,0.4159115487551219,0,3.570498988546802
109,146,0.4743090920290328,0,3.404691584328371
110,145,0.5207121926001048,0,2.787841033503926
