section,index,value
nrows,0,36
ncols,0,36
nnz,0,154
row_ptr,0,0
row_ptr,1,3
row_ptr,2,7
row_ptr,3,11
row_ptr,4,15
row_ptr,5,19
row_ptr,6,23
row_ptr,7,27
row_ptr,8,31
row_ptr,9,34
row_ptr,10,38
row_ptr,11,43
row_ptr,12,48
row_ptr,13,53
row_ptr,14,58
row_ptr,15,63
row_ptr,16,68
row_ptr,17,73
row_ptr,18,77
row_ptr,19,81
row_ptr,20,86
row_ptr,21,91
row_ptr,22,96
row_ptr,23,101
row_ptr,24,106
row_ptr,25,111
row_ptr,26,116
row_ptr,27,120
row_ptr,28,123
row_ptr,29,127
row_ptr,30,131
row_ptr,31,135
row_ptr,32,139
row_ptr,33,143
row_ptr,34,147
row_ptr,35,151
row_ptr,36,154
col_idx,0,0
col_idx,1,1
col_idx,2,9
col_idx,3,0
col_idx,4,1
col_idx,5,2
col_idx,6,10
col_idx,7,1
col_idx,8,2
col_idx,9,3
col_idx,10,11
col_idx,11,2
col_idx,12,3
col_idx,13,4
col_idx,14,12
col_idx,15,3
col_idx,16,4
col_idx,17,5
col_idx,18,13
col_idx,19,4
col_idx,20,5
col_idx,21,6
col_idx,22,14
col_idx,23,5
col_idx,24,6
col_idx,25,7
col_idx,26,15
col_idx,27,6
col_idx,28,7
col_idx,29,8
col_idx,30,16
col_idx,31,7
col_idx,32,8
col_idx,33,17
col_idx,34,0
col_idx,35,9
col_idx,36,10
col_idx,37,18
col_idx,38,1
col_idx,39,9
col_idx,40,10
col_idx,41,11
col_idx,42,19
col_idx,43,2
col_idx,44,10
col_idx,45,11
col_idx,46,12
col_idx,47,20
col_idx,48,3
col_idx,49,11
col_idx,50,12
col_idx,51,13
col_idx,52,21
col_idx,53,4
col_idx,54,12
col_idx,55,13
col_idx,56,14
col_idx,57,22
col_idx,58,5
col_idx,59,13
col_idx,60,14
col_idx,61,15
col_idx,62,23
col_idx,63,6
col_idx,64,14
col_idx,65,15
col_idx,66,16
col_idx,67,24
col_idx,68,7
col_idx,69,15
col_idx,70,16
col_idx,71,17
col_idx,72,25
col_idx,73,8
col_idx,74,16
col_idx,75,17
col_idx,76,26
col_idx,77,9
col_idx,78,18
col_idx,79,19
col_idx,80,27
col_idx,81,10
col_idx,82,18
col_idx,83,19
col_idx,84,20
col_idx,85,28
col_idx,86,11
col_idx,87,19
col_idx,88,20
col_idx,89,21
col_idx,90,29
col_idx,91,12
col_idx,92,20
col_idx,93,21
col_idx,94,22
col_idx,95,30
col_idx,96,13
col_idx,97,21
col_idx,98,22
col_idx,99,23
col_idx,100,31
col_idx,101,14
col_idx,102,22
col_idx,103,23
col_idx,104,24
col_idx,105,32
col_idx,106,15
col_idx,107,23
col_idx,108,24
col_idx,109,25
col_idx,110,33
col_idx,111,16
col_idx,112,24
col_idx,113,25
col_idx,114,26
col_idx,115,34
col_idx,116,17
col_idx,117,25
col_idx,118,26
col_idx,119,35
col_idx,120,18
col_idx,121,27
col_idx,122,28
col_idx,123,19
col_idx,124,27
col_idx,125,28
col_idx,126,29
col_idx,127,20
col_idx,128,28
col_idx,129,29
col_idx,130,30
col_idx,131,21
col_idx,132,29
col_idx,133,30
col_idx,134,31
col_idx,135,22
col_idx,136,30
col_idx,137,31
col_idx,138,32
col_idx,139,23
col_idx,140,31
col_idx,141,32
col_idx,142,33
col_idx,143,24
col_idx,144,32
col_idx,145,33
col_idx,146,34
col_idx,147,25
col_idx,148,33
col_idx,149,34
col_idx,150,35
col_idx,151,26
col_idx,152,34
col_idx,153,35
values,0,4.022222222222223
values,1,-0.9
values,2,-1.111111111111111
values,3,-0.9
values,4,4.022222222222222
values,5,-0.9000000000000002
values,6,-1.111111111111111
values,7,-0.9000000000000002
values,8,4.022222222222222
values,9,-0.8999999999999997
values,10,-1.111111111111111
values,11,-0.8999999999999997
values,12,4.022222222222222
values,13,-0.9000000000000002
values,14,-1.111111111111111
values,15,-0.9000000000000002
values,16,4.022222222222222
values,17,-0.9000000000000002
