ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3686.387403100017,0,0.003968849079865928
2,1,-3608.694739410406,0,0.003984721442360038
3,2,-3494.345244076027,0,0.004004353547846885
4,3,-3363.928131194178,0,0.004023414596044057
5,4,-3234.998578670519,0,0.00405808787703249
6,5,-3205.608466639095,0,0.004357114440653456
7,6,-3110.432825147369,0,0.004372930850380805
8,7,-3098.895353088787,0,0.004089952505431538
9,8,-2970.61600266112,0,0.004401939304204836
10,9,-2953.070601928584,0,0.004074740093698521
11,10,-2811.471866134642,0,0.004458988021397985
12,11,-2805.706347520163,0,0.004043120639853653
13,12,-2667.241968901607,0,0.004349006577276917
14,13,-2657.948967548378,0,0.004520128373978226
15,14,-2646.215217512618,0,0.004499134915596223
16,15,-2571.07910607524,0,0.004847201573992262
17,17,-2527.26975940699,0,0.003985623349901349
18,16,-2526.441467480937,0,0.004623181642772622
19,18,-2465.850000210363,0,0.003669721683315222
20,19,-2419.177254732856,0,0.004816973787408146
21,20,-2390.947570775038,0,0.004767387643232654
22,22,-2266.936533014135,0,0.004923593979389302
23,21,-2264.640231389488,0,0.004838200335779023
24,23,-2210.120694769402,0,0.005131720359599125
25,24,-2175.467831788134,0,0.004901272095287633
26,25,-2135.182730295582,0,0.005311856434197157
27,26,-2125.829506575308,0,0.005159184380935099
28,27,-2103.365041297148,0,0.004930521203315814
29,28,-2098.668882834021,0,0.005026058731388176
30,29,-2052.178109786702,0,0.005203034522166144
31,30,-2014.104888509294,0,0.005493923605565775
32,32,-1999.665292205975,0,0.005492944667503312
33,31,-1988.435209247448,0,0.005463370582827256
34,33,-1964.830136330407,0,0.005554365425173541
35,34,-1934.529792065107,0,0.005490022011364861
36,35,-1896.327184802811,0,0.00555660277210908
37,36,-1870.286881143024,0,0.005659296579373061
38,38,-1841.309778194859,0,0.006098810530612777
39,37,-1838.964655172105,0,0.005838495109008973
40,43,-1772.186102684963,0,0.005765865283701992
41,44,-1771.231077203072,0,0.005824391692089526
42,42,-1761.712872132294,0,0.00596254475347289
43,41,-1714.959763791282,0,0.005924530593692315
44,39,-1662.632884431106,0,0.00596861833551322
45,40,-1569.784241279488,0,0.006091858229201538
46,45,-1470.495997326827,0,0.006167661080380801
47,46,-1386.676479341668,0,0.006168640257936619
48,47,-1323.6120927717,0,0.006143087076805324
49,48,-1280.281960579188,0,0.006091279216144414
50,55,-1255.782997309872,0,0.006066851851851856
51,50,-1210.187255094934,0,0.005762000173638559
52,49,-1193.66036960348,0,0.005598986397752692
53,51,-1128.596334304238,0,0.005485086314017378
54,52,-1053.007064608661,0,0.005349400244880346
55,53,-1011.64481148845,0,0.005377221771433682
56,54,-971.5994885937949,0,0.005262678995889988
57,56,-888.7505644812225,0,0.005456616796086863
58,57,-868.4698454146842,0,0.005259609321687691
59,58,-812.0441969917661,0,0.005116881200089315
60,59,-766.2983328545309,0,0.005628708525588605
61,60,-748.2352797908104,0,0.005335925140094064
62,61,-721.5907361867164,0,0.005197984538400943
63,62,-662.5272229701021,0,0.005841336793520728
64,63,-630.6561406333458,0,0.005510635911068875
65,64,-613.3007289998268,0,0.005323760965091955
