ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3561.616107955388,0,0.003968849079865914
2,1,-3483.92344426578,0,0.003984721442360023
3,2,-3369.573948931391,0,0.004004353547846881
4,3,-3239.156836049556,0,0.004023414596044052
5,4,-3110.227283525867,0,0.004058087877032508
6,5,-3080.837171494462,0,0.004357114440653454
7,6,-2985.661530002745,0,0.004372930850380782
8,7,-2974.124057944155,0,0.004089952505431522
9,8,-2845.8447075165,0,0.004401939304204814
10,9,-2828.299306783954,0,0.004074740093698506
11,10,-2686.700570990001,0,0.004458988021397982
12,11,-2680.93505237552,0,0.004043120639853624
13,12,-2542.470673756975,0,0.004349006577276866
14,13,-2533.177672403742,0,0.00452012837397822
15,14,-2521.443922367988,0,0.004499134915596259
16,15,-2446.307810930604,0,0.004847201573992268
17,17,-2402.498464262355,0,0.003985623349901293
18,16,-2401.6701723363,0,0.004623181642772634
19,18,-2341.07870506572,0,0.003669721683315134
20,19,-2294.40595958822,0,0.004816973787408249
21,20,-2266.176275630398,0,0.004767387643232701
22,22,-2142.165237869497,0,0.004923593979389375
23,21,-2139.868936244847,0,0.004838200335778979
24,23,-2085.349399624754,0,0.005131720359599128
25,24,-2050.696536643499,0,0.004901272095287574
26,25,-2010.411435150946,0,0.00531185643419716
27,26,-2001.058211430666,0,0.00515918438093512
28,27,-1978.593746152531,0,0.0049305212033158
29,28,-1973.897587689378,0,0.005026058731388149
30,29,-1927.406814642061,0,0.005203034522166173
31,30,-1889.333593364656,0,0.005493923605565785
32,32,-1874.893997061323,0,0.005492944667503361
33,31,-1863.663914102811,0,0.005463370582827268
34,33,-1840.058841185772,0,0.005554365425173535
35,34,-1809.758496920468,0,0.005490022011364865
36,35,-1771.555889658174,0,0.005556602772109049
37,36,-1745.515585998383,0,0.005659296579373108
38,38,-1716.538483050222,0,0.006098810530612868
39,37,-1714.193360027464,0,0.005838495109008999
40,43,-1647.414807540327,0,0.005765865283701948
41,44,-1646.459782058431,0,0.005824391692089521
42,42,-1636.94157698766,0,0.005962544753472835
43,41,-1590.188468646647,0,0.005924530593692324
44,39,-1537.86158928647,0,0.005968618335513244
45,40,-1445.012946134851,0,0.006091858229201511
46,45,-1345.724702182193,0,0.006167661080380798
47,46,-1261.905184197027,0,0.006168640257936679
48,47,-1198.840797627073,0,0.006143087076805298
49,48,-1155.510665434545,0,0.006091279216144429
50,54,-1131.011702165237,0,0.006066851851851852
51,50,-1085.415959950305,0,0.005762000173638506
52,49,-1068.889074458842,0,0.00559898639775267
53,51,-1003.825039159602,0,0.005485086314017388
54,52,-928.2357694640217,0,0.005349400244880359
55,53,-886.8735163438166,0,0.005377221771433702
56,55,-846.8281934491546,0,0.005262678995889984
57,56,-763.9792693365837,0,0.005456616796086897
58,57,-743.6985502700514,0,0.005259609321687648
59,58,-687.2729018471325,0,0.005116881200089345
60,59,-641.5270377098972,0,0.00562870852558861
61,60,-623.4639846461777,0,0.005335925140094041
62,61,-596.819441042078,0,0.005197984538400959
63,62,-537.7559278254723,0,0.005841336793520683
64,63,-505.884845488709,0,0.005510635911068905
65,64,-488.5294338551892,0,0.005323760965091963
66,65,-481.8247182946449,0,0.005450449008118838
67,66,-459.6884978720087,0,0.006023634257874904
68,67,-418.3846065609099,0,0.006246949785603781
69,68,-409.3859218799827,0,0.005752724108938686
70,70,-399.2650631777258,0,0.006367557173027222
71,72,-395.3263816909059,0,0.005636793390185687
72,71,-390.5516938691466,0,0.005582044568136448
73,69,-374.9097178530338,0,0.005494464213312756
74,73,-331.3814485543284,0,0.005983041157146648
75,74,-306.6207380941715,0,0.005822505713584126
76,75,-293.5357679367962,0,0.005585563142270798
77,76,-267.3504887179241,0,0.005736262024115986
78,77,-239.9834848045707,0,0.005959803451254325
79,78,-233.5717348092621,0,0.006195516754435251
80,79,-202.4012818375657,0,0.006312768957833613
81,80,-191.5721338601848,0,0.005685982008199742
82,81,-187.8563027842713,0,0.00633800908557338
83,82,-168.5742149548925,0,0.005690352068632817
84,83,-133.1290926667809,0,0.006410508961735963
85,85,-96.1077753518904,0,0.005772800317482333
86,86,-91.88404009446762,0,0.005876240507493253
87,89,-39.42612858739667,0,0.006591478190957126
88,90,-35.07892554284967,0,0.006035209393460641
89,93,-12.73399867616986,0,0.005971549247361352
90,108,-0.115514832720485,0,0.006039586611755059
91,119,0.07634066528411018,0,7.298807262387088
92,120,0.07714626449268314,0,6.979175535447177
93,121,0.08102520133692399,0,6.715402778891305
94,122,0.08750730420990642,0,6.198290342795231
95,123,0.09381863097811335,0,6.438756707699136
96,124,0.09692975827877273,0,5.864198091872595
97,125,0.1038901345314891,0,5.886755169033578
98,126,0.110045699531165,0,5.48824949332088
99,128,0.1197275806769038,0,5.305436101947379
100,127,0.1207847549574847,0,5.162598219398092
101,129,0.1302131521482903,0,4.980878985715116
102,135,0.1395852077623031,0,4.829166333294316
103,136,0.1397350307879577,0,4.88283335459095
104,133,0.1529039687826499,0,4.38303954677498
105,134,0.1583430289512963,0,4.082401032344622
106,132,0.1652056978176712,0,4.618917766882879
107,131,0.1680632173715733,0,4.124747523051651
108,130,0.1691711135025718,0,4.311088816131628
109,118,0.195416144225242,0,3.915841245180093
110,117,0.2027766808113704,0,4.151446731372546
111,116,0.2162960342613897,0,3.846047445910693
112,115,0.2464981307400978,0,3.620407617276278
113,114,0.2592712071421717,0,3.500661077617092
114,113,0.2830013433524584,0,3.294600866211801
115,112,0.2978289632285767,0,3.279129320588321
116,111,0.3264365926908996,0,2.992196935801612
117,110,0.3562776865849157,0,2.885919162213687
118,109,0.3915626172968985,0,2.785222443489763
119,107,0.5133300124675408,0,2.267281866725693
120,106,0.5251479839675488,0,2.280910497577245
121,105,0.6824830096940607,0,1.877589895852031
122,104,0.7758802732319531,0,1.678648976143736
123,103,0.8248589949058347,0,1.618752430804425
124,102,1.234179432559889,0,1.163910476718428
125,100,2.030642307772712,0,0.7599290316412327
126,98,3.209337486808062,0,0.5021592301020535
127,95,11.09726530548547,0,0.006316065845990959
128,92,41.84436892559564,0,0.006762477522653499
129,94,55.90592808003705,0,0.005854772608580895
130,99,95.84604751243255,0,0.01337977914193892
131,101,96.45156633392439,0,0.01333501729038006
132,137,96.85655319059838,0,0.01334820025084215
133,138,97.06339242264474,0,0.01318347120930677
134,139,97.08808410638245,0,0.01339179929353532
135,140,97.13513403998633,0,0.01341215117858251
136,141,97.21429113746957,0,0.01370735252805681
137,142,97.22023172512912,0,0.0136318761614203
138,143,97.28139900979347,0,0.01394717872623328
139,144,97.29910934630111,0,0.01386215901244524
140,145,97.31408228121647,0,0.01284141409801726
141,146,97.3284320084787,0,0.01383529553111614
142,147,97.33586795586112,0,0.01339336331344013
143,148,97.34776609596716,0,0.01410253029925849
144,149,97.35416923497191,0,0.01371093862680618
145,150,97.36930619484012,0,0.01392649950207931
146,151,97.37608042553479,0,0.01445084835707446
147,152,97.37976822224984,0,0.01365761136926011
148,164,97.39291531265958,0,0.01397505969493567
149,165,97.3934702201914,0,0.01277622461467895
150,166,97.39490142551773,0,0.01462373980576031
151,168,97.39833846171149,0,0.01308019912493578
152,167,97.40106233874546,0,0.013155047610719
153,170,97.40765670255882,0,0.0143086837498007
154,169,97.40773172151606,0,0.01454358355903295
155,163,97.41242424105614,0,0.01428196312582437
156,161,97.41714451488519,0,0.0147609746623959
157,162,97.41767375473607,0,0.01467907040963332
158,160,97.42252040587054,0,0.01483561672077888
159,159,97.42560156858588,0,0.01549871145753045
160,157,97.42908534436629,0,0.01514835330778961
161,158,97.43064243113091,0,0.01635038731523892
162,156,97.43380103161725,0,0.01542166066228259
163,155,97.43704488665851,0,0.01614414215986906
164,154,97.43898592957271,0,0.01647573981335537
165,153,97.43938904648537,0,0.01701836519458755
166,97,105.4801511756924,0,0.006870796941502562
167,96,108.1187191244639,0,0.005927069201804996
168,91,136.5986065833055,0,0.00619540191831599
169,88,146.930623360831,0,0.006199313050528838
170,87,155.7934099616527,0,0.006672073087904911
171,84,185.1049636003872,0,0.006754436473332353
