family,transverse_label,mode_label,positive_rank,eig_index,m,p,r_m,kc_fem,kc_ana,kc_r_fem,kc_r_ana,error_percent,rho_abs,field_status,fields_csv_file,vtk_file
TE,Et,TE_m1_p1,1,106,1,1,1,1.872607309808,1.841183781340659,1.872607309808,1.841183781340659,1.706702437084214,0.9737357407421172,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m1_p1_rank01.csv,edge_circle_te_m1_p1_rank01_Et.vtk
TE,Et,TE_m1_p1,2,107,1,1,1,1.8726073098085,1.841183781340659,1.8726073098085,1.841183781340659,1.706702437111409,0.973735740742117,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m1_p1_rank02.csv,edge_circle_te_m1_p1_rank02_Et.vtk
TE,Et,TE_m2_p1,3,108,2,1,1,3.148612901258033,3.05423692822714,3.148612901258033,3.05423692822714,3.090001700872435,0.9993015043149241,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m2_p1_rank03.csv,edge_circle_te_m2_p1_rank03_Et.vtk
TE,Et,TE_m2_p1,4,109,2,1,1,3.148612901258203,3.05423692822714,3.148612901258203,3.05423692822714,3.090001700878003,0.999301504314924,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m2_p1_rank04.csv,edge_circle_te_m2_p1_rank04_Et.vtk
TE,Et,TE_m0_p1,5,110,0,1,1,3.770387932593807,3.831705970207512,3.770387932593807,3.831705970207512,1.600280347460592,0.9996219554028694,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m0_p1_rank05.csv,edge_circle_te_m0_p1_rank05_Et.vtk
TE,Et,TE_m3_p1,6,111,3,1,1,4.393127929352763,4.201188941210528,4.393127929352763,4.201188941210528,4.568682599810162,0.9865376897221565,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m3_p1_rank06.csv,edge_circle_te_m3_p1_rank06_Et.vtk
TE,Et,TE_m3_p1,7,112,3,1,1,4.393127929352914,4.201188941210528,4.393127929352914,4.201188941210528,4.568682599813777,0.9865376897221572,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m3_p1_rank07.csv,edge_circle_te_m3_p1_rank07_Et.vtk
TE,Et,TE_m1_p2,8,113,1,2,1,5.217464164738471,5.331442773525032,5.217464164738471,5.331442773525032,2.137856742129128,0.9033829910232281,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m1_p2_rank08.csv,edge_circle_te_m1_p2_rank08_Et.vtk
TE,Et,TE_m1_p2,9,114,1,2,1,5.217464164738496,5.331442773525032,5.217464164738496,5.331442773525032,2.137856742128645,0.9033829910232287,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m1_p2_rank09.csv,edge_circle_te_m1_p2_rank09_Et.vtk
TE,Et,TE_m4_p1,10,115,4,1,1,5.639492438415553,5.317553126083993,5.639492438415553,5.317553126083993,6.05427542890664,0.9621199551597616,cell_centroid_unit_peak_normalized,edge_circle_fields_TE_m4_p1_rank10.csv,edge_circle_te_m4_p1_rank10_Et.vtk
TM,Ht,TM_m0_p1,1,120,0,1,1,2.433549197784336,2.404825557695773,2.433549197784336,2.404825557695773,1.194416784063348,0.9998928398936383,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m0_p1_rank01.csv,edge_circle_tm_m0_p1_rank01_Ht.vtk
TM,Ht,TM_m1_p1,2,121,1,1,1,3.874537115833992,3.831705970207512,3.874537115833992,3.831705970207512,1.117808776547649,0.9887644485190733,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m1_p1_rank02.csv,edge_circle_tm_m1_p1_rank02_Ht.vtk
TM,Ht,TM_m1_p1,3,122,1,1,1,3.874537115834015,3.831705970207512,3.874537115834015,3.831705970207512,1.117808776548241,0.9887644485190723,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m1_p1_rank03.csv,edge_circle_tm_m1_p1_rank03_Ht.vtk
TM,Ht,TM_m2_p1,4,123,2,1,1,5.212574020311823,5.135622301840682,5.212574020311823,5.135622301840682,1.498391313620568,0.8957937862282601,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m2_p1_rank04.csv,edge_circle_tm_m2_p1_rank04_Ht.vtk
TM,Ht,TM_m2_p1,5,124,2,1,1,5.212574020311861,5.135622301840682,5.212574020311861,5.135622301840682,1.498391313621295,0.8957937862282606,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m2_p1_rank05.csv,edge_circle_tm_m2_p1_rank05_Ht.vtk
TM,Ht,TM_m0_p2,6,125,0,2,1,5.438416023512865,5.52007811028631,5.438416023512865,5.52007811028631,1.479364696330528,0.9977061553858849,cell_centroid_unit_peak_normalized,edge_circle_fields_TM_m0_p2_rank06.csv,edge_circle_tm_m0_p2_rank06_Ht.vtk
