mode,matched_candidate_rank,k0_fem_matched,k0l_fem_matched,matched_eig_index,ez_ratio,ref_helmvec2,ref_hayata,error_percent_helmvec2,error_percent_hayata,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
1,1,8.809671876282776,8.809671876282776,534,0.0003082953334281798,8.815,8.8093,0.06044383116532702,0.004221405591540462,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode01_cand01_Et_fields.csv,helmvec2_rect_mode01_cand01_Ez_fields.csv,helmvec2_rect_mode01_cand01_Et.vtk,helmvec2_rect_mode01_cand01_Ez.vtk
2,3,9.391441217078606,9.391441217078606,538,0.0006648094999374385,9.443,9.3896,0.5460000309371332,0.01960911091640118,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode02_cand03_Et_fields.csv,helmvec2_rect_mode02_cand03_Ez_fields.csv,helmvec2_rect_mode02_cand03_Et.vtk,helmvec2_rect_mode02_cand03_Ez.vtk
3,5,10.28125686000542,10.28125686000542,550,0.0007647326024146503,10.35,10.2752,0.664184927483907,0.05894639525668977,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode03_cand05_Et_fields.csv,helmvec2_rect_mode03_cand05_Ez_fields.csv,helmvec2_rect_mode03_cand05_Et.vtk,helmvec2_rect_mode03_cand05_Ez.vtk
4,8,11.11261588251989,11.11261588251989,568,0.00128242294996646,11.141,11.103,0.2547717213904661,0.08660616517957696,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode04_cand08_Et_fields.csv,helmvec2_rect_mode04_cand08_Ez_fields.csv,helmvec2_rect_mode04_cand08_Et.vtk,helmvec2_rect_mode04_cand08_Ez.vtk
5,9,11.26127081635138,11.26127081635138,569,0.0008779931952607955,11.289,11.2677,0.2456301147011721,0.05705852701629634,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode05_cand09_Et_fields.csv,helmvec2_rect_mode05_cand09_Ez_fields.csv,helmvec2_rect_mode05_cand09_Et.vtk,helmvec2_rect_mode05_cand09_Ez.vtk
6,11,11.42243870045197,11.42243870045197,570,0.0001226609926297738,11.4246,11.4501,0.01891794503117651,0.241581292285943,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode06_cand11_Et_fields.csv,helmvec2_rect_mode06_cand11_Ez_fields.csv,helmvec2_rect_mode06_cand11_Et.vtk,helmvec2_rect_mode06_cand11_Ez.vtk
7,13,12.25473199206006,12.25473199206006,575,0.0001220709407447365,12.146,11.9882,0.8952082336576614,2.223286165229638,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode07_cand13_Et_fields.csv,helmvec2_rect_mode07_cand13_Ez_fields.csv,helmvec2_rect_mode07_cand13_Et.vtk,helmvec2_rect_mode07_cand13_Ez.vtk
8,16,12.64301236194107,12.64301236194107,578,0.0002857043078311959,12.5894,12.6686,0.4258531934887163,0.2019768408421745,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode08_cand16_Et_fields.csv,helmvec2_rect_mode08_cand16_Ez_fields.csv,helmvec2_rect_mode08_cand16_Et.vtk,helmvec2_rect_mode08_cand16_Ez.vtk
9,17,12.84329059312811,12.84329059312811,579,0.004932210350999269,12.8237,12.8092,0.1527686481133176,0.2661414696320416,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode09_cand17_Et_fields.csv,helmvec2_rect_mode09_cand17_Ez_fields.csv,helmvec2_rect_mode09_cand17_Et.vtk,helmvec2_rect_mode09_cand17_Ez.vtk
10,18,12.91007034750134,12.91007034750134,580,0.0006032660374687506,12.9987,12.9575,0.6818347411561195,0.3660401504816562,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec2_rect_mode10_cand18_Et_fields.csv,helmvec2_rect_mode10_cand18_Ez_fields.csv,helmvec2_rect_mode10_cand18_Et.vtk,helmvec2_rect_mode10_cand18_Ez.vtk
